kreise20;kreise20name;d_Hausshaltseinkommen00;d_Hausshaltseinkommen01;d_Hausshaltseinkommen02;d_Hausshaltseinkommen03;d_Hausshaltseinkommen04;d_Hausshaltseinkommen05;d_Hausshaltseinkommen06;d_Hausshaltseinkommen07;d_Hausshaltseinkommen08;d_Hausshaltseinkommen09;d_Hausshaltseinkommen10;d_Hausshaltseinkommen11;d_Hausshaltseinkommen12;d_Hausshaltseinkommen13;d_Hausshaltseinkommen14;d_Hausshaltseinkommen15;d_Hausshaltseinkommen16;d_Hausshaltseinkommen17;d_Hausshaltseinkommen18;d_Hausshaltseinkommen19;d_Hausshaltseinkommen20;q_Schuldner04;q_Schuldner05;q_Schuldner06;q_Schuldner07;q_Schuldner08;q_Schuldner09;q_Schuldner10;q_Schuldner11;q_Schuldner12;q_Schuldner13;q_Schuldner14;q_Schuldner15;q_Schuldner16;q_Schuldner17;q_Schuldner18;q_Schuldner19
Gebietskennziffer;Name;Haushaltseinkommen 2000;Haushaltseinkommen 2001;Haushaltseinkommen 2002;Haushaltseinkommen 2003;Haushaltseinkommen 2004;Haushaltseinkommen 2005;Haushaltseinkommen 2006;Haushaltseinkommen 2007;Haushaltseinkommen 2008;Haushaltseinkommen 2009;Haushaltseinkommen 2010;Haushaltseinkommen 2011;Haushaltseinkommen 2012;Haushaltseinkommen 2013;Haushaltseinkommen 2014;Haushaltseinkommen 2015;Haushaltseinkommen 2016;Haushaltseinkommen 2017;Haushaltseinkommen 2018;Haushaltseinkommen 2019;Haushaltseinkommen 2020;Schuldnerquote 2004;Schuldnerquote 2005;Schuldnerquote 2006;Schuldnerquote 2007;Schuldnerquote 2008;Schuldnerquote 2009;Schuldnerquote 2010;Schuldnerquote 2011;Schuldnerquote 2012;Schuldnerquote 2013;Schuldnerquote 2014;Schuldnerquote 2015;Schuldnerquote 2016;Schuldnerquote 2017;Schuldnerquote 2018;Schuldnerquote 2019
01001000;Flensburg, Stadt;1178,74;1202,25;1200,55;1219,32;1212,81;1269,74;1311,96;1357,65;1347,27;1346,54;1331,17;1457,59;1491,13;1493,48;1491,99;1507,52;1487,67;1531,61;1560,51;1585,15;1627,89;16,94;18,04;18,65;19,02;17,01;14,81;14,92;14,58;14,92;16,41;16,4;16,21;16,17;16,21;16,24;16,33
01002000;Kiel, Landeshauptstadt;1187;1224,02;1225,67;1259,87;1262,26;1293,39;1307,05;1335,76;1356,87;1364,78;1369,7;1414,79;1444,68;1486,06;1465,81;1495,32;1524,34;1565,91;1645,44;1686,05;1721,66;12,42;13,3;13,84;13,96;13,15;11,81;12,29;11,76;11,92;12,04;12,03;12,17;12,23;12,16;11,96;11,92
01003000;Lübeck, Hansestadt;1205,55;1248;1266,73;1326,17;1349,45;1378,74;1393,92;1409,5;1422,73;1424,41;1416,99;1444,91;1481,65;1489,36;1507,65;1572,58;1579,43;1660,43;1705,65;1753,05;1799,8;13,98;15,15;15,84;16,16;14,87;13,5;13,92;15,19;15,93;15,25;15,59;15,26;15,29;15,04;14,76;14,48
01004000;Neumünster, Stadt;1237,31;1296,23;1273,2;1286,54;1260,77;1296,05;1315,24;1344,6;1356,21;1358,52;1352,76;1375,46;1422,11;1448,35;1488,98;1489,35;1551,41;1565;1663,17;1687,76;1728,38;14,33;15,99;16,6;17,41;16,44;14,86;15,81;15,61;16,65;16,61;16,94;17,09;17,54;17,8;18,09;18,65
01051000;Dithmarschen;1165,73;1216,41;1220,31;1269,66;1310,53;1335,31;1354,74;1391,43;1435,3;1436,27;1463,32;1533,62;1581,76;1623,89;1671,9;1738,2;1770,79;1886,64;1937,78;1996,96;1991,68;12,4;13,3;13,69;13,6;12,79;11,96;12,36;12,15;12,5;12,52;12,8;12,43;12,78;12,78;12,84;12,74
01053000;Herzogtum Lauenburg;1393,37;1446,2;1434,62;1472,31;1487,36;1528,24;1542,72;1574,54;1614,27;1641,95;1659,36;1716,63;1772,32;1760,47;1784,14;1825,17;1865,76;2193,8;2007,96;2055,53;2069,37;10,17;10,97;11,2;11,39;10,67;9,57;10;9,87;10,21;10,16;10,29;9,73;10,17;10,17;10,23;10,12
01054000;Nordfriesland;1204,18;1251,36;1243,35;1295,11;1319,77;1376,4;1430,28;1485,83;1548,53;1562,07;1592,23;1685,21;1731,16;1800,59;1880,63;1944,34;1989,39;2115,1;2199,87;2220,01;2169,32;10,67;11,23;11,28;10,93;9,89;9,15;9,54;9,68;9,94;10,09;10,32;9,71;9,99;9,82;9,93;10,05
01055000;Ostholstein;1254,31;1297,72;1302,39;1366,92;1394,85;1418,05;1424,81;1444,1;1478,96;1496,63;1520,4;1623,65;1675,65;1689,29;1733,27;1764,51;1809,06;1903,19;1984,55;2034,44;2044,64;11,27;12,05;12,31;12,07;11,13;10,3;10,38;10,22;10,43;10,63;10,8;10,41;10,78;10,62;10,47;10,45
01056000;Pinneberg;1484,32;1539,24;1522,17;1567,52;1566,04;1598,72;1604,98;1625,24;1666,19;1689,17;1712,38;1809,69;1861,56;1868,28;1871,82;1918,52;1954,04;2002,53;2088,33;2132,22;2147,79;9,01;10,08;10,58;10,71;10,06;9,31;9,35;9,11;9,44;9,67;9,64;9,53;9,57;9,6;9,62;9,61
