Gemeinden (2019) Kennziffer;Gemeinden (2019) Name;Gemeindeverbände (2019) Kennziffer;Gemeindeverbände (2019) Name
1001000;Flensburg, Stadt;1001000;Flensburg, Stadt
1002000;Kiel, Landeshauptstadt;1002000;Kiel, Landeshauptstadt
1003000;Lübeck, Hansestadt;1003000;Lübeck, Hansestadt
1004000;Neumünster, Stadt;1004000;Neumünster, Stadt
1051001;Albersdorf;1051975;Mitteldithmarschen
1051002;Arkebek;1051975;Mitteldithmarschen
1051003;Averlak;1051963;Burg-St. Michaelisdonn
1051004;Bargenstedt;1051975;Mitteldithmarschen
1051005;Barkenholm;1051969;Eider
1051006;Barlt;1051975;Mitteldithmarschen
1051008;Bergewöhrden;1051969;Eider
1051010;Brickeln;1051963;Burg-St. Michaelisdonn
1051011;Brunsbüttel, Stadt;1051011;Brunsbüttel, Stadt
1051012;Buchholz;1051963;Burg-St. Michaelisdonn
1051013;Büsum;1051978;Büsum-Wesselburen
1051014;Büsumer Deichhausen;1051978;Büsum-Wesselburen
1051015;Bunsoh;1051975;Mitteldithmarschen
1051016;Burg (Dithmarschen);1051963;Burg-St. Michaelisdonn
1051017;Busenwurth;1051975;Mitteldithmarschen
1051019;Dellstedt;1051969;Eider
1051020;Delve;1051969;Eider
1051021;Diekhusen-Fahrstedt;1051966;Marne-Nordsee
1051022;Dingen;1051963;Burg-St. Michaelisdonn
1051023;Dörpling;1051969;Eider
1051024;Eddelak;1051963;Burg-St. Michaelisdonn
1051026;Eggstedt;1051963;Burg-St. Michaelisdonn
1051027;Elpersbüttel;1051975;Mitteldithmarschen
1051028;Epenwöhrden;1051975;Mitteldithmarschen
1051030;Fedderingen;1051969;Eider
1051032;Frestedt;1051963;Burg-St. Michaelisdonn
1051033;Friedrichsgabekoog;1051978;Büsum-Wesselburen
1051034;Friedrichskoog;1051966;Marne-Nordsee
1051035;Gaushorn;1051969;Eider
1051036;Glüsing;1051969;Eider
1051037;Großenrade;1051963;Burg-St. Michaelisdonn
1051038;Groven;1051969;Eider
1051039;Gudendorf;1051975;Mitteldithmarschen
1051043;Hedwigenkoog;1051978;Büsum-Wesselburen
1051044;Heide, Stadt;1051044;Heide, Stadt
1051045;Hellschen-Heringsand-Unterschaar;1051978;Büsum-Wesselburen
1051046;Helse;1051966;Marne-Nordsee
1051047;Hemme;1051969;Eider
1051048;Hemmingstedt;1051972;Heider Umland
1051049;Hennstedt;1051969;Eider
1051050;Hillgroven;1051978;Büsum-Wesselburen
1051051;Hochdonn;1051963;Burg-St. Michaelisdonn
1051052;Hövede;1051969;Eider
1051053;Hollingstedt;1051969;Eider
1051054;Immenstedt;1051975;Mitteldithmarschen
1051057;Kaiser-Wilhelm-Koog;1051966;Marne-Nordsee
1051058;Karolinenkoog;1051969;Eider
1051060;Kleve;1051969;Eider
1051061;Krempel;1051969;Eider
1051062;Kronprinzenkoog;1051966;Marne-Nordsee
1051063;Krumstedt;1051975;Mitteldithmarschen
1051064;Kuden;1051963;Burg-St. Michaelisdonn
1051065;Lehe;1051969;Eider
1051067;Lieth;1051972;Heider Umland
1051068;Linden;1051969;Eider
1051069;Lohe-Rickelshof;1051972;Heider Umland
1051071;Lunden;1051969;Eider
1051072;Marne, Stadt;1051966;Marne-Nordsee
1051073;Marnerdeich;1051966;Marne-Nordsee
1051074;Meldorf, Stadt;1051975;Mitteldithmarschen
1051075;Neuenkirchen;1051972;Heider Umland
1051076;Neufeld;1051966;Marne-Nordsee
1051077;Neufelderkoog;1051966;Marne-Nordsee
1051078;Nindorf;1051975;Mitteldithmarschen
1051079;Norddeich;1051978;Büsum-Wesselburen
1051080;Norderheistedt;1051969;Eider
1051081;Norderwöhrden;1051972;Heider Umland
