"Gemeinden (2020) Kennziffer";"Gemeinden (2020) Name";"Gemeindeverbände (2020) Kennziffer";"Gemeindeverbände (2020) Name"
"01001000";"Flensburg, Stadt";"01001000";"Flensburg, Stadt"
"01002000";"Kiel, Landeshauptstadt";"01002000";"Kiel, Landeshauptstadt"
"01003000";"Lübeck, Hansestadt";"01003000";"Lübeck, Hansestadt"
"01004000";"Neumünster, Stadt";"01004000";"Neumünster, Stadt"
"01051001";"Albersdorf";"01051975";"Mitteldithmarschen"
"01051002";"Arkebek";"01051975";"Mitteldithmarschen"
"01051003";"Averlak";"01051963";"Burg-St. Michaelisdonn"
"01051004";"Bargenstedt";"01051975";"Mitteldithmarschen"
"01051005";"Barkenholm";"01051969";"Eider"
"01051006";"Barlt";"01051975";"Mitteldithmarschen"
"01051008";"Bergewöhrden";"01051969";"Eider"
"01051010";"Brickeln";"01051963";"Burg-St. Michaelisdonn"
"01051011";"Brunsbüttel, Stadt";"01051011";"Brunsbüttel, Stadt"
"01051012";"Buchholz";"01051963";"Burg-St. Michaelisdonn"
"01051013";"Büsum";"01051978";"Büsum-Wesselburen"
"01051014";"Büsumer Deichhausen";"01051978";"Büsum-Wesselburen"
"01051015";"Bunsoh";"01051975";"Mitteldithmarschen"
"01051016";"Burg (Dithmarschen)";"01051963";"Burg-St. Michaelisdonn"
"01051017";"Busenwurth";"01051975";"Mitteldithmarschen"
"01051019";"Dellstedt";"01051969";"Eider"
"01051020";"Delve";"01051969";"Eider"
"01051021";"Diekhusen-Fahrstedt";"01051966";"Marne-Nordsee"
"01051022";"Dingen";"01051963";"Burg-St. Michaelisdonn"
"01051023";"Dörpling";"01051969";"Eider"
"01051024";"Eddelak";"01051963";"Burg-St. Michaelisdonn"
"01051026";"Eggstedt";"01051963";"Burg-St. Michaelisdonn"
"01051027";"Elpersbüttel";"01051975";"Mitteldithmarschen"
"01051028";"Epenwöhrden";"01051975";"Mitteldithmarschen"
"01051030";"Fedderingen";"01051969";"Eider"
"01051032";"Frestedt";"01051963";"Burg-St. Michaelisdonn"
"01051033";"Friedrichsgabekoog";"01051978";"Büsum-Wesselburen"
"01051034";"Friedrichskoog";"01051966";"Marne-Nordsee"
"01051035";"Gaushorn";"01051969";"Eider"
"01051036";"Glüsing";"01051969";"Eider"
"01051037";"Großenrade";"01051963";"Burg-St. Michaelisdonn"
"01051038";"Groven";"01051969";"Eider"
"01051039";"Gudendorf";"01051975";"Mitteldithmarschen"
"01051043";"Hedwigenkoog";"01051978";"Büsum-Wesselburen"
"01051044";"Heide, Stadt";"01051044";"Heide, Stadt"
"01051045";"Hellschen-Heringsand-Unterschaar";"01051978";"Büsum-Wesselburen"
"01051046";"Helse";"01051966";"Marne-Nordsee"
"01051047";"Hemme";"01051969";"Eider"
"01051048";"Hemmingstedt";"01051972";"Heider Umland"
"01051049";"Hennstedt";"01051969";"Eider"
"01051050";"Hillgroven";"01051978";"Büsum-Wesselburen"
"01051051";"Hochdonn";"01051963";"Burg-St. Michaelisdonn"
"01051052";"Hövede";"01051969";"Eider"
"01051053";"Hollingstedt";"01051969";"Eider"
"01051054";"Immenstedt";"01051975";"Mitteldithmarschen"
"01051057";"Kaiser-Wilhelm-Koog";"01051966";"Marne-Nordsee"
"01051058";"Karolinenkoog";"01051969";"Eider"
"01051060";"Kleve";"01051969";"Eider"
"01051061";"Krempel";"01051969";"Eider"
"01051062";"Kronprinzenkoog";"01051966";"Marne-Nordsee"
"01051063";"Krumstedt";"01051975";"Mitteldithmarschen"
"01051064";"Kuden";"01051963";"Burg-St. Michaelisdonn"
"01051065";"Lehe";"01051969";"Eider"
"01051067";"Lieth";"01051972";"Heider Umland"
"01051068";"Linden";"01051969";"Eider"
"01051069";"Lohe-Rickelshof";"01051972";"Heider Umland"
"01051071";"Lunden";"01051969";"Eider"
"01051072";"Marne, Stadt";"01051966";"Marne-Nordsee"
"01051073";"Marnerdeich";"01051966";"Marne-Nordsee"
"01051074";"Meldorf, Stadt";"01051975";"Mitteldithmarschen"
"01051075";"Neuenkirchen";"01051972";"Heider Umland"
"01051076";"Neufeld";"01051966";"Marne-Nordsee"
"01051077";"Neufelderkoog";"01051966";"Marne-Nordsee"
"01051078";"Nindorf";"01051975";"Mitteldithmarschen"
"01051079";"Norddeich";"01051978";"Büsum-Wesselburen"
"01051080";"Norderheistedt";"01051969";"Eider"
"01051081";"Norderwöhrden";"01051972";"Heider Umland"
"01051082";"Nordhastedt";"01051972";"Heider Umland"
"01051083";"Odderade";"01051975";"Mitteldithmarschen"
"01051084";"Oesterdeichstrich";"01051978";"Büsum-Wesselburen"
"01051085";"Offenbüttel";"01051975";"Mitteldithmarschen"
"01051086";"Osterrade";"01051975";"Mitteldithmarschen"
"01051087";"Ostrohe";"01051972";"Heider Umland"
"01051088";"Pahlen";"01051969";"Eider"
"01051089";"Quickborn";"01051963";"Burg-St. Michaelisdonn"
"01051090";"Ramhusen";"01051966";"Marne-Nordsee"
"01051092";"Rehm-Flehde-Bargen";"01051969";"Eider"
