Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
;;;2014;2015;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"78,48";"78,34";"78,80"
"01002";"Kiel, Stadt";"krsfr. Stadt";"79,81";"79,91";"80,05"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"79,98";"79,79";"79,62"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"79,49";"79,30";"78,65"
"01051";"Dithmarschen";"Landkreis";"79,68";"79,40";"79,28"
"01053";"Herzogtum Lauenburg";"Landkreis";"81,00";"80,96";"80,58"
"01054";"Nordfriesland";"Landkreis";"80,49";"80,36";"80,28"
"01055";"Ostholstein";"Landkreis";"80,55";"80,54";"80,39"
"01056";"Pinneberg";"Landkreis";"81,04";"81,12";"81,04"
"01057";"Plön";"Landkreis";"81,67";"81,72";"81,88"
"01058";"Rendsburg-Eckernförde";"Landkreis";"80,81";"81,03";"81,19"
"01059";"Schleswig-Flensburg";"Landkreis";"80,48";"80,34";"80,19"
"01060";"Segeberg";"Landkreis";"81,02";"81,16";"81,01"
"01061";"Steinburg";"Landkreis";"79,90";"79,89";"79,69"
"01062";"Stormarn";"Landkreis";"81,61";"81,93";"81,87"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"80,88";"80,93";"80,95"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"80,47";"80,48";"80,62"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"79,33";"79,04";"78,73"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"81,13";"81,06";"80,46"
"03151";"Gifhorn";"Landkreis";"81,05";"81,18";"80,85"
"03153";"Goslar";"Landkreis";"80,07";"79,90";"79,65"
"03154";"Helmstedt";"Landkreis";"79,39";"79,14";"78,60"
"03155";"Northeim";"Landkreis";"80,04";"80,33";"80,34"
"03157";"Peine";"Landkreis";"80,28";"80,28";"80,06"
"03158";"Wolfenbüttel";"Landkreis";"80,78";"80,43";"80,28"
"03159";"Göttingen";"Landkreis";"80,75";"80,63";"80,43"
"03241";"Region Hannover";"Landkreis";"80,99";"80,92";"80,84"
"03251";"Diepholz";"Landkreis";"80,66";"80,55";"80,34"
"03252";"Hameln-Pyrmont";"Landkreis";"79,86";"79,62";"79,84"
"03254";"Hildesheim";"Landkreis";"79,98";"79,96";"79,79"
"03255";"Holzminden";"Landkreis";"79,57";"79,76";"80,14"
"03256";"Nienburg (Weser)";"Landkreis";"80,07";"79,99";"79,48"
"03257";"Schaumburg";"Landkreis";"80,46";"80,15";"79,31"
"03351";"Celle";"Landkreis";"80,31";"80,16";"80,19"
"03352";"Cuxhaven";"Landkreis";"79,99";"80,02";"79,99"
"03353";"Harburg";"Landkreis";"81,27";"81,51";"81,82"
