Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
;;;2014;2017;2014;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"81,14";"81,05";"75,86";"76,72"
"01002";"Kiel, Stadt";"krsfr. Stadt";"82,28";"82,62";"77,22";"77,51"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"82,33";"82,65";"77,46";"76,44"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"81,97";"81,56";"76,92";"75,91"
"01051";"Dithmarschen";"Landkreis";"81,99";"82,05";"77,41";"76,81"
"01053";"Herzogtum Lauenburg";"Landkreis";"83,12";"82,86";"78,93";"78,47"
"01054";"Nordfriesland";"Landkreis";"82,92";"83,02";"78,02";"77,78"
"01055";"Ostholstein";"Landkreis";"82,70";"82,86";"78,34";"78,05"
"01056";"Pinneberg";"Landkreis";"83,20";"83,06";"78,84";"79,20"
"01057";"Plön";"Landkreis";"83,63";"84,22";"79,63";"79,82"
"01058";"Rendsburg-Eckernförde";"Landkreis";"82,91";"83,53";"78,73";"79,16"
"01059";"Schleswig-Flensburg";"Landkreis";"82,45";"82,30";"78,51";"78,41"
"01060";"Segeberg";"Landkreis";"82,97";"83,19";"79,07";"79,20"
"01061";"Steinburg";"Landkreis";"82,46";"82,71";"77,37";"77,00"
"01062";"Stormarn";"Landkreis";"83,53";"83,60";"79,63";"80,21"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"83,17";"83,25";"78,46";"78,68"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"83,19";"82,94";"77,67";"77,89"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"82,03";"81,35";"76,59";"75,82"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"83,50";"82,71";"78,68";"77,90"
"03151";"Gifhorn";"Landkreis";"83,84";"83,55";"78,42";"78,32"
"03153";"Goslar";"Landkreis";"82,73";"82,02";"77,43";"76,91"
"03154";"Helmstedt";"Landkreis";"82,01";"81,38";"76,84";"75,38"
"03155";"Northeim";"Landkreis";"82,64";"82,52";"77,52";"77,73"
"03157";"Peine";"Landkreis";"82,69";"81,85";"77,83";"78,05"
"03158";"Wolfenbüttel";"Landkreis";"82,94";"82,08";"78,57";"78,05"
"03159";"Göttingen";"Landkreis";"83,17";"82,53";"78,30";"78,17"
"03241";"Region Hannover";"Landkreis";"83,44";"83,23";"78,45";"78,44"
"03251";"Diepholz";"Landkreis";"83,10";"82,89";"78,32";"77,92"
"03252";"Hameln-Pyrmont";"Landkreis";"82,59";"81,71";"77,12";"77,47"
"03254";"Hildesheim";"Landkreis";"82,59";"82,12";"77,33";"77,39"
"03255";"Holzminden";"Landkreis";"81,92";"82,21";"77,32";"76,99"
"03256";"Nienburg (Weser)";"Landkreis";"82,73";"81,99";"77,47";"76,76"
"03257";"Schaumburg";"Landkreis";"83,15";"81,70";"77,79";"76,76"
"03351";"Celle";"Landkreis";"82,99";"82,86";"77,61";"77,39"
"03352";"Cuxhaven";"Landkreis";"82,42";"82,07";"77,57";"77,83"
"03353";"Harburg";"Landkreis";"83,59";"83,97";"78,98";"79,86"
"03354";"Lüchow-Dannenberg";"Landkreis";"82,39";"80,69";"77,84";"76,04"
"03355";"Lüneburg";"Landkreis";"83,07";"82,94";"77,75";"77,99"
"03356";"Osterholz";"Landkreis";"82,72";"82,90";"78,14";"78,55"
"03357";"Rotenburg (Wümme)";"Landkreis";"83,05";"83,05";"77,93";"77,58"
"03358";"Heidekreis";"Landkreis";"83,09";"82,82";"77,72";"77,83"
"03359";"Stade";"Landkreis";"82,59";"83,11";"78,16";"78,55"
"03360";"Uelzen";"Landkreis";"82,05";"81,53";"77,26";"76,57"
"03361";"Verden";"Landkreis";"83,03";"82,16";"79,02";"79,05"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"83,48";"81,97";"78,17";"77,64"
"03402";"Emden, Stadt";"krsfr. Stadt";"80,67";"80,02";"75,52";"75,38"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"83,19";"82,18";"78,55";"78,38"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"83,04";"83,38";"78,24";"78,88"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"82,06";"80,67";"76,32";"76,12"
"03451";"Ammerland";"Landkreis";"83,82";"83,21";"78,98";"79,00"
"03452";"Aurich";"Landkreis";"81,77";"81,58";"76,65";"76,12"
"03453";"Cloppenburg";"Landkreis";"83,23";"82,90";"77,35";"77,93"
"03454";"Emsland";"Landkreis";"83,10";"82,84";"78,02";"78,06"
"03455";"Friesland";"Landkreis";"82,87";"82,39";"78,55";"78,51"
"03456";"Grafschaft Bentheim";"Landkreis";"83,73";"82,71";"79,16";"79,05"
"03457";"Leer";"Landkreis";"81,77";"81,67";"77,16";"77,77"
"03458";"Oldenburg";"Landkreis";"82,69";"82,85";"78,91";"78,33"
"03459";"Osnabrück";"Landkreis";"83,39";"84,07";"78,88";"78,99"
"03460";"Vechta";"Landkreis";"83,44";"83,62";"79,37";"80,20"
"03461";"Wesermarsch";"Landkreis";"82,02";"81,67";"77,24";"77,21"
"03462";"Wittmund";"Landkreis";"82,88";"80,85";"77,98";"76,91"
"04011";"Bremen, Stadt";"krsfr. Stadt";"82,73";"82,97";"77,64";"77,68"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"81,63";"80,89";"74,73";"75,05"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"82,92";"82,98";"78,64";"78,74"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"81,49";"81,81";"76,55";"76,50"
"05113";"Essen, Stadt";"krsfr. Stadt";"82,04";"81,74";"76,87";"76,93"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"82,22";"81,93";"77,59";"77,63"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"82,03";"81,83";"76,96";"77,12"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"82,63";"82,30";"78,06";"77,76"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"81,61";"81,30";"76,34";"76,41"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"82,44";"82,02";"77,34";"77,23"
"05122";"Solingen, Stadt";"krsfr. Stadt";"82,04";"81,71";"78,39";"77,58"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"82,26";"82,51";"77,32";"77,07"
"05154";"Kleve";"Landkreis";"82,75";"82,31";"78,19";"77,67"
"05158";"Mettmann";"Landkreis";"83,00";"83,05";"78,77";"79,19"
"05162";"Rhein-Kreis Neuss";"Landkreis";"83,07";"83,27";"79,07";"79,06"
"05166";"Viersen";"Landkreis";"82,28";"82,38";"78,72";"79,33"
"05170";"Wesel";"Landkreis";"83,01";"82,94";"78,10";"78,39"
"05314";"Bonn, Stadt";"krsfr. Stadt";"84,42";"83,95";"79,66";"79,01"
"05315";"Köln, Stadt";"krsfr. Stadt";"82,71";"83,05";"78,43";"78,89"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"83,58";"83,34";"78,93";"78,76"
"05334";"Städteregion Aachen";"Landkreis";"82,88";"82,89";"78,64";"78,96"
"05358";"Düren";"Landkreis";"82,69";"81,38";"77,92";"78,07"
