"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1","1001","Saar",1998,994187,0.78761,0.759637924250297,0.915668766375,0.613204167230262,4,7,2
"2","1001","Saar",1999,994187,0.768248,0.752100615764362,0.909555709278562,0.595903098835288,4,7,2
"3","1001","Saar",2000,994187,0.733438,0.7284232777895,0.902967137508138,0.57052160590047,4,7,2
"4","1001","Saar",2001,994187,0.707683,0.734550891732654,0.88667500423996,0.539514751656456,4,7,2
"5","1001","Saar",2002,994187,0.691383,0.711618328840871,0.8834312882204,0.539633885896994,3,6,2
"6","1001","Saar",2003,994187,0.686825,0.703790321584252,0.880695925835755,0.542911089612685,3,6,2
"7","1001","Saar",2004,994187,0.674966,0.695890293166038,0.874590976864776,0.537958104424301,3,6,2
"8","1001","Saar",2005,994187,0.672899,0.674239943907102,0.87792358652594,0.55297038886723,3,6,2
"9","1001","Saar",2006,994187,0.650148,0.646397357826915,0.881860042537522,0.540507278474764,3,6,2
"10","1001","Saar",2007,994187,0.628275,0.644095648670813,0.875951825588641,0.513751946451596,4,7,2
"11","1001","Saar",2008,994187,0.589066,0.612683015209977,0.865378844177249,0.493058031529131,4,7,2
"12","1001","Saar",2009,994187,0.512817,0.493862091093852,0.852889023167508,0.502477469856784,2,4,2
"13","1001","Saar",2010,994187,0.544257,0.563509241739332,0.85304598137395,0.482933798432871,3,6,2
"14","1001","Saar",2011,994187,0.504928,0.543923027090825,0.841673849607548,0.451020776159136,4,7,2
"15","1001","Saar",2012,994187,0.491628,0.542246492847948,0.836595174519619,0.436514338994294,3,6,2
"16","1001","Saar",2013,994187,0.476932,0.533372869521544,0.834121082679985,0.424369982423291,4,7,2
"17","1001","Saar",2014,994187,0.454661,0.515360699685336,0.831508566141595,0.409391498598749,4,7,2
"18","1001","Saar",2015,994187,0.425196,0.484577847216926,0.826886996949067,0.397693838862377,3,6,2
"19","1001","Saar",2016,994187,0.440186,0.522373615385991,0.823500870422516,0.387247837893412,4,8,2
"20","1001","Saar",2017,994187,0.416184,0.516649614456042,0.815499782204066,0.36260348328517,4,8,2
"21","101","Schleswig-Holstein Mitte",1998,729142,0.800933,0.76214215363298,0.905927643688065,0.641738935325711,4,7,2
"22","101","Schleswig-Holstein Mitte",1999,729142,0.772406,0.732357469770983,0.901052094458754,0.630795305121681,4,7,2
"23","101","Schleswig-Holstein Mitte",2000,729142,0.739726,0.723556867246204,0.89136002206127,0.597047427349689,4,7,2
"24","101","Schleswig-Holstein Mitte",2001,729142,0.703328,0.718030519239216,0.870716716016979,0.565031112888486,4,7,2
"25","101","Schleswig-Holstein Mitte",2002,729142,0.700229,0.712235857485062,0.870641033908958,0.565947028937537,4,7,2
"26","101","Schleswig-Holstein Mitte",2003,729142,0.714186,0.719620932613605,0.871093021000419,0.580421745433075,4,7,2
"27","101","Schleswig-Holstein Mitte",2004,729142,0.710869,0.711307340359901,0.868545025823471,0.585980578572493,4,7,2
"28","101","Schleswig-Holstein Mitte",2005,729142,0.719903,0.69388242185691,0.872347085652213,0.614045709404612,4,8,2
"29","101","Schleswig-Holstein Mitte",2006,729142,0.704028,0.692494973387018,0.869230393863339,0.593171214478197,4,8,2
"30","101","Schleswig-Holstein Mitte",2007,729142,0.66308,0.661118125194107,0.862814280717073,0.565505394148792,4,8,2
"31","101","Schleswig-Holstein Mitte",2008,729142,0.618139,0.624733509441445,0.847547078541466,0.545315222827257,4,8,2
"32","101","Schleswig-Holstein Mitte",2009,729142,0.595722,0.602660755556949,0.840865235971146,0.538234644654991,4,8,2
"33","101","Schleswig-Holstein Mitte",2010,729142,0.5725,0.574759817476484,0.842796296537695,0.527081932719427,4,7,2
"34","101","Schleswig-Holstein Mitte",2011,729142,0.551386,0.576801802837893,0.827369979525498,0.506712957452176,4,8,2
"35","101","Schleswig-Holstein Mitte",2012,729142,0.524381,0.555078038523005,0.825477695273854,0.487158901492808,4,8,2
"36","101","Schleswig-Holstein Mitte",2013,729142,0.512094,0.557107572285306,0.819190465854381,0.471775544497196,4,8,2
"37","101","Schleswig-Holstein Mitte",2014,729142,0.487165,0.536585791346338,0.814891801869706,0.456744975742629,4,8,2
"38","101","Schleswig-Holstein Mitte",2015,729142,0.455639,0.510403678379093,0.809216894678142,0.438203579671683,4,8,2
