"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",1.1e+07,1998,3613495,0.673874532380677,0.935840129970786,0.683105966891764,0.838250908885766,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"2",1.1e+07,1999,3613495,0.661421444334769,0.930268692903874,0.660279722034826,0.822014423568914,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"3",1.1e+07,2000,3613495,0.630176624972241,0.914368687124699,0.63515414459013,0.793289938539481,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"4",1.1e+07,2001,3613495,0.600157290913544,0.894255792010927,0.612456246694506,0.764342986263159,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"5",1.1e+07,2002,3613495,0.612385733779213,0.8968692393831,0.590639817634086,0.761570896599526,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"6",1.1e+07,2003,3613495,0.632417417785361,0.896770509619373,0.57906155992966,0.764891541663654,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"7",1.1e+07,2004,3613495,0.633165206628355,0.901755759597121,0.549401062359104,0.755381370057377,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"8",1.1e+07,2005,3613495,0.654645133705889,0.908209177078446,0.512603808474537,0.751858334047938,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"9",1.1e+07,2006,3613495,0.63868035796621,0.906882101604634,0.483513375141392,0.733423301304098,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"10",1.1e+07,2007,3613495,0.61086404124943,0.902605711196845,0.465162567320051,0.713374098061269,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"11",1.1e+07,2008,3613495,0.579092822724051,0.885581774261104,0.435483254907303,0.682183754615476,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"12",1.1e+07,2009,3613495,0.571212088306066,0.871864597666364,0.404205564853701,0.661167898097502,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"13",1.1e+07,2010,3613495,0.554793280949761,0.872490241183321,0.394381230108501,0.65098600581174,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"14",1.1e+07,2011,3613495,0.522668545826303,0.855305784891115,0.371855853692967,0.622434747005672,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"15",1.1e+07,2012,3613495,0.500555287171547,0.851099254289865,0.303718858241801,0.584892096056608,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"16",1.1e+07,2013,3613495,0.486438920269995,0.84709412692064,0.334247270247073,0.589823330835601,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"17",1.1e+07,2014,3613495,0.462138255929986,0.841547451459169,0.324169923991609,0.573954925431654,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"18",1.1e+07,2015,3613495,0.423424062468286,0.832595206221728,0.323143268823089,0.554601441906137,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"19",1.1e+07,2016,3613495,0.395358571760475,0.82668641620415,0.256540111815024,0.514626085452028,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
"20",1.1e+07,2017,3613495,0.358841813368703,0.820020068188375,0.24535656045583,0.493017595790522,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt",11000
