"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",2e+06,1998,1830584,0.526759478169804,0.872887986777581,0.661756609766303,0.746272434735166,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"2",2e+06,1999,1830584,0.502419040876177,0.863307201053476,0.646081394181388,0.726559909176009,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"3",2e+06,2000,1830584,0.470812581323621,0.849416433195887,0.641427424949531,0.706626890324632,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"4",2e+06,2001,1830584,0.436050343326672,0.812849857948717,0.630418101720904,0.673900898994568,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"5",2e+06,2002,1830584,0.44040748920196,0.815461499309899,0.606834822390834,0.667297328067401,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"6",2e+06,2003,1830584,0.455274378045252,0.812135398543166,0.59339684795292,0.666543275242391,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"7",2e+06,2004,1830584,0.45447665979039,0.807962077439317,0.580671748140747,0.659509794501986,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"8",2e+06,2005,1830584,0.471442766553402,0.814787641197172,0.559515166544979,0.660557132965193,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"9",2e+06,2006,1830584,0.459892382494122,0.807365954430593,0.541969292192198,0.646042765644001,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"10",2e+06,2007,1830584,0.427983709952815,0.806798929215056,0.502072772964348,0.617277813617638,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"11",2e+06,2008,1830584,0.396771195057094,0.783669031809226,0.445224212168413,0.573084017432146,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"12",2e+06,2009,1830584,0.395231416311927,0.779710923069435,0.397925773932354,0.552099669573154,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"13",2e+06,2010,1830584,0.381877864456091,0.788607944905408,0.27593288979932,0.501841276457478,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"14",2e+06,2011,1830584,0.34264089700562,0.763521029770093,0.323324045534675,0.495111220424634,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"15",2e+06,2012,1830584,0.320290562510801,0.755842892703697,0.310435952672113,0.478053667564987,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"16",2e+06,2013,1830584,0.299786020670202,0.75018102092495,0.236404771444069,0.438229282890524,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"17",2e+06,2014,1830584,0.284925238903271,0.749595740632244,0.235237552513872,0.43162619332683,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"18",2e+06,2015,1830584,0.264497067318609,0.739250948815376,0.225338913023149,0.415460919485926,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"19",2e+06,2016,1830584,0.241921188729757,0.735342091781627,0.211644343837962,0.399491313697933,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
"20",2e+06,2017,1830584,0.217532090648172,0.721144665448346,0.203934299545511,0.381090349442094,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt","2000000"
