"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",10041100,1998,180966,0.668806007167101,0.945912293154266,0.737871948566223,0.862006851612623,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"2",10041100,1999,180966,0.652789704723803,0.940070407422066,0.727931163460032,0.849368079732403,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"3",10041100,2000,180966,0.629357943311443,0.931829966186713,0.700656097199235,0.825938987286651,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"4",10041100,2001,180966,0.590895797036705,0.913620347665223,0.698219132985543,0.802445721152919,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"5",10041100,2002,180966,0.588964530245045,0.910074651951378,0.650079926189835,0.781135519503121,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"6",10041100,2003,180966,0.594855792839726,0.907745567946246,0.666914656310918,0.789242444024606,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"7",10041100,2004,180966,0.588125490580241,0.896028287548941,0.673999837740007,0.784726361198399,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"8",10041100,2005,180966,0.613525870240502,0.900188954186974,0.635585474349792,0.781207535162199,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"9",10041100,2006,180966,0.608261762306743,0.905640230555442,0.600763850447609,0.767441776816123,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"10",10041100,2007,180966,0.580435937638171,0.898210981046423,0.597253063323024,0.75203395614851,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"11",10041100,2008,180966,0.562968858189169,0.889372414466822,0.566532734171944,0.729368498205622,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"12",10041100,2009,180966,0.56438812881624,0.878889682429046,0.460056026163902,0.683446077020833,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"13",10041100,2010,180966,0.535517396174012,0.880944521714166,0.505690568851039,0.69092570895326,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"14",10041100,2011,180966,0.508226150351494,0.874755579664646,0.482587932676046,0.668436385190065,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"15",10041100,2012,180966,0.486012690767948,0.868627904810865,0.478754023810674,0.655648141087441,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"16",10041100,2013,180966,0.471345508212984,0.868054627776784,0.476768420652867,0.648801496212363,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"17",10041100,2014,180966,0.464763352703365,0.862935870190779,0.45983375108674,0.637420040788849,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"18",10041100,2015,180966,0.453648348366306,0.858308434416925,0.421692382470664,0.616003463577219,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"19",10041100,2016,180966,0.439781326206982,0.857036742077999,0.467820741950909,0.628320561054136,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"20",10041100,2017,180966,0.419504938947473,0.852174790526574,0.443668278458081,0.608729513236594,"Saarbrücken, Landeshauptstadt","10041100",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Saarbrücken, Landeshauptstadt",10041
"21",10041511,1998,10170,0.584456036533792,0.942352035662876,0.738138319059607,0.827172056366496,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"22",10041511,1999,10170,0.564629788381224,0.936293150359243,0.72821505832798,0.812939706110156,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"23",10041511,2000,10170,0.542043109048275,0.928682138618925,0.700947878035737,0.790099805152313,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"24",10041511,2001,10170,0.51433580642945,0.916512632362714,0.698496894322393,0.773276264656875,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"25",10041511,2002,10170,0.512263413327428,0.91171514851241,0.650341915589577,0.751406168645095,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"26",10041511,2003,10170,0.52335837124906,0.909828621473845,0.6671468542739,0.761745403213635,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"27",10041511,2004,10170,0.510866290126529,0.898465821373597,0.674262703358477,0.755092332788489,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"28",10041511,2005,10170,0.538578495374795,0.902677513981306,0.635829063156241,0.752504980430141,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"29",10041511,2006,10170,0.533118368158591,0.908104583853552,0.601028468503536,0.73866004973251,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"30",10041511,2007,10170,0.496291267073018,0.900950259716937,0.597557111221722,0.719799538487791,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"31",10041511,2008,10170,0.475367967950151,0.891673315824745,0.566824515008446,0.695581264262424,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"32",10041511,2009,10170,0.494752785468198,0.879960135917845,0.460247918065386,0.656270648547093,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"33",10041511,2010,10170,0.465030404813365,0.88160370800839,0.50590874731437,0.663258771926383,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"34",10041511,2011,10170,0.429482533798695,0.873499277094599,0.482800853827007,0.636724365514418,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"35",10041511,2012,10170,0.405914895063001,0.867725301212288,0.478754023810674,0.623453844751668,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"36",10041511,2013,10170,0.390364845817007,0.867081614924933,0.476768420652867,0.616228312259929,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"37",10041511,2014,10170,0.380709004649559,0.86182044456248,0.45983375108674,0.60356859121145,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"38",10041511,2015,10170,0.36437902175668,0.858243336043372,0.421692382470664,0.580496737985445,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"39",10041511,2016,10170,0.355148607372472,0.856064950834663,0.467820741950909,0.594296321805665,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"40",10041511,2017,10170,0.330929167029261,0.850457437456756,0.443668278458081,0.572841744189249,"Friedrichsthal, Stadt","10041511",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Friedrichsthal, Stadt",10041
"41",10041512,1998,8023,0.577314231108931,0.94260141709391,0.738163729402725,0.824442703495231,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"42",10041512,1999,8023,0.558570191990377,0.936702308106136,0.728234335140001,0.810701553035717,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"43",10041512,2000,8023,0.536436312747089,0.929228396833048,0.700965402410302,0.788095416540879,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"44",10041512,2001,8023,0.505444867581167,0.914908650384994,0.698528438196609,0.769117506661172,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"45",10041512,2002,8023,0.505031920418087,0.911677122467051,0.65036031618287,0.748524150095802,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"46",10041512,2003,8023,0.508808012317467,0.909331783641698,0.66719679874141,0.755784617973083,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"47",10041512,2004,8023,0.495175028213258,0.898088127824895,0.674324038669453,0.748729968266796,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"48",10041512,2005,8023,0.497760746895564,0.902085229015122,0.63600343068316,0.736115514950985,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"49",10041512,2006,8023,0.469142056418684,0.908589751000806,0.601301848746745,0.713533612620458,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"50",10041512,2007,8023,0.447830324521647,0.901301667557718,0.597770908591411,0.700762971082793,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"51",10041512,2008,8023,0.432348281746668,0.892018542195089,0.567017283128657,0.678696555253447,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"52",10041512,2009,8023,0.447717184752144,0.879878617704196,0.460469601403629,0.637631659564221,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"53",10041512,2010,8023,0.426372202567727,0.881250694417168,0.506091877028571,0.647826219475627,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"54",10041512,2011,8023,0.403746038414865,0.874073311416566,0.482970840260285,0.626790894305938,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
"55",10041512,2012,8023,0.388317362705184,0.871729485389347,0.478754023810674,0.618051053119904,"Großrosseln","10041512",10041,"Regionalverband Saarbrücken","1001","Saar","DEC0","Saarland","Großrosseln",10041
