"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,661662;1245041;4;8;2
"2";1998;2;0,925077;427271;5;10;3
"3";1998;3;0,814638;294995;5;9;3
"4";1998;4;0,804542;1233846;5;9;3
"5";1998;6;1;1300863;5;10;3
"6";1998;7;0,771087;579985;5;9;3
"7";1998;8;0,802166;598445;5;9;3
"8";1998;9;0,7854;788089;5;9;3
"9";1998;10;0,704236;414467;4;8;2
"10";1998;12;0,702208;1377942;4;8;2
"11";1998;13;0,704236;1173394;4;8;2
"12";1998;14;0,65359;1264837;4;7;2
"13";1998;15;0,723863;627638;4;8;2
"14";1998;16;0,856749;598416;5;10;3
"15";1998;17;0,990248;587834;5;10;3
"16";1998;18;0,910564;607324;5;10;3
"17";1998;19;0,878509;404679;5;10;3
"18";1998;20;0,306036;123873;1;2;1
"19";1998;21;0,456416;1597996;2;4;2
"20";1998;22;0,339008;1103442;1;2;1
"21";1998;23;0,808174;734709;5;9;3
"22";1998;24;0,752162;1096639;4;8;2
"23";1998;25;0,678847;696446;4;8;2
"24";1998;26;0,830993;1174940;5;9;3
"25";1998;27;0,787046;860141;5;9;3
"26";1998;28;0,589538;738878;3;6;2
"27";1998;29;0,842891;522068;5;10;3
"28";1998;30;0,506612;912461;3;5;2
"29";1998;31;0,655334;987374;4;7;2
"30";1998;32;0,498897;885607;3;5;2
"31";1998;33;0,493886;1082569;2;4;2
"32";1998;34;0,630497;771997;4;7;2
"33";1998;35;0,505014;912547;3;5;2
"34";1998;36;0,599773;534835;3;6;2
"35";1998;37;0,770189;444539;5;9;3
"36";1998;38;0,64987;1141969;4;7;2
"37";1998;39;0,942581;783323;5;10;3
"38";1998;40;0,235695;991992;1;1;1
"39";1998;41;0,501488;952282;3;5;2
"40";1998;42;0,508416;878888;3;5;2
"41";1998;44;0,648517;1267494;4;7;2
"42";1998;45;0,5827;1559154;3;6;2
"43";1998;46;0,642576;894580;4;7;2
"44";1998;47;0,67746;1313713;4;8;2
"45";1998;48;0,421178;1189935;2;3;2
"46";1998;49;0,6454;1228129;4;7;2
"47";1998;50;0,375092;1084177;2;3;2
"48";1998;51;0,350831;1079789;1;2;1
"49";1998;52;0,545666;941131;3;6;2
"50";1998;53;0,339805;1265468;1;2;1
"51";1998;54;0,618615;516643;4;7;2
"52";1998;55;0,433992;805580;2;3;2
"53";1998;56;0,628564;849197;4;7;2
"54";1998;57;0,483204;598580;2;4;2
"55";1998;58;0,543598;930406;3;6;2
"56";1998;59;0,561821;1145053;3;6;2
"57";1998;60;0,145015;619157;1;1;1
"58";1998;61;0,113529;451016;1;1;1
"59";1998;63;0,453619;1268562;2;4;2
"60";1998;64;0,301091;802795;1;2;1
"61";1998;65;0,276247;1081652;1;2;1
"62";1998;66;0,725782;1248759;4;8;2
"63";1998;67;0,585808;1033467;3;6;2
"64";1998;68;0,400013;601445;2;3;2
"65";1998;69;0,247594;508992;1;2;1
"66";1998;70;0,102505;821650;1;1;1
"67";1998;71;0,203272;1000158;1;1;1
"68";1998;72;0,375047;1056260;2;3;2
"69";1998;73;0,351408;1006392;1;2;1
"70";1998;74;0,383028;1057532;2;3;2
"71";1998;75;0,445799;484410;2;4;2
"72";1998;76;0,364632;1139769;1;2;1
"73";1998;77;0,439821;478943;2;3;2
"74";1998;78;0,464338;741488;2;4;2
"75";1998;79;0,480911;1040371;2;4;2
"76";1998;80;0,000275;626238;1;1;1
"77";1998;81;0;814923;1;1;1
"78";1998;82;0,117101;735553;1;1;1
"79";1998;83;0,455971;762163;2;4;2
"80";1998;84;0,49303;684830;2;4;2
"81";1998;85;0,178102;1114901;1;1;1
"82";1998;86;0,497603;1164100;2;4;2
"83";1998;87;0,523202;522875;3;5;2
"84";1998;88;0,36357;846572;1;2;1
"85";1998;89;0,407902;763761;2;3;2
"86";1998;90;0,518153;892793;3;5;2
"87";1998;91;0,415019;999919;2;3;2
"88";1998;92;0,580607;516635;3;6;2
"89";1998;93;0,49895;590817;3;5;2
"90";1998;94;0,610052;705807;3;6;2
"91";1998;95;0,644711;497508;4;7;2
"92";1998;96;0,608559;561663;3;6;2
"93";1998;97;0,54242;1061355;3;5;2
"94";1998;98;0,805582;304392;5;9;3
"95";1998;99;0,847574;945480;5;10;3
"96";1999;1;0,67704;1245041;4;8;2
"97";1999;2;0,951141;427271;5;10;3
"98";1999;3;0,821406;294995;5;10;3
"99";1999;4;0,80358;1233846;5;9;3
"100";1999;6;0,996534;1300863;5;10;3
"101";1999;7;0,754399;579985;5;9;3
"102";1999;8;0,854981;598445;5;10;3
"103";1999;9;0,818302;788089;5;9;3
"104";1999;10;0,693012;414467;4;8;2
"105";1999;12;0,691758;1377942;4;8;2
"106";1999;13;0,693013;1173394;4;8;2
"107";1999;14;0,663622;1264837;4;7;2
"108";1999;15;0,745825;627638;4;8;2
"109";1999;16;0,868971;598416;5;10;3
"110";1999;17;1;587834;5;10;3
"111";1999;18;0,903647;607324;5;10;3
"112";1999;19;0,889393;404679;5;10;3
"113";1999;20;0,313254;123873;1;2;1
"114";1999;21;0,476836;1597996;2;4;2
"115";1999;22;0,343347;1103442;1;2;1
