"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001,"Flensburg, Stadt",1998,85942,0.848913,5,10,3
"2",1001,"Flensburg, Stadt",1999,85942,0.824921,5,10,3
"3",1001,"Flensburg, Stadt",2000,85942,0.790279,5,9,3
"4",1001,"Flensburg, Stadt",2001,85942,0.778151,5,9,3
"5",1001,"Flensburg, Stadt",2002,85942,0.777653,5,9,3
"6",1001,"Flensburg, Stadt",2003,85942,0.771776,5,9,3
"7",1001,"Flensburg, Stadt",2004,85942,0.770558,5,9,3
"8",1001,"Flensburg, Stadt",2005,85942,0.79856,5,9,3
"9",1001,"Flensburg, Stadt",2006,85942,0.786089,5,9,3
"10",1001,"Flensburg, Stadt",2007,85942,0.762364,5,9,3
"11",1001,"Flensburg, Stadt",2008,85942,0.716743,4,8,2
"12",1001,"Flensburg, Stadt",2009,85942,0.690377,4,7,2
"13",1001,"Flensburg, Stadt",2010,85942,0.679569,4,7,2
"14",1001,"Flensburg, Stadt",2011,85942,0.634946,3,5,2
"15",1001,"Flensburg, Stadt",2012,85942,0.624268,3,5,2
"16",1001,"Flensburg, Stadt",2013,85942,0.633755,3,5,2
"17",1001,"Flensburg, Stadt",2014,85942,0.614916,3,5,2
"18",1001,"Flensburg, Stadt",2015,85942,0.591274,2,4,2
"19",1002,"Kiel, Stadt",1998,246306,0.790887,5,9,3
"20",1002,"Kiel, Stadt",1999,246306,0.768697,5,9,3
"21",1002,"Kiel, Stadt",2000,246306,0.744898,5,9,3
"22",1002,"Kiel, Stadt",2001,246306,0.715321,4,8,2
"23",1002,"Kiel, Stadt",2002,246306,0.706613,4,8,2
"24",1002,"Kiel, Stadt",2003,246306,0.71191,4,8,2
"25",1002,"Kiel, Stadt",2004,246306,0.717956,4,8,2
"26",1002,"Kiel, Stadt",2005,246306,0.728829,4,8,2
"27",1002,"Kiel, Stadt",2006,246306,0.723542,4,8,2
"28",1002,"Kiel, Stadt",2007,246306,0.691866,4,7,2
"29",1002,"Kiel, Stadt",2008,246306,0.647165,3,6,2
"30",1002,"Kiel, Stadt",2009,246306,0.614141,3,5,2
"31",1002,"Kiel, Stadt",2010,246306,0.606121,3,5,2
"32",1002,"Kiel, Stadt",2011,246306,0.573083,2,4,2
"33",1002,"Kiel, Stadt",2012,246306,0.560863,2,3,2
"34",1002,"Kiel, Stadt",2013,246306,0.538156,2,3,2
"35",1002,"Kiel, Stadt",2014,246306,0.52062,2,3,2
"36",1002,"Kiel, Stadt",2015,246306,0.490754,1,2,1
"37",1003,"Lübeck, Stadt",1998,216253,0.861256,5,10,3
"38",1003,"Lübeck, Stadt",1999,216253,0.840693,5,10,3
"39",1003,"Lübeck, Stadt",2000,216253,0.830068,5,10,3
"40",1003,"Lübeck, Stadt",2001,216253,0.811407,5,10,3
"41",1003,"Lübeck, Stadt",2002,216253,0.810114,5,10,3
"42",1003,"Lübeck, Stadt",2003,216253,0.800211,5,10,3
"43",1003,"Lübeck, Stadt",2004,216253,0.782682,5,9,3
"44",1003,"Lübeck, Stadt",2005,216253,0.821779,5,10,3
"45",1003,"Lübeck, Stadt",2006,216253,0.794303,5,9,3
"46",1003,"Lübeck, Stadt",2007,216253,0.770446,5,9,3
"47",1003,"Lübeck, Stadt",2008,216253,0.724977,4,8,2
"48",1003,"Lübeck, Stadt",2009,216253,0.702521,4,7,2
"49",1003,"Lübeck, Stadt",2010,216253,0.68869,4,7,2
"50",1003,"Lübeck, Stadt",2011,216253,0.691493,4,7,2
"51",1003,"Lübeck, Stadt",2012,216253,0.672592,4,7,2
"52",1003,"Lübeck, Stadt",2013,216253,0.65179,3,6,2
"53",1003,"Lübeck, Stadt",2014,216253,0.63923,3,5,2
"54",1003,"Lübeck, Stadt",2015,216253,0.613813,3,5,2
"55",1004,"Neumünster, Stadt",1998,79197,0.872255,5,10,3
"56",1004,"Neumünster, Stadt",1999,79197,0.845424,5,10,3
"57",1004,"Neumünster, Stadt",2000,79197,0.803527,5,10,3
"58",1004,"Neumünster, Stadt",2001,79197,0.783691,5,9,3
"59",1004,"Neumünster, Stadt",2002,79197,0.778326,5,9,3
"60",1004,"Neumünster, Stadt",2003,79197,0.8147,5,10,3
"61",1004,"Neumünster, Stadt",2004,79197,0.797169,5,9,3
"62",1004,"Neumünster, Stadt",2005,79197,0.796164,5,9,3
"63",1004,"Neumünster, Stadt",2006,79197,0.786853,5,9,3
"64",1004,"Neumünster, Stadt",2007,79197,0.754936,5,9,3
"65",1004,"Neumünster, Stadt",2008,79197,0.739598,4,8,2
"66",1004,"Neumünster, Stadt",2009,79197,0.693923,4,7,2
"67",1004,"Neumünster, Stadt",2010,79197,0.700885,4,7,2
"68",1004,"Neumünster, Stadt",2011,79197,0.687336,4,7,2
"69",1004,"Neumünster, Stadt",2012,79197,0.669719,3,6,2
"70",1004,"Neumünster, Stadt",2013,79197,0.668817,3,6,2
"71",1004,"Neumünster, Stadt",2014,79197,0.624385,3,5,2
"72",1004,"Neumünster, Stadt",2015,79197,0.61617,3,5,2
"73",1051,"Dithmarschen",1998,132917,0.851005,5,10,3
"74",1051,"Dithmarschen",1999,132917,0.838727,5,10,3
"75",1051,"Dithmarschen",2000,132917,0.818733,5,10,3
"76",1051,"Dithmarschen",2001,132917,0.815262,5,10,3
"77",1051,"Dithmarschen",2002,132917,0.814873,5,10,3
"78",1051,"Dithmarschen",2003,132917,0.805584,5,10,3
"79",1051,"Dithmarschen",2004,132917,0.800125,5,10,3
"80",1051,"Dithmarschen",2005,132917,0.829197,5,10,3
"81",1051,"Dithmarschen",2006,132917,0.797944,5,9,3
"82",1051,"Dithmarschen",2007,132917,0.767851,5,9,3
"83",1051,"Dithmarschen",2008,132917,0.734819,4,8,2
"84",1051,"Dithmarschen",2009,132917,0.71632,4,8,2
"85",1051,"Dithmarschen",2010,132917,0.704194,4,8,2
"86",1051,"Dithmarschen",2011,132917,0.696902,4,7,2
"87",1051,"Dithmarschen",2012,132917,0.683754,4,7,2
"88",1051,"Dithmarschen",2013,132917,0.65594,3,6,2
"89",1051,"Dithmarschen",2014,132917,0.652199,3,6,2
"90",1051,"Dithmarschen",2015,132917,0.627551,3,5,2
"91",1053,"Herzogtum Lauenburg",1998,192999,0.774967,5,9,3
"92",1053,"Herzogtum Lauenburg",1999,192999,0.773389,5,9,3
"93",1053,"Herzogtum Lauenburg",2000,192999,0.746314,5,9,3
"94",1053,"Herzogtum Lauenburg",2001,192999,0.733569,4,8,2
"95",1053,"Herzogtum Lauenburg",2002,192999,0.742336,5,9,3
"96",1053,"Herzogtum Lauenburg",2003,192999,0.737542,4,8,2
"97",1053,"Herzogtum Lauenburg",2004,192999,0.72733,4,8,2
"98",1053,"Herzogtum Lauenburg",2005,192999,0.72331,4,8,2
"99",1053,"Herzogtum Lauenburg",2006,192999,0.714569,4,8,2
"100",1053,"Herzogtum Lauenburg",2007,192999,0.679958,4,7,2
"101",1053,"Herzogtum Lauenburg",2008,192999,0.647839,3,6,2
"102",1053,"Herzogtum Lauenburg",2009,192999,0.62674,3,5,2
"103",1053,"Herzogtum Lauenburg",2010,192999,0.612918,3,5,2
"104",1053,"Herzogtum Lauenburg",2011,192999,0.58236,2,4,2
"105",1053,"Herzogtum Lauenburg",2012,192999,0.573363,2,4,2
"106",1053,"Herzogtum Lauenburg",2013,192999,0.557884,2,3,2
"107",1053,"Herzogtum Lauenburg",2014,192999,0.547754,2,3,2
"108",1053,"Herzogtum Lauenburg",2015,192999,0.508138,1,2,1
"109",1054,"Nordfriesland",1998,163960,0.809451,5,10,3
"110",1054,"Nordfriesland",1999,163960,0.796206,5,9,3
"111",1054,"Nordfriesland",2000,163960,0.788572,5,9,3
"112",1054,"Nordfriesland",2001,163960,0.784762,5,9,3
"113",1054,"Nordfriesland",2002,163960,0.772706,5,9,3
"114",1054,"Nordfriesland",2003,163960,0.765771,5,9,3
"115",1054,"Nordfriesland",2004,163960,0.780661,5,9,3
"116",1054,"Nordfriesland",2005,163960,0.77863,5,9,3
"117",1054,"Nordfriesland",2006,163960,0.759816,5,9,3
"118",1054,"Nordfriesland",2007,163960,0.736197,4,8,2
