"","NUTS2","NUTS2 Name","Jahr","Bevoelkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE11","Stuttgart",1998,4069533,0.562292,3,6,2
"2","DE11","Stuttgart",1999,4069533,0.527097,3,5,2
"3","DE11","Stuttgart",2000,4069533,0.490404,2,4,2
"4","DE11","Stuttgart",2001,4069533,0.452826,2,4,2
"5","DE11","Stuttgart",2002,4069533,0.446329,2,3,2
"6","DE11","Stuttgart",2003,4069533,0.431458,2,3,2
"7","DE11","Stuttgart",2004,4069533,0.427261,2,3,2
"8","DE11","Stuttgart",2005,4069533,0.418494,2,3,2
"9","DE11","Stuttgart",2006,4069533,0.378065,1,2,1
"10","DE11","Stuttgart",2007,4069533,0.334132,1,2,1
"11","DE11","Stuttgart",2008,4069533,0.285397,1,1,1
"12","DE11","Stuttgart",2009,4069533,0.304561,1,1,1
"13","DE11","Stuttgart",2010,4069533,0.277683,1,1,1
"14","DE11","Stuttgart",2011,4069533,0.217529,1,1,1
"15","DE11","Stuttgart",2012,4069533,0.133322,1,1,1
"16","DE11","Stuttgart",2013,4069533,0.159064,1,1,1
"17","DE11","Stuttgart",2014,4069533,0.136476,1,1,1
"18","DE11","Stuttgart",2015,4069533,0.100242,1,1,1
"19","DE12","Karlsruhe",1998,2761977,0.613637,4,7,2
"20","DE12","Karlsruhe",1999,2761977,0.58507,3,6,2
"21","DE12","Karlsruhe",2000,2761977,0.543562,3,6,2
"22","DE12","Karlsruhe",2001,2761977,0.505604,3,5,2
"23","DE12","Karlsruhe",2002,2761977,0.501545,3,5,2
"24","DE12","Karlsruhe",2003,2761977,0.496138,3,5,2
"25","DE12","Karlsruhe",2004,2761977,0.489402,2,4,2
"26","DE12","Karlsruhe",2005,2761977,0.489169,2,4,2
"27","DE12","Karlsruhe",2006,2761977,0.454376,2,4,2
"28","DE12","Karlsruhe",2007,2761977,0.409271,2,3,2
"29","DE12","Karlsruhe",2008,2761977,0.35697,1,2,1
"30","DE12","Karlsruhe",2009,2761977,0.370086,1,2,1
"31","DE12","Karlsruhe",2010,2761977,0.341014,1,2,1
"32","DE12","Karlsruhe",2011,2761977,0.284305,1,1,1
"33","DE12","Karlsruhe",2012,2761977,0.195971,1,1,1
"34","DE12","Karlsruhe",2013,2761977,0.225078,1,1,1
"35","DE12","Karlsruhe",2014,2761977,0.206738,1,1,1
"36","DE12","Karlsruhe",2015,2761977,0.169256,1,1,1
"37","DE13","Freiburg",1998,2224535,0.658452,4,8,2
"38","DE13","Freiburg",1999,2224535,0.634744,4,8,2
"39","DE13","Freiburg",2000,2224535,0.595898,4,7,2
"40","DE13","Freiburg",2001,2224535,0.56905,3,6,2
