"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",1998,724185,0.772547,5,9,3
"2",101,"Schleswig-Holstein Mitte",1999,724185,0.750828,5,9,3
"3",101,"Schleswig-Holstein Mitte",2000,724185,0.72323,5,9,3
"4",101,"Schleswig-Holstein Mitte",2001,724185,0.699176,4,8,2
"5",101,"Schleswig-Holstein Mitte",2002,724185,0.695603,4,8,2
"6",101,"Schleswig-Holstein Mitte",2003,724185,0.707083,5,9,3
"7",101,"Schleswig-Holstein Mitte",2004,724185,0.702147,4,8,2
"8",101,"Schleswig-Holstein Mitte",2005,724185,0.709727,5,9,3
"9",101,"Schleswig-Holstein Mitte",2006,724185,0.692022,4,8,2
"10",101,"Schleswig-Holstein Mitte",2007,724185,0.655422,4,7,2
"11",101,"Schleswig-Holstein Mitte",2008,724185,0.60781,3,6,2
"12",101,"Schleswig-Holstein Mitte",2009,724185,0.580066,3,5,2
"13",101,"Schleswig-Holstein Mitte",2010,724185,0.56295,3,5,2
"14",101,"Schleswig-Holstein Mitte",2011,724185,0.532484,2,4,2
"15",101,"Schleswig-Holstein Mitte",2012,724185,0.508875,2,4,2
"16",101,"Schleswig-Holstein Mitte",2013,724185,0.491194,2,3,2
"17",101,"Schleswig-Holstein Mitte",2014,724185,0.465188,2,3,2
"18",101,"Schleswig-Holstein Mitte",2015,724185,0.431784,1,2,1
"19",102,"Schleswig-Holstein Nord",1998,446741,0.80997,5,10,3
"20",102,"Schleswig-Holstein Nord",1999,446741,0.794874,5,10,3
"21",102,"Schleswig-Holstein Nord",2000,446741,0.773932,5,9,3
"22",102,"Schleswig-Holstein Nord",2001,446741,0.764018,5,9,3
"23",102,"Schleswig-Holstein Nord",2002,446741,0.756917,5,9,3
"24",102,"Schleswig-Holstein Nord",2003,446741,0.75493,5,9,3
"25",102,"Schleswig-Holstein Nord",2004,446741,0.759044,5,9,3
"26",102,"Schleswig-Holstein Nord",2005,446741,0.768014,5,9,3
"27",102,"Schleswig-Holstein Nord",2006,446741,0.740525,5,9,3
"28",102,"Schleswig-Holstein Nord",2007,446741,0.725578,5,9,3
"29",102,"Schleswig-Holstein Nord",2008,446741,0.679313,4,8,2
"30",102,"Schleswig-Holstein Nord",2009,446741,0.654312,4,7,2
"31",102,"Schleswig-Holstein Nord",2010,446741,0.638559,4,7,2
"32",102,"Schleswig-Holstein Nord",2011,446741,0.595225,3,6,2
"33",102,"Schleswig-Holstein Nord",2012,446741,0.584738,3,6,2
"34",102,"Schleswig-Holstein Nord",2013,446741,0.562801,3,5,2
"35",102,"Schleswig-Holstein Nord",2014,446741,0.551885,3,5,2
"36",102,"Schleswig-Holstein Nord",2015,446741,0.518726,2,4,2
"37",103,"Schleswig-Holstein Ost",1998,415827,0.831028,5,10,3
"38",103,"Schleswig-Holstein Ost",1999,415827,0.813762,5,10,3
"39",103,"Schleswig-Holstein Ost",2000,415827,0.794622,5,10,3
"40",103,"Schleswig-Holstein Ost",2001,415827,0.780386,5,10,3
"41",103,"Schleswig-Holstein Ost",2002,415827,0.782369,5,10,3
"42",103,"Schleswig-Holstein Ost",2003,415827,0.76946,5,9,3
