"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",1.1e+07,1998,3520031,0.674781178112636,0.819917951658572,0.682246244542441,0.807154698539548,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"2",1.1e+07,1999,3520031,0.662806849728287,0.808177291588086,0.658211833887016,0.787932974539486,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"3",1.1e+07,2000,3520031,0.63425778801715,0.770164751404336,0.631833968789427,0.750519796226662,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"4",1.1e+07,2001,3520031,0.603166608312872,0.773136766706706,0.60857131735955,0.729835827403097,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"5",1.1e+07,2002,3520031,0.615068052516907,0.778581486894101,0.585542283757905,0.727548164196383,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"6",1.1e+07,2003,3520031,0.634583635664959,0.777599353985067,0.57275294511699,0.729860480787202,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"7",1.1e+07,2004,3520031,0.635256951267533,0.791245926055873,0.541906523520646,0.723207654161859,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"8",1.1e+07,2005,3520031,0.656797676618373,0.791821335421906,0.503862603333162,0.716795856276376,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"9",1.1e+07,2006,3520031,0.640920870032751,0.799167968906427,0.472984500123184,0.700931886788076,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"10",1.1e+07,2007,3520031,0.613323979834126,0.787572374195912,0.45301360076691,0.677115414446018,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"11",1.1e+07,2008,3520031,0.581081060334535,0.734083226328689,0.421547918187751,0.62993696100228,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"12",1.1e+07,2009,3520031,0.57292482668703,0.718614864214384,0.388920995349961,0.607292672587065,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"13",1.1e+07,2010,3520031,0.555941439728412,0.709832396836161,0.377829236313792,0.592455483329017,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"14",1.1e+07,2011,3520031,0.522555990301971,0.675506235276059,0.354093709063449,0.555643048313321,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"15",1.1e+07,2012,3520031,0.500202761904043,0.663608875951174,0.27692219750885,0.510789607647556,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"16",1.1e+07,2013,3520031,0.485865251942074,0.644931735669748,0.307255607909441,0.509710263128113,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"17",1.1e+07,2014,3520031,0.461391889163744,0.631832114196454,0.295032550473527,0.489664654440907,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
"18",1.1e+07,2015,3520031,0.42235570282932,0.610380354344791,0.291771069834414,0.464002051132191,"Berlin, Stadt",1.1e+07,11000,"Berlin, Stadt",1101,"Berlin","DE30","Berlin","Berlin, Stadt",1.1e+07
