"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",12051000,1998,71574,0.742785593202653,0.956232928807111,0.698957289456081,0.896131442492747,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"2",12051000,1999,71574,0.750629904525908,0.95203880566499,0.665992377657356,0.884330675634628,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"3",12051000,2000,71574,0.742490337567857,0.933526335532958,0.675314970137437,0.877354633892225,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"4",12051000,2001,71574,0.714076819990041,0.924341397935521,0.627958549768428,0.843155686877191,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"5",12051000,2002,71574,0.726160181295494,0.916566339414828,0.656616380477578,0.856426344334177,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"6",12051000,2003,71574,0.731510904328014,0.919572654686047,0.610706284815462,0.84130920113758,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"7",12051000,2004,71574,0.728552097670893,0.89728830947157,0.596539210759271,0.82544444682277,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"8",12051000,2005,71574,0.732688611643968,0.9136485074111,0.615688572373954,0.84140414259335,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"9",12051000,2006,71574,0.70157747947954,0.905197271702111,0.656197951718493,0.841785366094838,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"10",12051000,2007,71574,0.671344754341741,0.884490692520679,0.620597120479303,0.806948265908702,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"11",12051000,2008,71574,0.617860856622895,0.843397911499605,0.496238511705619,0.718814933366793,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"12",12051000,2009,71574,0.606239725613482,0.819312067945947,0.444751208340179,0.683714505383262,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"13",12051000,2010,71574,0.581535742149661,0.817729804186155,0.525195001699994,0.705515856264074,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"14",12051000,2011,71574,0.553453274791345,0.798682487329229,0.513507425434169,0.681838677270289,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"15",12051000,2012,71574,0.538913217650178,0.8101755737399,0.41587241087795,0.641308715238919,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"16",12051000,2013,71574,0.511529078968836,0.792298175888665,0.488982743740924,0.652519366823471,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
"17",12051000,2014,71574,0.486010536940348,0.783771305366329,0.524463464013928,0.653097156060717,"Brandenburg an der Havel, Stadt",12051000,12051,"Brandenburg an der Havel, Stadt",1201,"Havelland-Fläming","DE40","Brandenburg","Brandenburg an der Havel, Stadt",12051
