"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",4011000,1998,568006,0.636092074652713,0.920041104798812,0.804699736349301,0.844858340879459,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"2",4011000,1999,568006,0.625478485011631,0.915097031389859,0.757398701062142,0.820883066866663,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"3",4011000,2000,568006,0.596533083958151,0.898422616015278,0.754305468603824,0.802303161047033,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"4",4011000,2001,568006,0.545226104407452,0.871000840850065,0.741654765740981,0.767449630946253,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"5",4011000,2002,568006,0.550227637392455,0.872736748598423,0.704632286384284,0.755898451575856,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"6",4011000,2003,568006,0.555354177021815,0.872696320199776,0.692933786754419,0.753376384973422,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"7",4011000,2004,568006,0.560682936913899,0.870561602949236,0.69445057829386,0.755173169560213,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"8",4011000,2005,568006,0.593542431333013,0.875201646496416,0.660638917271947,0.756579782528759,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"9",4011000,2006,568006,0.569259827187387,0.869274487089364,0.615164507885187,0.727712675308036,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"10",4011000,2007,568006,0.53502229710326,0.866312569607812,0.605357270213351,0.709783602819817,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"11",4011000,2008,568006,0.497157405348962,0.836921874041436,0.573759576633674,0.672079441592423,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"12",4011000,2009,568006,0.506988465271463,0.845508076071381,0.540218941688763,0.666311154607748,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"13",4011000,2010,568006,0.495403467449995,0.85137643254563,0.512694008287622,0.653632306901842,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"14",4011000,2011,568006,0.466692771134504,0.840798630986467,0.52090166176054,0.641777594971867,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"15",4011000,2012,568006,0.45483140146486,0.834019007208523,0.482422674884339,0.619991156243498,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"16",4011000,2013,568006,0.437405217459618,0.829286396748909,0.481257553158825,0.611095055997898,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"17",4011000,2014,568006,0.420471749369719,0.825613354104957,0.474321804061898,0.60059001462984,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"18",4011000,2015,568006,0.398956822167495,0.82084445348747,0.444866514958258,0.579330258433491,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"19",4011000,2016,568006,0.381224725169903,0.815543056821682,0.435864018059511,0.56711123907235,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"20",4011000,2017,568006,0.35772270546578,0.807962906416365,0.452805665993122,0.561717826500698,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"21",4012000,1998,113026,0.695573844020174,1,0.888568827672061,0.93003211521546,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"22",4012000,1999,113026,0.676898340165683,0.995267377417407,0.849547264393341,0.906220471686969,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"23",4012000,2000,113026,0.631802178824544,0.976901696826367,0.813336969889625,0.868203986368225,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"24",4012000,2001,113026,0.589840457600456,0.944512291278067,0.856838797351625,0.856437589296149,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"25",4012000,2002,113026,0.59701637912072,0.953221914275008,0.821462496249851,0.849003515059915,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"26",4012000,2003,113026,0.603333223890578,0.953987021802939,0.828630952194034,0.854438839866718,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"27",4012000,2004,113026,0.613621954557864,0.940087758188129,0.809423646449941,0.845735765360201,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"28",4012000,2005,113026,0.667070369915571,0.953229412985943,0.773516447438218,0.857438684170668,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"29",4012000,2006,113026,0.64947085882517,0.961075803771798,0.765553365710541,0.850681452324884,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"30",4012000,2007,113026,0.623573464454699,0.95157565129773,0.75374713242462,0.832677204814117,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"31",4012000,2008,113026,0.610159662114372,0.935957268055948,0.742308866013585,0.817241152181395,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"32",4012000,2009,113026,0.586543926316848,0.934901945139289,0.736837603862543,0.805744407558261,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"33",4012000,2010,113026,0.584096941663766,0.92803693046654,0.694752657554855,0.786140822253739,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"34",4012000,2011,113026,0.558407307268404,0.914806157515572,0.685169542473135,0.767640833046834,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"35",4012000,2012,113026,0.52099503372605,0.92028238049601,0.660729255120981,0.746138030967205,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"36",4012000,2013,113026,0.500780630970505,0.927461988224588,0.653911163789675,0.738565834867451,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"37",4012000,2014,113026,0.494974154447894,0.927559812380773,0.624288805808047,0.725090044298268,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"38",4012000,2015,113026,0.483417641583782,0.930361210871083,0.646693286649191,0.730296122531071,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"39",4012000,2016,113026,0.459832165460517,0.929561440026568,0.631358442263601,0.715146268983327,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"40",4012000,2017,113026,0.414675600198326,0.919589584057437,0.639635476617685,0.697276429677466,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
