"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1","1001","Saar",1998,994187,0.735574,0.867557183634184,0.575347708290822,0.384482814170311,4,7,2
"2","1001","Saar",1999,994187,0.722826,0.858435822948831,0.572284152958849,0.373585223712191,4,7,2
"3","1001","Saar",2000,994187,0.705717,0.839025229202749,0.569300686440803,0.365001562420864,4,7,2
"4","1001","Saar",2001,994187,0.686528,0.840301707997015,0.554759181033283,0.343521249857304,4,8,2
"5","1001","Saar",2002,994187,0.653922,0.801691164442508,0.533490607450973,0.344361179362099,4,7,2
"6","1001","Saar",2003,994187,0.652728,0.790358014622958,0.533705982476046,0.35331780331404,4,7,2
"7","1001","Saar",2004,994187,0.63233,0.776129761275469,0.513513126717709,0.350804289836815,4,7,2
"8","1001","Saar",2005,994187,0.649873,0.757896404646229,0.542642124035956,0.371672517583297,4,7,2
"9","1001","Saar",2006,994187,0.661093,0.739467138583378,0.592594570974472,0.360466066063828,4,7,2
"10","1001","Saar",2007,994187,0.639021,0.721617487658571,0.594623107744041,0.336321379945768,4,7,2
"11","1001","Saar",2008,994187,0.614993,0.701419070883824,0.59173220673687,0.315904385100059,4,8,2
"12","1001","Saar",2009,994187,0.572999,0.669077687624823,0.541804666961631,0.32213613797901,4,7,2
"13","1001","Saar",2010,994187,0.569437,0.663620725224424,0.547326110625586,0.315622139373948,4,7,2
"14","1001","Saar",2011,994187,0.543115,0.642740000879108,0.540907088616412,0.295261284705864,4,7,2
"15","1001","Saar",2012,994187,0.540802,0.634442125593175,0.550697995142346,0.289580440036304,4,7,2
"16","1001","Saar",2013,994187,0.537596,0.617124317757122,0.560648641352842,0.29114174091317,4,8,2
"17","1001","Saar",2014,994187,0.54002,0.609542958989754,0.579185771295314,0.284574770198409,4,8,2
"18","1001","Saar",2015,994187,0.530143,0.5951088432266,0.579508094580989,0.280803019895341,4,8,2
"19","1001","Saar",2016,994187,0.550969,0.620723830640646,0.594756917105665,0.277648930355233,4,8,2
"20","1001","Saar",2017,994187,0.538011,0.604591163601009,0.602538502737126,0.262537119383144,4,8,2
"21","101","Schleswig-Holstein Mitte",1998,729142,0.703708,0.875880832256096,0.50075866697922,0.393050368795388,3,6,2
"22","101","Schleswig-Holstein Mitte",1999,729142,0.684589,0.839871656801995,0.510094751465604,0.385104303579975,3,6,2
"23","101","Schleswig-Holstein Mitte",2000,729142,0.65797,0.832672534180794,0.484773722516969,0.36942710029547,4,7,2
"24","101","Schleswig-Holstein Mitte",2001,729142,0.61592,0.821287845103053,0.444697706602185,0.34474831087325,4,7,2
