"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",1.1e+07,1998,3613495,0.476079722372693,0.663998559450505,0.803087670735705,0.753376296359957,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"2",1.1e+07,1999,3613495,0.469983349956444,0.665461791685302,0.773500490502022,0.738480067100407,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"3",1.1e+07,2000,3613495,0.464688312308927,0.593882129545933,0.743203457050984,0.691827823956905,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"4",1.1e+07,2001,3613495,0.443870192799867,0.540851389312663,0.701536196239979,0.641543238831419,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"5",1.1e+07,2002,3613495,0.461862086879149,0.565455367857458,0.674818682278243,0.648455145792843,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"6",1.1e+07,2003,3613495,0.485592151375543,0.578784102329936,0.655952008951342,0.656374243889935,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"7",1.1e+07,2004,3613495,0.485482536384408,0.597958865401064,0.620308495366092,0.6491576214177,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"8",1.1e+07,2005,3613495,0.508981518092612,0.653427678114239,0.5838256852992,0.667651488785258,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"9",1.1e+07,2006,3613495,0.48874465238841,0.680477815673403,0.559107248870575,0.659857305879207,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"10",1.1e+07,2007,3613495,0.45969137478313,0.696331951323146,0.537919288143778,0.644888475695455,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"11",1.1e+07,2008,3613495,0.431786690741478,0.670510676837845,0.512343172878314,0.610367996119608,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"12",1.1e+07,2009,3613495,0.427950447442332,0.611660427765368,0.479805315673234,0.568916492300295,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"13",1.1e+07,2010,3613495,0.41976032352867,0.613116625155957,0.460419736832466,0.557546577135102,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"14",1.1e+07,2011,3613495,0.404502406218677,0.590908180053212,0.43206067901926,0.528892533604925,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"15",1.1e+07,2012,3613495,0.385603323061062,0.604548054582499,0.409019812233381,0.51657340840918,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"16",1.1e+07,2013,3613495,0.377190449500345,0.602062100492734,0.37922987249479,0.498861440784001,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"17",1.1e+07,2014,3613495,0.364748423193385,0.604884008306133,0.363853334424433,0.487980305763019,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"18",1.1e+07,2015,3613495,0.345414969285538,0.592745355843844,0.350553655672582,0.468490985749479,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"19",1.1e+07,2016,3613495,0.325991473963949,0.596201566653093,0.292339750343783,0.43619964548105,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
"20",1.1e+07,2017,3613495,0.30515734007536,0.62224934786558,0.277011424190575,0.43179668919951,"Berlin, Stadt","11000000",11000,"Berlin, Stadt","1101","Berlin","DE30","Berlin","Berlin, Stadt","11000000"
