"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",2e+06,1998,1830584,0.381999125108659,0.245323030167781,0.782808861441403,0.521344260677262,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"2",2e+06,1999,1830584,0.366328264676862,0.240469201548848,0.771522444512087,0.507496771175994,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"3",2e+06,2000,1830584,0.345651442064125,0.232563799857594,0.762402147106521,0.491084727097052,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"4",2e+06,2001,1830584,0.322327857198681,0.22236649521057,0.744422132676092,0.468666197319985,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"5",2e+06,2002,1830584,0.334016710066321,0.227696731538099,0.708383624461123,0.460386975423013,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"6",2e+06,2003,1830584,0.354585033572315,0.224356145456679,0.684186873765787,0.457353338737712,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"7",2e+06,2004,1830584,0.355950118039795,0.20538311078845,0.659846839868282,0.439093229524147,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"8",2e+06,2005,1830584,0.379978377961383,0.241769785087553,0.64241763824929,0.457805074415039,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"9",2e+06,2006,1830584,0.373642678531556,0.262039041926268,0.62201491747134,0.454989024200021,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"10",2e+06,2007,1830584,0.345726254103845,0.276142024965265,0.580717398498626,0.430999023805556,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"11",2e+06,2008,1830584,0.323073133399204,0.255858244022605,0.531801815361142,0.391015304926983,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"12",2e+06,2009,1830584,0.326759945397297,0.201998031243285,0.503935402889547,0.357044291929911,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"13",2e+06,2010,1830584,0.319052280743282,0.23141507247088,0.455862927302395,0.345568339567856,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"14",2e+06,2011,1830584,0.295210374365757,0.200772769167116,0.451296339932013,0.319863314010825,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"15",2e+06,2012,1830584,0.285458893101726,0.207458040695999,0.441329246498019,0.314189869996814,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"16",2e+06,2013,1830584,0.280230654711684,0.218655483719763,0.383245050341042,0.291504025674721,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"17",2e+06,2014,1830584,0.278177984001905,0.231537688360621,0.353749854360418,0.283378795466522,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"18",2e+06,2015,1830584,0.270594833743967,0.231491958032362,0.335908994676949,0.272291725397174,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"19",2e+06,2016,1830584,0.257073576968235,0.24180111183741,0.315808527739034,0.262143679388985,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"20",2e+06,2017,1830584,0.246803835731605,0.250422179689809,0.281723202455542,0.246588540510758,"Hamburg, Freie und Hansestadt","2000000",2000,"Hamburg, Stadt","201","Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
