"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bundesland","Bevoelkerung","GISD_Score","TS_Bildung_adj","TS_Einkommen_adj","TS_Arbeitswelt_adj","GISD_5","GISD_10","GISD_k"
"1","1001","Saar",1998,"Saarland",994187,0.82352,0.80868499439881,0.63858027066868,0.562474912163667,4,8,2
"2","1001","Saar",1999,"Saarland",994187,0.800136,0.802220855044268,0.620406314272242,0.543196923636594,4,8,2
"3","1001","Saar",2000,"Saarland",994187,0.76277,0.778874270607239,0.602011049230247,0.514763616010084,4,7,2
"4","1001","Saar",2001,"Saarland",994187,0.728685,0.789471616724419,0.560428631539154,0.481736570085491,4,7,2
"5","1001","Saar",2002,"Saarland",994187,0.695309,0.734517417406666,0.55253115340257,0.481906584737889,4,7,2
"6","1001","Saar",2003,"Saarland",994187,0.688254,0.724158994304693,0.546210926463888,0.485336532292115,4,7,2
"7","1001","Saar",2004,"Saarland",994187,0.671036,0.709298707278867,0.534033566591886,0.480037148493887,4,7,2
"8","1001","Saar",2005,"Saarland",994187,0.671136,0.687304229290449,0.539980302419127,0.496273138586839,4,7,2
"9","1001","Saar",2006,"Saarland",994187,0.65645,0.665707414160737,0.547257734660147,0.483012995074728,4,7,2
"10","1001","Saar",2007,"Saarland",994187,0.623384,0.64528684297059,0.533895432513745,0.454695552382517,4,7,2
"11","1001","Saar",2008,"Saarland",994187,0.587444,0.620940178408347,0.512818826965086,0.432623408974694,4,7,2
"12","1001","Saar",2009,"Saarland",994187,0.572055,0.608055989160892,0.487397540027241,0.44202806971866,4,7,2
"13","1001","Saar",2010,"Saarland",994187,0.5443,0.575778889756154,0.487325065869427,0.422252170472044,4,7,2
"14","1001","Saar",2011,"Saarland",994187,0.501492,0.550173320511826,0.465267143901614,0.389522085694862,3,6,2
"15","1001","Saar",2012,"Saarland",994187,0.496391,0.564054476440081,0.456546469034616,0.374780605062989,4,7,2
"16","1001","Saar",2013,"Saarland",994187,0.467608,0.52571609763157,0.452062846456225,0.363548469486151,4,7,2
"17","1001","Saar",2014,"Saarland",994187,0.453387,0.518080035594776,0.447741755341307,0.348798334496324,4,7,2
"18","1001","Saar",2015,"Saarland",994187,0.436115,0.504786103869937,0.439653189256456,0.337742794887556,4,7,2
"19","1001","Saar",2016,"Saarland",994187,0.452478,0.551528769643388,0.433539847797732,0.32784361606253,4,8,2
"20","1001","Saar",2017,"Saarland",994187,0.423872,0.535147575317242,0.420373253317912,0.30366914436902,4,8,2
"21","101","Schleswig-Holstein Mitte",1998,"Schleswig-Holstein",729142,0.822674,0.797892807851107,0.612943951026525,0.59731362296014,4,7,2
"22","101","Schleswig-Holstein Mitte",1999,"Schleswig-Holstein",729142,0.782322,0.748158815355704,0.59946977033109,0.584740416141524,4,7,2
"23","101","Schleswig-Holstein Mitte",2000,"Schleswig-Holstein",729142,0.746669,0.745756434267514,0.573442034672459,0.546213334364073,4,7,2
"24","101","Schleswig-Holstein Mitte",2001,"Schleswig-Holstein",729142,0.698184,0.736245805297069,0.526126713815547,0.511983205911997,4,7,2
"25","101","Schleswig-Holstein Mitte",2002,"Schleswig-Holstein",729142,0.693181,0.726715905024965,0.525561993608449,0.512680999797808,4,7,2
"26","101","Schleswig-Holstein Mitte",2003,"Schleswig-Holstein",729142,0.698782,0.722367210375605,0.525560058426708,0.527550051510758,4,7,2
"27","101","Schleswig-Holstein Mitte",2004,"Schleswig-Holstein",729142,0.690192,0.705571722443235,0.520366980759565,0.533407436224928,4,7,2
"28","101","Schleswig-Holstein Mitte",2005,"Schleswig-Holstein",729142,0.69802,0.683476313847242,0.527284647864155,0.563286018796318,4,7,2
"29","101","Schleswig-Holstein Mitte",2006,"Schleswig-Holstein",729142,0.685802,0.68962348658588,0.520658947987636,0.540819239827846,4,7,2
"30","101","Schleswig-Holstein Mitte",2007,"Schleswig-Holstein",729142,0.640968,0.648605450576608,0.507855002314606,0.510440726725413,4,7,2
"31","101","Schleswig-Holstein Mitte",2008,"Schleswig-Holstein",729142,0.601358,0.625217652560747,0.47844037918351,0.488855151683714,4,7,2
"32","101","Schleswig-Holstein Mitte",2009,"Schleswig-Holstein",729142,0.568813,0.586188382829676,0.464105120626957,0.481100043544282,4,7,2
