"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt_adj","TS_Einkommen_adj","TS_Bildung_adj","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",15001000,1998,82111,0.723595344892767,0.780693758965912,0.746075581690146,0.819005703376877,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"2",15001000,1999,82111,0.711159720797924,0.758823115126399,0.742440179375994,0.804676472827335,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"3",15001000,2000,82111,0.689610720818343,0.72827622933443,0.774299800803217,0.797033949571186,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"4",15001000,2001,82111,0.664427229806442,0.700239768470934,0.707945806249618,0.751875087695119,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"5",15001000,2002,82111,0.64146430679568,0.693392452250143,0.757058850675242,0.759165076355795,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"6",15001000,2003,82111,0.639778246673423,0.688374711633543,0.734841497887805,0.748242576794689,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"7",15001000,2004,82111,0.646827745121649,0.65975315791772,0.715878805568972,0.732934032399327,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"8",15001000,2005,82111,0.651408451900501,0.675645320974391,0.677967116805643,0.726348005603681,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"9",15001000,2006,82111,0.615648724085897,0.662794205725939,0.651807106519822,0.698109691660077,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
"10",15001000,2007,82111,0.589350564137266,0.657351419972565,0.574744969183077,0.657018604969592,"Dessau-Roßlau, Stadt","15001000",15001,"Dessau-Roßlau, Stadt","1502","Anhalt-Bitterfeld-Wittenberg","DEE0","Sachsen-Anhalt","Dessau-Roßlau, Stadt","15001000"
