"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt_adj","TS_Einkommen_adj","TS_Bildung_adj","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",14511000,1998,246855,0.697358278154693,0.705664427637851,0.71823134559537,0.77024517092873,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"2",14511000,1999,246855,0.657180029862169,0.667563020480732,0.775229223329551,0.762207794150332,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"3",14511000,2000,246855,0.645021729881099,0.651970543114594,0.730645468174986,0.734889592655183,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"4",14511000,2001,246855,0.606786374789596,0.627120040068266,0.691150814082528,0.696148551472482,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"5",14511000,2002,246855,0.625295228720956,0.623896344228698,0.654561050917503,0.688102553606236,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"6",14511000,2003,246855,0.632804614721757,0.614256118690668,0.625337827503113,0.676261229970351,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"7",14511000,2004,246855,0.632454047305453,0.596551610870289,0.620707823429533,0.667693875677766,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"8",14511000,2005,246855,0.645199923717887,0.604833815198581,0.615535195381714,0.673681920896016,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"9",14511000,2006,246855,0.621999395110831,0.591198179157728,0.537397405567018,0.63026031373174,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
"10",14511000,2007,246855,0.58382051511596,0.576421248917374,0.529927575537541,0.607439680776324,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt","14511000"
