"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt_adj","TS_Einkommen_adj","TS_Bildung_adj","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",16051000,1998,212988,0.66665996271843,0.721874935017746,0.801752381544882,0.796316586118967,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"2",16051000,1999,212988,0.646283438592408,0.704258534586137,0.769471852599591,0.769776781461963,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"3",16051000,2000,212988,0.640318868801383,0.673422627041741,0.781395025478523,0.760381501057242,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"4",16051000,2001,212988,0.596944534359553,0.667952537947917,0.732773863873304,0.723572187419171,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"5",16051000,2002,212988,0.608915402950625,0.661535023129664,0.71282615728971,0.718135948089534,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"6",16051000,2003,212988,0.622751502135903,0.652686451317795,0.624519174290803,0.686669128597921,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"7",16051000,2004,212988,0.626937291729585,0.680157411377089,0.658972984447245,0.711636755143189,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"8",16051000,2005,212988,0.642646724514524,0.68761435707317,0.610798850100594,0.702192207842602,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"9",16051000,2006,212988,0.599362861074292,0.671454292583393,0.579545431188471,0.667939019076254,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"10",16051000,2007,212988,0.570971951520388,0.64704734759874,0.557118828664985,0.639529395009993,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"11",16051000,2008,212988,0.533504096273441,0.590808782843155,0.519927950857301,0.590094102721868,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"12",16051000,2009,212988,0.510466511538601,0.550543435202136,0.511327820831209,0.562938852264327,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"13",16051000,2010,212988,0.480734993180984,0.548497205697816,0.540931887597835,0.562117929586124,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"14",16051000,2011,212988,0.448633878040947,0.520131179227016,0.505134842410569,0.525762341725612,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"15",16051000,2012,212988,0.421092424453006,0.511831663860219,0.465589587584733,0.497291624075703,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"16",16051000,2013,212988,0.388859024717035,0.503537692353919,0.468504191621073,0.48308660860406,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"17",16051000,2014,212988,0.363978522374408,0.489286018619868,0.399164786825264,0.442120718588812,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"18",16051000,2015,212988,0.346101341455554,0.472403559758811,0.460674050801143,0.452223108117453,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"19",16051000,2016,212988,0.316405202110879,0.460163372895656,0.425466726731807,0.423088672468873,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"20",16051000,2017,212988,0.288270425505102,0.446267363141045,0.519979817804814,0.442909387768775,"Erfurt, Stadt","16051000",16051,"Erfurt, Stadt","1601","Mittelthüringen","DEG0","Thüringen","Erfurt, Stadt","16051000"
"21",16052000,1998,94859,0.721380170988988,0.742491577900174,0.811148170393776,0.82831711550278,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
"22",16052000,1999,94859,0.691045126621009,0.720165233882241,0.78698619780338,0.799303641825682,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
"23",16052000,2000,94859,0.692781950865833,0.707081104648673,0.756170649831829,0.783380219458205,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
"24",16052000,2001,94859,0.652981915196979,0.678751743595619,0.775735152197734,0.765038971872546,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
"25",16052000,2002,94859,0.651850046565398,0.671277862629732,0.741745852703679,0.748952324271008,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
"26",16052000,2003,94859,0.671397100093197,0.662552900277784,0.681930460025939,0.730449282417404,"Gera, Stadt","16052000",16052,"Gera, Stadt","1603","Ostthüringen","DEG0","Thüringen","Gera, Stadt","16052000"
