"","NUTS2","GISD_Score","GISD_5","GISD_10","GISD_k","NUTS2 Name","Jahr"
"1","DE11",0.503476,1,1,1,"Stuttgart",1998
"2","DE11",0.470618,1,1,1,"Stuttgart",1999
"3","DE11",0.430286,1,1,1,"Stuttgart",2000
"4","DE11",0.375956,1,1,1,"Stuttgart",2001
"5","DE11",0.376051,1,1,1,"Stuttgart",2002
"6","DE11",0.364709,1,1,1,"Stuttgart",2003
"7","DE11",0.358723,1,1,1,"Stuttgart",2004
"8","DE11",0.363418,1,1,1,"Stuttgart",2005
"9","DE11",0.338345,1,1,1,"Stuttgart",2006
"10","DE11",0.308117,1,1,1,"Stuttgart",2007
"11","DE11",0.281568,1,1,1,"Stuttgart",2008
"12","DE11",0.305488,1,1,1,"Stuttgart",2009
"13","DE11",0.2851,1,1,1,"Stuttgart",2010
"14","DE11",0.239647,1,1,1,"Stuttgart",2011
"15","DE11",0.247591,1,1,1,"Stuttgart",2012
"16","DE11",0.205354,1,1,1,"Stuttgart",2013
"17","DE11",0.19037,1,1,1,"Stuttgart",2014
"18","DE11",0.169475,1,1,1,"Stuttgart",2015
"19","DE11",0.151526,1,1,1,"Stuttgart",2016
"20","DE11",0.139607,1,1,1,"Stuttgart",2017
"21","DE12",0.556124,1,2,1,"Karlsruhe",1998
"22","DE12",0.526703,1,2,1,"Karlsruhe",1999
"23","DE12",0.48374,1,2,1,"Karlsruhe",2000
"24","DE12",0.423471,1,2,1,"Karlsruhe",2001
"25","DE12",0.42696,1,2,1,"Karlsruhe",2002
"26","DE12",0.423996,1,2,1,"Karlsruhe",2003
"27","DE12",0.419883,1,2,1,"Karlsruhe",2004
"28","DE12",0.429976,1,2,1,"Karlsruhe",2005
"29","DE12",0.403189,1,2,1,"Karlsruhe",2006
"30","DE12",0.374723,1,2,1,"Karlsruhe",2007
"31","DE12",0.346322,1,2,1,"Karlsruhe",2008
"32","DE12",0.360248,1,2,1,"Karlsruhe",2009
"33","DE12",0.339007,1,2,1,"Karlsruhe",2010
"34","DE12",0.298914,1,2,1,"Karlsruhe",2011
"35","DE12",0.29814,1,2,1,"Karlsruhe",2012
"36","DE12",0.25695,1,2,1,"Karlsruhe",2013
"37","DE12",0.25071,1,2,1,"Karlsruhe",2014
"38","DE12",0.22746,1,2,1,"Karlsruhe",2015
"39","DE12",0.212431,1,2,1,"Karlsruhe",2016
"40","DE12",0.204101,1,2,1,"Karlsruhe",2017
"41","DE13",0.621651,2,4,2,"Freiburg",1998
"42","DE13",0.596201,2,4,2,"Freiburg",1999
"43","DE13",0.55867,2,4,2,"Freiburg",2000
"44","DE13",0.510312,2,3,2,"Freiburg",2001
"45","DE13",0.512432,2,4,2,"Freiburg",2002
"46","DE13",0.50546,2,3,2,"Freiburg",2003
"47","DE13",0.504393,2,4,2,"Freiburg",2004
"48","DE13",0.508006,2,3,2,"Freiburg",2005
"49","DE13",0.486416,2,3,2,"Freiburg",2006
"50","DE13",0.465089,2,4,2,"Freiburg",2007
"51","DE13",0.432125,2,3,2,"Freiburg",2008
"52","DE13",0.451632,2,4,2,"Freiburg",2009
"53","DE13",0.427182,2,4,2,"Freiburg",2010
"54","DE13",0.383563,2,4,2,"Freiburg",2011
"55","DE13",0.394445,2,4,2,"Freiburg",2012
"56","DE13",0.351495,2,4,2,"Freiburg",2013
"57","DE13",0.341553,2,4,2,"Freiburg",2014
"58","DE13",0.312859,2,4,2,"Freiburg",2015
"59","DE13",0.296842,2,4,2,"Freiburg",2016
"60","DE13",0.295286,2,4,2,"Freiburg",2017
"61","DE14",0.539739,1,1,1,"Tübingen",1998
"62","DE14",0.507712,1,1,1,"Tübingen",1999
"63","DE14",0.482749,1,2,1,"Tübingen",2000
"64","DE14",0.426612,1,2,1,"Tübingen",2001
"65","DE14",0.427954,1,2,1,"Tübingen",2002
"66","DE14",0.421856,1,2,1,"Tübingen",2003
"67","DE14",0.424018,1,2,1,"Tübingen",2004
"68","DE14",0.421447,1,1,1,"Tübingen",2005
"69","DE14",0.400875,1,1,1,"Tübingen",2006
"70","DE14",0.373585,1,1,1,"Tübingen",2007
"71","DE14",0.339741,1,2,1,"Tübingen",2008
"72","DE14",0.358679,1,2,1,"Tübingen",2009
"73","DE14",0.338052,1,2,1,"Tübingen",2010
"74","DE14",0.287517,1,2,1,"Tübingen",2011
"75","DE14",0.297218,1,2,1,"Tübingen",2012
"76","DE14",0.257599,1,2,1,"Tübingen",2013
"77","DE14",0.233476,1,2,1,"Tübingen",2014
"78","DE14",0.2307,1,2,1,"Tübingen",2015
"79","DE14",0.200011,1,2,1,"Tübingen",2016
"80","DE14",0.195378,1,2,1,"Tübingen",2017
"81","DE21",0.412808,1,1,1,"Oberbayern",1998
"82","DE21",0.374225,1,1,1,"Oberbayern",1999
"83","DE21",0.336359,1,1,1,"Oberbayern",2000
"84","DE21",0.303459,1,1,1,"Oberbayern",2001
"85","DE21",0.287806,1,1,1,"Oberbayern",2002
"86","DE21",0.281311,1,1,1,"Oberbayern",2003
"87","DE21",0.286001,1,1,1,"Oberbayern",2004
"88","DE21",0.28753,1,1,1,"Oberbayern",2005
"89","DE21",0.261683,1,1,1,"Oberbayern",2006
"90","DE21",0.23291,1,1,1,"Oberbayern",2007
"91","DE21",0.184869,1,1,1,"Oberbayern",2008
"92","DE21",0.186794,1,1,1,"Oberbayern",2009
"93","DE21",0.168069,1,1,1,"Oberbayern",2010
"94","DE21",0.134745,1,1,1,"Oberbayern",2011
"95","DE21",0.123518,1,1,1,"Oberbayern",2012
"96","DE21",0.088314,1,1,1,"Oberbayern",2013
"97","DE21",0.055824,1,1,1,"Oberbayern",2014
"98","DE21",0.03977,1,1,1,"Oberbayern",2015
"99","DE21",0.015391,1,1,1,"Oberbayern",2016
"100","DE21",0,1,1,1,"Oberbayern",2017
"101","DE22",0.616918,2,3,2,"Niederbayern",1998
"102","DE22",0.59161,2,3,2,"Niederbayern",1999
"103","DE22",0.565755,2,4,2,"Niederbayern",2000
"104","DE22",0.533235,3,5,2,"Niederbayern",2001
"105","DE22",0.536731,2,4,2,"Niederbayern",2002
"106","DE22",0.527019,2,4,2,"Niederbayern",2003
"107","DE22",0.52357,2,4,2,"Niederbayern",2004
"108","DE22",0.526938,2,4,2,"Niederbayern",2005
"109","DE22",0.503943,2,4,2,"Niederbayern",2006
"110","DE22",0.463572,2,4,2,"Niederbayern",2007
"111","DE22",0.452249,2,4,2,"Niederbayern",2008
"112","DE22",0.454522,2,4,2,"Niederbayern",2009
"113","DE22",0.437714,2,4,2,"Niederbayern",2010
"114","DE22",0.402737,2,4,2,"Niederbayern",2011
"115","DE22",0.388906,2,4,2,"Niederbayern",2012
"116","DE22",0.343389,2,3,2,"Niederbayern",2013
"117","DE22",0.326248,2,4,2,"Niederbayern",2014
"118","DE22",0.319132,2,4,2,"Niederbayern",2015
"119","DE22",0.311866,2,4,2,"Niederbayern",2016
"120","DE22",0.298043,2,4,2,"Niederbayern",2017
"121","DE23",0.599002,2,3,2,"Oberpfalz",1998
"122","DE23",0.571445,2,3,2,"Oberpfalz",1999
"123","DE23",0.541149,2,3,2,"Oberpfalz",2000
"124","DE23",0.515966,2,4,2,"Oberpfalz",2001
"125","DE23",0.503836,2,3,2,"Oberpfalz",2002
"126","DE23",0.505471,2,4,2,"Oberpfalz",2003
"127","DE23",0.487273,2,3,2,"Oberpfalz",2004
"128","DE23",0.495954,2,3,2,"Oberpfalz",2005
"129","DE23",0.468804,2,3,2,"Oberpfalz",2006
"130","DE23",0.428076,2,3,2,"Oberpfalz",2007
"131","DE23",0.410163,2,3,2,"Oberpfalz",2008
"132","DE23",0.415138,2,3,2,"Oberpfalz",2009
"133","DE23",0.392108,2,3,2,"Oberpfalz",2010
"134","DE23",0.365045,2,3,2,"Oberpfalz",2011
"135","DE23",0.346386,2,3,2,"Oberpfalz",2012
"136","DE23",0.310435,2,3,2,"Oberpfalz",2013
"137","DE23",0.283339,2,3,2,"Oberpfalz",2014
"138","DE23",0.270598,2,3,2,"Oberpfalz",2015
"139","DE23",0.252503,2,3,2,"Oberpfalz",2016
"140","DE23",0.245808,2,3,2,"Oberpfalz",2017
"141","DE24",0.628392,2,4,2,"Oberfranken",1998
"142","DE24",0.600492,2,4,2,"Oberfranken",1999
"143","DE24",0.557907,2,4,2,"Oberfranken",2000
"144","DE24",0.51413,2,4,2,"Oberfranken",2001
"145","DE24",0.525252,2,4,2,"Oberfranken",2002
"146","DE24",0.523068,2,4,2,"Oberfranken",2003
"147","DE24",0.511669,2,4,2,"Oberfranken",2004
"148","DE24",0.521747,2,4,2,"Oberfranken",2005
"149","DE24",0.500329,2,4,2,"Oberfranken",2006
"150","DE24",0.461539,2,3,2,"Oberfranken",2007
"151","DE24",0.432846,2,4,2,"Oberfranken",2008
"152","DE24",0.428811,2,3,2,"Oberfranken",2009
"153","DE24",0.409027,2,3,2,"Oberfranken",2010
"154","DE24",0.382784,2,3,2,"Oberfranken",2011
"155","DE24",0.384148,2,4,2,"Oberfranken",2012
"156","DE24",0.346816,2,4,2,"Oberfranken",2013
"157","DE24",0.326008,2,3,2,"Oberfranken",2014
"158","DE24",0.311141,2,3,2,"Oberfranken",2015
"159","DE24",0.291185,2,3,2,"Oberfranken",2016
"160","DE24",0.280549,2,4,2,"Oberfranken",2017
"161","DE25",0.576056,1,2,1,"Mittelfranken",1998
"162","DE25",0.541341,1,2,1,"Mittelfranken",1999
"163","DE25",0.501404,1,2,1,"Mittelfranken",2000
"164","DE25",0.460854,1,2,1,"Mittelfranken",2001
"165","DE25",0.459413,1,2,1,"Mittelfranken",2002
"166","DE25",0.463103,1,2,1,"Mittelfranken",2003
"167","DE25",0.465108,1,2,1,"Mittelfranken",2004
"168","DE25",0.464712,1,2,1,"Mittelfranken",2005
"169","DE25",0.439719,1,2,1,"Mittelfranken",2006
"170","DE25",0.404984,1,2,1,"Mittelfranken",2007
"171","DE25",0.367471,1,2,1,"Mittelfranken",2008
"172","DE25",0.365894,1,2,1,"Mittelfranken",2009
"173","DE25",0.346628,1,2,1,"Mittelfranken",2010
"174","DE25",0.303874,1,2,1,"Mittelfranken",2011
"175","DE25",0.296381,1,2,1,"Mittelfranken",2012
"176","DE25",0.272067,1,2,1,"Mittelfranken",2013
"177","DE25",0.255279,1,2,1,"Mittelfranken",2014
"178","DE25",0.235434,1,2,1,"Mittelfranken",2015
"179","DE25",0.223136,1,2,1,"Mittelfranken",2016
"180","DE25",0.212285,1,2,1,"Mittelfranken",2017
"181","DE26",0.588309,2,3,2,"Unterfranken",1998
"182","DE26",0.55332,2,3,2,"Unterfranken",1999
"183","DE26",0.521983,2,3,2,"Unterfranken",2000
"184","DE26",0.480283,2,3,2,"Unterfranken",2001
"185","DE26",0.480045,2,3,2,"Unterfranken",2002
"186","DE26",0.484648,2,3,2,"Unterfranken",2003
"187","DE26",0.470023,2,3,2,"Unterfranken",2004
"188","DE26",0.472427,1,2,1,"Unterfranken",2005
"189","DE26",0.453139,2,3,2,"Unterfranken",2006
"190","DE26",0.415754,1,2,1,"Unterfranken",2007
"191","DE26",0.394803,2,3,2,"Unterfranken",2008
"192","DE26",0.389888,2,3,2,"Unterfranken",2009
"193","DE26",0.36865,1,2,1,"Unterfranken",2010
"194","DE26",0.340339,2,3,2,"Unterfranken",2011
"195","DE26",0.333542,2,3,2,"Unterfranken",2012
"196","DE26",0.297873,2,3,2,"Unterfranken",2013
"197","DE26",0.27451,2,3,2,"Unterfranken",2014
"198","DE26",0.262522,2,3,2,"Unterfranken",2015
"199","DE26",0.260053,2,3,2,"Unterfranken",2016
"200","DE26",0.237868,1,2,1,"Unterfranken",2017
"201","DE27",0.581821,1,2,1,"Schwaben",1998
"202","DE27",0.542088,1,2,1,"Schwaben",1999
"203","DE27",0.516328,1,2,1,"Schwaben",2000
"204","DE27",0.472662,1,2,1,"Schwaben",2001
"205","DE27",0.473626,1,2,1,"Schwaben",2002
"206","DE27",0.469603,1,2,1,"Schwaben",2003
"207","DE27",0.469418,1,2,1,"Schwaben",2004
"208","DE27",0.480969,2,3,2,"Schwaben",2005
"209","DE27",0.450687,1,2,1,"Schwaben",2006
"210","DE27",0.416054,2,3,2,"Schwaben",2007
"211","DE27",0.383914,1,2,1,"Schwaben",2008
"212","DE27",0.388842,1,2,1,"Schwaben",2009
"213","DE27",0.371238,2,3,2,"Schwaben",2010
"214","DE27",0.338269,1,2,1,"Schwaben",2011
"215","DE27",0.325196,1,2,1,"Schwaben",2012
"216","DE27",0.293793,1,2,1,"Schwaben",2013
"217","DE27",0.266327,1,2,1,"Schwaben",2014
"218","DE27",0.25956,1,2,1,"Schwaben",2015
"219","DE27",0.244194,1,2,1,"Schwaben",2016
"220","DE27",0.240448,2,3,2,"Schwaben",2017
"221","DE30",0.876864,5,9,3,"Berlin",1998
"222","DE30",0.843137,5,9,3,"Berlin",1999
"223","DE30",0.7737,5,9,3,"Berlin",2000
"224","DE30",0.711848,5,9,3,"Berlin",2001
"225","DE30",0.720182,5,9,3,"Berlin",2002
"226","DE30",0.732226,5,9,3,"Berlin",2003
"227","DE30",0.729313,5,9,3,"Berlin",2004
"228","DE30",0.741534,5,9,3,"Berlin",2005
"229","DE30",0.725479,5,9,3,"Berlin",2006
"230","DE30",0.704468,5,9,3,"Berlin",2007
"231","DE30",0.66132,5,9,3,"Berlin",2008
