"","Raumordnungsregion Nr","GISD_Score","GISD_5","GISD_10","GISD_k","Raumordnungsregion","Jahr"
"1","1001",0.775683,4,7,2,"Saar",1998
"2","1001",0.750912,4,7,2,"Saar",1999
"3","1001",0.715236,4,7,2,"Saar",2000
"4","1001",0.68288,4,7,2,"Saar",2001
"5","1001",0.660548,4,7,2,"Saar",2002
"6","1001",0.658135,4,7,2,"Saar",2003
"7","1001",0.64789,4,7,2,"Saar",2004
"8","1001",0.659377,3,6,2,"Saar",2005
"9","1001",0.65433,4,7,2,"Saar",2006
"10","1001",0.630932,4,7,2,"Saar",2007
"11","1001",0.607215,4,7,2,"Saar",2008
"12","1001",0.593388,4,7,2,"Saar",2009
"13","1001",0.569946,4,7,2,"Saar",2010
"14","1001",0.534727,3,6,2,"Saar",2011
"15","1001",0.542854,4,7,2,"Saar",2012
"16","1001",0.517137,4,7,2,"Saar",2013
"17","1001",0.506635,4,7,2,"Saar",2014
"18","1001",0.490348,4,7,2,"Saar",2015
"19","1001",0.499936,4,8,2,"Saar",2016
"20","1001",0.477008,4,7,2,"Saar",2017
"21","101",0.766335,4,7,2,"Schleswig-Holstein Mitte",1998
"22","101",0.729866,4,7,2,"Schleswig-Holstein Mitte",1999
"23","101",0.690954,4,7,2,"Schleswig-Holstein Mitte",2000
"24","101",0.648451,4,7,2,"Schleswig-Holstein Mitte",2001
"25","101",0.650055,4,7,2,"Schleswig-Holstein Mitte",2002
"26","101",0.660536,4,7,2,"Schleswig-Holstein Mitte",2003
"27","101",0.661367,4,7,2,"Schleswig-Holstein Mitte",2004
"28","101",0.682072,4,7,2,"Schleswig-Holstein Mitte",2005
"29","101",0.674985,4,7,2,"Schleswig-Holstein Mitte",2006
"30","101",0.640715,4,7,2,"Schleswig-Holstein Mitte",2007
"31","101",0.612219,4,7,2,"Schleswig-Holstein Mitte",2008
"32","101",0.582448,4,7,2,"Schleswig-Holstein Mitte",2009
"33","101",0.575885,4,7,2,"Schleswig-Holstein Mitte",2010
"34","101",0.549642,4,7,2,"Schleswig-Holstein Mitte",2011
"35","101",0.540254,4,7,2,"Schleswig-Holstein Mitte",2012
"36","101",0.524196,4,7,2,"Schleswig-Holstein Mitte",2013
"37","101",0.504516,4,7,2,"Schleswig-Holstein Mitte",2014
"38","101",0.493633,4,7,2,"Schleswig-Holstein Mitte",2015
"39","101",0.483758,4,7,2,"Schleswig-Holstein Mitte",2016
"40","101",0.457961,4,7,2,"Schleswig-Holstein Mitte",2017
"41","102",0.78123,4,7,2,"Schleswig-Holstein Nord",1998
"42","102",0.753888,4,7,2,"Schleswig-Holstein Nord",1999
"43","102",0.723672,4,7,2,"Schleswig-Holstein Nord",2000
"44","102",0.70338,4,8,2,"Schleswig-Holstein Nord",2001
"45","102",0.702351,4,8,2,"Schleswig-Holstein Nord",2002
"46","102",0.698289,4,8,2,"Schleswig-Holstein Nord",2003
"47","102",0.7142,4,8,2,"Schleswig-Holstein Nord",2004
"48","102",0.739878,4,8,2,"Schleswig-Holstein Nord",2005
"49","102",0.714159,4,8,2,"Schleswig-Holstein Nord",2006
"50","102",0.710555,4,8,2,"Schleswig-Holstein Nord",2007
"51","102",0.676507,4,8,2,"Schleswig-Holstein Nord",2008
"52","102",0.648899,4,8,2,"Schleswig-Holstein Nord",2009
"53","102",0.648319,4,8,2,"Schleswig-Holstein Nord",2010
"54","102",0.610693,4,8,2,"Schleswig-Holstein Nord",2011
"55","102",0.614956,4,8,2,"Schleswig-Holstein Nord",2012
"56","102",0.587357,4,8,2,"Schleswig-Holstein Nord",2013
"57","102",0.576755,5,9,3,"Schleswig-Holstein Nord",2014
"58","102",0.562661,5,9,3,"Schleswig-Holstein Nord",2015
"59","102",0.549732,5,9,3,"Schleswig-Holstein Nord",2016
"60","102",0.53204,5,9,3,"Schleswig-Holstein Nord",2017
"61","103",0.813866,4,8,2,"Schleswig-Holstein Ost",1998
"62","103",0.786856,4,8,2,"Schleswig-Holstein Ost",1999
"63","103",0.761599,4,8,2,"Schleswig-Holstein Ost",2000
"64","103",0.73373,4,8,2,"Schleswig-Holstein Ost",2001
"65","103",0.732553,4,8,2,"Schleswig-Holstein Ost",2002
"66","103",0.72202,4,8,2,"Schleswig-Holstein Ost",2003
"67","103",0.714922,4,8,2,"Schleswig-Holstein Ost",2004
"68","103",0.757675,4,8,2,"Schleswig-Holstein Ost",2005
"69","103",0.744563,4,8,2,"Schleswig-Holstein Ost",2006
"70","103",0.70644,4,8,2,"Schleswig-Holstein Ost",2007
"71","103",0.676244,4,8,2,"Schleswig-Holstein Ost",2008
"72","103",0.641636,4,8,2,"Schleswig-Holstein Ost",2009
"73","103",0.630507,4,8,2,"Schleswig-Holstein Ost",2010
"74","103",0.626516,5,9,3,"Schleswig-Holstein Ost",2011
"75","103",0.631291,5,9,3,"Schleswig-Holstein Ost",2012
