"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.43686,"9161000","Ingolstadt",1998
"2",0.41761,"9161000","Ingolstadt",1999
"3",0.466918,"9161000","Ingolstadt",2000
"4",0.466757,"9161000","Ingolstadt",2001
"5",0.437548,"9161000","Ingolstadt",2002
"6",0.415548,"9161000","Ingolstadt",2003
"7",0.415933,"9161000","Ingolstadt",2004
"8",0.421945,"9161000","Ingolstadt",2005
"9",0.4289,"9161000","Ingolstadt",2006
"10",0.452527,"9161000","Ingolstadt",2007
"11",0.460839,"9161000","Ingolstadt",2008
"12",0.462464,"9161000","Ingolstadt",2009
"13",0.440658,"9161000","Ingolstadt",2010
"14",0.409481,"9161000","Ingolstadt",2011
"15",0.418822,"9161000","Ingolstadt",2012
"16",0.351283,"9161000","Ingolstadt",2013
"17",0.330692,"9161000","Ingolstadt",2014
"18",0.289872,"9161000","Ingolstadt",2015
"19",0.242969,"9161000","Ingolstadt",2016
"20",0.268071,"9161000","Ingolstadt",2017
"21",0.250734,"9162000","München, Landeshauptstadt",1998
"22",0.22817,"9162000","München, Landeshauptstadt",1999
"23",0.172607,"9162000","München, Landeshauptstadt",2000
"24",0.161836,"9162000","München, Landeshauptstadt",2001
"25",0.135149,"9162000","München, Landeshauptstadt",2002
"26",0.178718,"9162000","München, Landeshauptstadt",2003
"27",0.136502,"9162000","München, Landeshauptstadt",2004
"28",0.178538,"9162000","München, Landeshauptstadt",2005
"29",0.202043,"9162000","München, Landeshauptstadt",2006
"30",0.214682,"9162000","München, Landeshauptstadt",2007
"31",0.220974,"9162000","München, Landeshauptstadt",2008
"32",0.234507,"9162000","München, Landeshauptstadt",2009
"33",0.229873,"9162000","München, Landeshauptstadt",2010
"34",0.208718,"9162000","München, Landeshauptstadt",2011
"35",0.21932,"9162000","München, Landeshauptstadt",2012
"36",0.216002,"9162000","München, Landeshauptstadt",2013
"37",0.152109,"9162000","München, Landeshauptstadt",2014
"38",0.170752,"9162000","München, Landeshauptstadt",2015
"39",0.116719,"9162000","München, Landeshauptstadt",2016
"40",0.13769,"9162000","München, Landeshauptstadt",2017
"41",0.622881,"9163000","Rosenheim",1998
"42",0.672647,"9163000","Rosenheim",1999
"43",0.660354,"9163000","Rosenheim",2000
"44",0.655518,"9163000","Rosenheim",2001
