"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.864507,"12051000","Brandenburg an der Havel, Stadt",1998
"2",0.804988,"12051000","Brandenburg an der Havel, Stadt",1999
"3",0.801793,"12051000","Brandenburg an der Havel, Stadt",2000
"4",0.767897,"12051000","Brandenburg an der Havel, Stadt",2001
"5",0.813914,"12051000","Brandenburg an der Havel, Stadt",2002
"6",0.739169,"12051000","Brandenburg an der Havel, Stadt",2003
"7",0.695205,"12051000","Brandenburg an der Havel, Stadt",2004
"8",0.719226,"12051000","Brandenburg an der Havel, Stadt",2005
"9",0.820425,"12051000","Brandenburg an der Havel, Stadt",2006
"10",0.87008,"12051000","Brandenburg an der Havel, Stadt",2007
"11",0.725502,"12051000","Brandenburg an der Havel, Stadt",2008
"12",0.779133,"12051000","Brandenburg an der Havel, Stadt",2009
"13",0.788315,"12051000","Brandenburg an der Havel, Stadt",2010
"14",0.808524,"12051000","Brandenburg an der Havel, Stadt",2011
"15",0.755473,"12051000","Brandenburg an der Havel, Stadt",2012
"16",0.794921,"12051000","Brandenburg an der Havel, Stadt",2013
"17",0.78833,"12051000","Brandenburg an der Havel, Stadt",2014
"18",0.861821,"12051000","Brandenburg an der Havel, Stadt",2015
"19",0.802883,"12051000","Brandenburg an der Havel, Stadt",2016
"20",0.818184,"12051000","Brandenburg an der Havel, Stadt",2017
"21",0.5562,"12052000","Cottbus, Stadt",1998
"22",0.487114,"12052000","Cottbus, Stadt",1999
"23",0.470334,"12052000","Cottbus, Stadt",2000
"24",0.395436,"12052000","Cottbus, Stadt",2001
"25",0.403999,"12052000","Cottbus, Stadt",2002
"26",0.38356,"12052000","Cottbus, Stadt",2003
"27",0.367314,"12052000","Cottbus, Stadt",2004
"28",0.412463,"12052000","Cottbus, Stadt",2005
"29",0.475301,"12052000","Cottbus, Stadt",2006
"30",0.558661,"12052000","Cottbus, Stadt",2007
"31",0.488983,"12052000","Cottbus, Stadt",2008
"32",0.489466,"12052000","Cottbus, Stadt",2009
"33",0.467161,"12052000","Cottbus, Stadt",2010
"34",0.488216,"12052000","Cottbus, Stadt",2011
"35",0.455186,"12052000","Cottbus, Stadt",2012
"36",0.495899,"12052000","Cottbus, Stadt",2013
"37",0.460949,"12052000","Cottbus, Stadt",2014
"38",0.491189,"12052000","Cottbus, Stadt",2015
