"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.356018,"6411000","Darmstadt, Wissenschaftsstadt",1998
"2",0.317182,"6411000","Darmstadt, Wissenschaftsstadt",1999
"3",0.316745,"6411000","Darmstadt, Wissenschaftsstadt",2000
"4",0.31977,"6411000","Darmstadt, Wissenschaftsstadt",2001
"5",0.287251,"6411000","Darmstadt, Wissenschaftsstadt",2002
"6",0.281093,"6411000","Darmstadt, Wissenschaftsstadt",2003
"7",0.333963,"6411000","Darmstadt, Wissenschaftsstadt",2004
"8",0.293294,"6411000","Darmstadt, Wissenschaftsstadt",2005
"9",0.293353,"6411000","Darmstadt, Wissenschaftsstadt",2006
"10",0.268561,"6411000","Darmstadt, Wissenschaftsstadt",2007
"11",0.26634,"6411000","Darmstadt, Wissenschaftsstadt",2008
"12",0.219441,"6411000","Darmstadt, Wissenschaftsstadt",2009
"13",0.22815,"6411000","Darmstadt, Wissenschaftsstadt",2010
"14",0.244906,"6411000","Darmstadt, Wissenschaftsstadt",2011
"15",0.245834,"6411000","Darmstadt, Wissenschaftsstadt",2012
"16",0.214808,"6411000","Darmstadt, Wissenschaftsstadt",2013
"17",0.230277,"6411000","Darmstadt, Wissenschaftsstadt",2014
"18",0.245458,"6411000","Darmstadt, Wissenschaftsstadt",2015
"19",0.214395,"6411000","Darmstadt, Wissenschaftsstadt",2016
"20",0.186244,"6411000","Darmstadt, Wissenschaftsstadt",2017
"21",0.400693,"6412000","Frankfurt am Main, Stadt",1998
"22",0.373843,"6412000","Frankfurt am Main, Stadt",1999
"23",0.377839,"6412000","Frankfurt am Main, Stadt",2000
"24",0.379245,"6412000","Frankfurt am Main, Stadt",2001
"25",0.343381,"6412000","Frankfurt am Main, Stadt",2002
"26",0.343391,"6412000","Frankfurt am Main, Stadt",2003
"27",0.359656,"6412000","Frankfurt am Main, Stadt",2004
"28",0.347779,"6412000","Frankfurt am Main, Stadt",2005
"29",0.378771,"6412000","Frankfurt am Main, Stadt",2006
"30",0.376705,"6412000","Frankfurt am Main, Stadt",2007
"31",0.308552,"6412000","Frankfurt am Main, Stadt",2008
"32",0.285268,"6412000","Frankfurt am Main, Stadt",2009
"33",0.294317,"6412000","Frankfurt am Main, Stadt",2010
"34",0.271651,"6412000","Frankfurt am Main, Stadt",2011
"35",0.280743,"6412000","Frankfurt am Main, Stadt",2012
"36",0.281557,"6412000","Frankfurt am Main, Stadt",2013
