"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.333791,6411,"Darmstadt, Stadt",1998
"2",0.30084,6411,"Darmstadt, Stadt",1999
"3",0.300912,6411,"Darmstadt, Stadt",2000
"4",0.303469,6411,"Darmstadt, Stadt",2001
"5",0.265416,6411,"Darmstadt, Stadt",2002
"6",0.257804,6411,"Darmstadt, Stadt",2003
"7",0.31096,6411,"Darmstadt, Stadt",2004
"8",0.269675,6411,"Darmstadt, Stadt",2005
"9",0.268908,6411,"Darmstadt, Stadt",2006
"10",0.245721,6411,"Darmstadt, Stadt",2007
"11",0.242871,6411,"Darmstadt, Stadt",2008
"12",0.198112,6411,"Darmstadt, Stadt",2009
"13",0.208182,6411,"Darmstadt, Stadt",2010
"14",0.229758,6411,"Darmstadt, Stadt",2011
"15",0.229638,6411,"Darmstadt, Stadt",2012
"16",0.202179,6411,"Darmstadt, Stadt",2013
"17",0.217394,6411,"Darmstadt, Stadt",2014
"18",0.231572,6411,"Darmstadt, Stadt",2015
"19",0.201679,6411,"Darmstadt, Stadt",2016
"20",0.165961,6411,"Darmstadt, Stadt",2017
"21",0.380008,6412,"Frankfurt am Main, Stadt",1998
"22",0.358858,6412,"Frankfurt am Main, Stadt",1999
"23",0.363421,6412,"Frankfurt am Main, Stadt",2000
"24",0.364369,6412,"Frankfurt am Main, Stadt",2001
"25",0.323266,6412,"Frankfurt am Main, Stadt",2002
"26",0.322121,6412,"Frankfurt am Main, Stadt",2003
"27",0.337541,6412,"Frankfurt am Main, Stadt",2004
"28",0.32598,6412,"Frankfurt am Main, Stadt",2005
"29",0.357281,6412,"Frankfurt am Main, Stadt",2006
"30",0.357242,6412,"Frankfurt am Main, Stadt",2007
"31",0.286434,6412,"Frankfurt am Main, Stadt",2008
"32",0.265738,6412,"Frankfurt am Main, Stadt",2009
"33",0.27606,6412,"Frankfurt am Main, Stadt",2010
"34",0.25704,6412,"Frankfurt am Main, Stadt",2011
"35",0.265298,6412,"Frankfurt am Main, Stadt",2012
"36",0.270002,6412,"Frankfurt am Main, Stadt",2013
"37",0.262645,6412,"Frankfurt am Main, Stadt",2014
"38",0.253956,6412,"Frankfurt am Main, Stadt",2015
"39",0.267903,6412,"Frankfurt am Main, Stadt",2016
"40",0.244545,6412,"Frankfurt am Main, Stadt",2017
"41",1,6413,"Offenbach am Main, Stadt",1998
"42",1,6413,"Offenbach am Main, Stadt",1999
"43",1,6413,"Offenbach am Main, Stadt",2000
"44",1,6413,"Offenbach am Main, Stadt",2001
"45",1,6413,"Offenbach am Main, Stadt",2002
"46",1,6413,"Offenbach am Main, Stadt",2003
"47",1,6413,"Offenbach am Main, Stadt",2004
"48",1,6413,"Offenbach am Main, Stadt",2005
"49",1,6413,"Offenbach am Main, Stadt",2006
"50",1,6413,"Offenbach am Main, Stadt",2007
"51",1,6413,"Offenbach am Main, Stadt",2008
"52",1,6413,"Offenbach am Main, Stadt",2009
"53",1,6413,"Offenbach am Main, Stadt",2010
"54",1,6413,"Offenbach am Main, Stadt",2011
"55",1,6413,"Offenbach am Main, Stadt",2012
"56",1,6413,"Offenbach am Main, Stadt",2013
"57",1,6413,"Offenbach am Main, Stadt",2014
"58",1,6413,"Offenbach am Main, Stadt",2015
"59",1,6413,"Offenbach am Main, Stadt",2016
"60",1,6413,"Offenbach am Main, Stadt",2017
"61",0.551547,6414,"Wiesbaden, Stadt",1998
"62",0.518043,6414,"Wiesbaden, Stadt",1999
"63",0.538873,6414,"Wiesbaden, Stadt",2000
"64",0.563443,6414,"Wiesbaden, Stadt",2001
"65",0.513766,6414,"Wiesbaden, Stadt",2002
"66",0.505069,6414,"Wiesbaden, Stadt",2003
"67",0.497541,6414,"Wiesbaden, Stadt",2004
"68",0.521723,6414,"Wiesbaden, Stadt",2005
"69",0.49979,6414,"Wiesbaden, Stadt",2006
"70",0.483684,6414,"Wiesbaden, Stadt",2007
"71",0.524523,6414,"Wiesbaden, Stadt",2008
"72",0.50908,6414,"Wiesbaden, Stadt",2009
"73",0.520227,6414,"Wiesbaden, Stadt",2010
"74",0.53531,6414,"Wiesbaden, Stadt",2011
"75",0.517458,6414,"Wiesbaden, Stadt",2012
"76",0.525903,6414,"Wiesbaden, Stadt",2013
"77",0.52252,6414,"Wiesbaden, Stadt",2014
"78",0.485604,6414,"Wiesbaden, Stadt",2015
"79",0.519825,6414,"Wiesbaden, Stadt",2016
"80",0.518244,6414,"Wiesbaden, Stadt",2017
"81",0.453164,6431,"Bergstraﬂe",1998
"82",0.447452,6431,"Bergstraﬂe",1999
"83",0.455134,6431,"Bergstraﬂe",2000
"84",0.465809,6431,"Bergstraﬂe",2001
"85",0.408577,6431,"Bergstraﬂe",2002
"86",0.395149,6431,"Bergstraﬂe",2003
"87",0.440276,6431,"Bergstraﬂe",2004
"88",0.4234,6431,"Bergstraﬂe",2005
"89",0.433455,6431,"Bergstraﬂe",2006
"90",0.43129,6431,"Bergstraﬂe",2007
"91",0.481649,6431,"Bergstraﬂe",2008
"92",0.460508,6431,"Bergstraﬂe",2009
"93",0.468427,6431,"Bergstraﬂe",2010
"94",0.493303,6431,"Bergstraﬂe",2011
"95",0.478258,6431,"Bergstraﬂe",2012
"96",0.461055,6431,"Bergstraﬂe",2013
"97",0.466131,6431,"Bergstraﬂe",2014
"98",0.498626,6431,"Bergstraﬂe",2015
"99",0.479639,6431,"Bergstraﬂe",2016
"100",0.4745,6431,"Bergstraﬂe",2017
"101",0.419821,6432,"Darmstadt-Dieburg",1998
"102",0.426902,6432,"Darmstadt-Dieburg",1999
"103",0.449716,6432,"Darmstadt-Dieburg",2000
"104",0.507175,6432,"Darmstadt-Dieburg",2001
"105",0.483269,6432,"Darmstadt-Dieburg",2002
"106",0.419882,6432,"Darmstadt-Dieburg",2003
"107",0.421815,6432,"Darmstadt-Dieburg",2004
"108",0.42792,6432,"Darmstadt-Dieburg",2005
"109",0.437568,6432,"Darmstadt-Dieburg",2006
"110",0.42857,6432,"Darmstadt-Dieburg",2007
"111",0.48476,6432,"Darmstadt-Dieburg",2008
"112",0.433691,6432,"Darmstadt-Dieburg",2009
"113",0.461646,6432,"Darmstadt-Dieburg",2010
"114",0.451949,6432,"Darmstadt-Dieburg",2011
"115",0.45862,6432,"Darmstadt-Dieburg",2012
"116",0.452514,6432,"Darmstadt-Dieburg",2013
"117",0.44936,6432,"Darmstadt-Dieburg",2014
"118",0.455544,6432,"Darmstadt-Dieburg",2015
"119",0.463881,6432,"Darmstadt-Dieburg",2016
"120",0.462683,6432,"Darmstadt-Dieburg",2017
"121",0.462229,6433,"Groﬂ-Gerau",1998
"122",0.447038,6433,"Groﬂ-Gerau",1999
"123",0.474865,6433,"Groﬂ-Gerau",2000
"124",0.50036,6433,"Groﬂ-Gerau",2001
"125",0.47347,6433,"Groﬂ-Gerau",2002
"126",0.456827,6433,"Groﬂ-Gerau",2003
"127",0.517921,6433,"Groﬂ-Gerau",2004
"128",0.51362,6433,"Groﬂ-Gerau",2005
"129",0.520671,6433,"Groﬂ-Gerau",2006
"130",0.502683,6433,"Groﬂ-Gerau",2007
"131",0.535944,6433,"Groﬂ-Gerau",2008
"132",0.50759,6433,"Groﬂ-Gerau",2009
"133",0.502942,6433,"Groﬂ-Gerau",2010
"134",0.541315,6433,"Groﬂ-Gerau",2011
"135",0.545246,6433,"Groﬂ-Gerau",2012
"136",0.543178,6433,"Groﬂ-Gerau",2013
"137",0.574955,6433,"Groﬂ-Gerau",2014
"138",0.561619,6433,"Groﬂ-Gerau",2015
"139",0.57616,6433,"Groﬂ-Gerau",2016
"140",0.590866,6433,"Groﬂ-Gerau",2017
"141",0,6434,"Hochtaunuskreis",1998
"142",0,6434,"Hochtaunuskreis",1999
"143",0,6434,"Hochtaunuskreis",2000
"144",0,6434,"Hochtaunuskreis",2001
"145",0,6434,"Hochtaunuskreis",2002
"146",0,6434,"Hochtaunuskreis",2003
"147",0,6434,"Hochtaunuskreis",2004
"148",0,6434,"Hochtaunuskreis",2005
"149",0,6434,"Hochtaunuskreis",2006
"150",0,6434,"Hochtaunuskreis",2007
"151",0,6434,"Hochtaunuskreis",2008
"152",0,6434,"Hochtaunuskreis",2009
"153",0,6434,"Hochtaunuskreis",2010
"154",0,6434,"Hochtaunuskreis",2011
"155",0,6434,"Hochtaunuskreis",2012
"156",0,6434,"Hochtaunuskreis",2013
"157",0,6434,"Hochtaunuskreis",2014
"158",0,6434,"Hochtaunuskreis",2015
"159",0,6434,"Hochtaunuskreis",2016
"160",0,6434,"Hochtaunuskreis",2017
"161",0.558416,6435,"Main-Kinzig-Kreis",1998
"162",0.541355,6435,"Main-Kinzig-Kreis",1999
"163",0.563106,6435,"Main-Kinzig-Kreis",2000
"164",0.587331,6435,"Main-Kinzig-Kreis",2001
"165",0.579281,6435,"Main-Kinzig-Kreis",2002
"166",0.523835,6435,"Main-Kinzig-Kreis",2003
"167",0.578718,6435,"Main-Kinzig-Kreis",2004
"168",0.551353,6435,"Main-Kinzig-Kreis",2005
"169",0.542977,6435,"Main-Kinzig-Kreis",2006
"170",0.542951,6435,"Main-Kinzig-Kreis",2007
"171",0.609208,6435,"Main-Kinzig-Kreis",2008
"172",0.570667,6435,"Main-Kinzig-Kreis",2009
"173",0.57694,6435,"Main-Kinzig-Kreis",2010
"174",0.566113,6435,"Main-Kinzig-Kreis",2011
"175",0.583405,6435,"Main-Kinzig-Kreis",2012
"176",0.549367,6435,"Main-Kinzig-Kreis",2013
"177",0.562604,6435,"Main-Kinzig-Kreis",2014
"178",0.567444,6435,"Main-Kinzig-Kreis",2015
"179",0.571819,6435,"Main-Kinzig-Kreis",2016
"180",0.587897,6435,"Main-Kinzig-Kreis",2017
"181",0.077653,6436,"Main-Taunus-Kreis",1998
"182",0.069044,6436,"Main-Taunus-Kreis",1999
"183",0.045507,6436,"Main-Taunus-Kreis",2000
"184",0.057101,6436,"Main-Taunus-Kreis",2001
"185",0.0374,6436,"Main-Taunus-Kreis",2002
"186",0.037491,6436,"Main-Taunus-Kreis",2003
"187",0.05546,6436,"Main-Taunus-Kreis",2004
"188",0.026743,6436,"Main-Taunus-Kreis",2005
"189",0.103089,6436,"Main-Taunus-Kreis",2006
"190",0.114477,6436,"Main-Taunus-Kreis",2007
"191",0.024846,6436,"Main-Taunus-Kreis",2008
"192",0.046962,6436,"Main-Taunus-Kreis",2009
"193",0.040787,6436,"Main-Taunus-Kreis",2010
"194",0.042661,6436,"Main-Taunus-Kreis",2011
"195",0.033259,6436,"Main-Taunus-Kreis",2012
"196",0.031769,6436,"Main-Taunus-Kreis",2013
"197",0.060985,6436,"Main-Taunus-Kreis",2014
"198",0.097473,6436,"Main-Taunus-Kreis",2015
"199",0.091617,6436,"Main-Taunus-Kreis",2016
"200",0.117907,6436,"Main-Taunus-Kreis",2017
"201",0.638695,6437,"Odenwaldkreis",1998
"202",0.666164,6437,"Odenwaldkreis",1999
"203",0.696221,6437,"Odenwaldkreis",2000
"204",0.701181,6437,"Odenwaldkreis",2001
"205",0.71527,6437,"Odenwaldkreis",2002
"206",0.671676,6437,"Odenwaldkreis",2003
"207",0.695023,6437,"Odenwaldkreis",2004
"208",0.678249,6437,"Odenwaldkreis",2005
"209",0.678492,6437,"Odenwaldkreis",2006
"210",0.670312,6437,"Odenwaldkreis",2007
"211",0.75024,6437,"Odenwaldkreis",2008
"212",0.746671,6437,"Odenwaldkreis",2009
"213",0.787513,6437,"Odenwaldkreis",2010
"214",0.804064,6437,"Odenwaldkreis",2011
"215",0.821658,6437,"Odenwaldkreis",2012
"216",0.738477,6437,"Odenwaldkreis",2013
"217",0.74489,6437,"Odenwaldkreis",2014
"218",0.80498,6437,"Odenwaldkreis",2015
"219",0.780648,6437,"Odenwaldkreis",2016
"220",0.791171,6437,"Odenwaldkreis",2017
"221",0.403586,6438,"Offenbach",1998
"222",0.389148,6438,"Offenbach",1999
"223",0.403646,6438,"Offenbach",2000
"224",0.409963,6438,"Offenbach",2001
"225",0.404227,6438,"Offenbach",2002
"226",0.394126,6438,"Offenbach",2003
"227",0.442188,6438,"Offenbach",2004
"228",0.418685,6438,"Offenbach",2005
"229",0.415397,6438,"Offenbach",2006
"230",0.428067,6438,"Offenbach",2007
"231",0.418785,6438,"Offenbach",2008
"232",0.379893,6438,"Offenbach",2009
"233",0.405822,6438,"Offenbach",2010
"234",0.409536,6438,"Offenbach",2011
"235",0.42798,6438,"Offenbach",2012
"236",0.408619,6438,"Offenbach",2013
"237",0.403176,6438,"Offenbach",2014
"238",0.443591,6438,"Offenbach",2015
"239",0.449854,6438,"Offenbach",2016
"240",0.443537,6438,"Offenbach",2017
"241",0.368243,6439,"Rheingau-Taunus-Kreis",1998
"242",0.363121,6439,"Rheingau-Taunus-Kreis",1999
