"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.330716,3101,"Braunschweig, Stadt",1998
"2",0.316008,3101,"Braunschweig, Stadt",1999
"3",0.31439,3101,"Braunschweig, Stadt",2000
"4",0.309405,3101,"Braunschweig, Stadt",2001
"5",0.30868,3101,"Braunschweig, Stadt",2002
"6",0.315281,3101,"Braunschweig, Stadt",2003
"7",0.338281,3101,"Braunschweig, Stadt",2004
"8",0.273685,3101,"Braunschweig, Stadt",2005
"9",0.263012,3101,"Braunschweig, Stadt",2006
"10",0.261232,3101,"Braunschweig, Stadt",2007
"11",0.252493,3101,"Braunschweig, Stadt",2008
"12",0.301154,3101,"Braunschweig, Stadt",2009
"13",0.23533,3101,"Braunschweig, Stadt",2010
"14",0.222466,3101,"Braunschweig, Stadt",2011
"15",0.281955,3101,"Braunschweig, Stadt",2012
"16",0.269985,3101,"Braunschweig, Stadt",2013
"17",0.249594,3101,"Braunschweig, Stadt",2014
"18",0.238573,3101,"Braunschweig, Stadt",2015
"19",0.194484,3101,"Braunschweig, Stadt",2016
"20",0.175294,3101,"Braunschweig, Stadt",2017
"21",0.66437,3102,"Salzgitter, Stadt",1998
"22",0.661673,3102,"Salzgitter, Stadt",1999
"23",0.632547,3102,"Salzgitter, Stadt",2000
"24",0.596318,3102,"Salzgitter, Stadt",2001
"25",0.614095,3102,"Salzgitter, Stadt",2002
"26",0.626461,3102,"Salzgitter, Stadt",2003
"27",0.636888,3102,"Salzgitter, Stadt",2004
"28",0.582128,3102,"Salzgitter, Stadt",2005
"29",0.616033,3102,"Salzgitter, Stadt",2006
"30",0.632924,3102,"Salzgitter, Stadt",2007
"31",0.656866,3102,"Salzgitter, Stadt",2008
"32",0.691601,3102,"Salzgitter, Stadt",2009
"33",0.625728,3102,"Salzgitter, Stadt",2010
"34",0.567348,3102,"Salzgitter, Stadt",2011
"35",0.587831,3102,"Salzgitter, Stadt",2012
"36",0.595798,3102,"Salzgitter, Stadt",2013
"37",0.621126,3102,"Salzgitter, Stadt",2014
"38",0.670234,3102,"Salzgitter, Stadt",2015
"39",0.71769,3102,"Salzgitter, Stadt",2016
"40",0.71065,3102,"Salzgitter, Stadt",2017
"41",0,3103,"Wolfsburg, Stadt",1998
"42",0,3103,"Wolfsburg, Stadt",1999
"43",0,3103,"Wolfsburg, Stadt",2000
"44",0,3103,"Wolfsburg, Stadt",2001
"45",0,3103,"Wolfsburg, Stadt",2002
"46",0,3103,"Wolfsburg, Stadt",2003
"47",0,3103,"Wolfsburg, Stadt",2004
"48",0,3103,"Wolfsburg, Stadt",2005
"49",0,3103,"Wolfsburg, Stadt",2006
"50",0,3103,"Wolfsburg, Stadt",2007
"51",0,3103,"Wolfsburg, Stadt",2008
"52",0,3103,"Wolfsburg, Stadt",2009
"53",0,3103,"Wolfsburg, Stadt",2010
"54",0,3103,"Wolfsburg, Stadt",2011
"55",0,3103,"Wolfsburg, Stadt",2012
"56",0,3103,"Wolfsburg, Stadt",2013
"57",0,3103,"Wolfsburg, Stadt",2014
"58",0,3103,"Wolfsburg, Stadt",2015
"59",0,3103,"Wolfsburg, Stadt",2016
"60",0,3103,"Wolfsburg, Stadt",2017
"61",0.488352,3151,"Gifhorn",1998
"62",0.486547,3151,"Gifhorn",1999
"63",0.546511,3151,"Gifhorn",2000
"64",0.532213,3151,"Gifhorn",2001
"65",0.521817,3151,"Gifhorn",2002
"66",0.550593,3151,"Gifhorn",2003
"67",0.536659,3151,"Gifhorn",2004
"68",0.439651,3151,"Gifhorn",2005
"69",0.446547,3151,"Gifhorn",2006
"70",0.479426,3151,"Gifhorn",2007
"71",0.507256,3151,"Gifhorn",2008
"72",0.494308,3151,"Gifhorn",2009
"73",0.484365,3151,"Gifhorn",2010
"74",0.477737,3151,"Gifhorn",2011
"75",0.478214,3151,"Gifhorn",2012
"76",0.452554,3151,"Gifhorn",2013
"77",0.425219,3151,"Gifhorn",2014
"78",0.429262,3151,"Gifhorn",2015
"79",0.426936,3151,"Gifhorn",2016
"80",0.391741,3151,"Gifhorn",2017
"81",0.682639,3153,"Goslar",1998
"82",0.705212,3153,"Goslar",1999
"83",0.707221,3153,"Goslar",2000
"84",0.730545,3153,"Goslar",2001
"85",0.721543,3153,"Goslar",2002
"86",0.777257,3153,"Goslar",2003
"87",0.710347,3153,"Goslar",2004
"88",0.690714,3153,"Goslar",2005
"89",0.715389,3153,"Goslar",2006
"90",0.685548,3153,"Goslar",2007
"91",0.747661,3153,"Goslar",2008
"92",0.7526,3153,"Goslar",2009
"93",0.697995,3153,"Goslar",2010
"94",0.72149,3153,"Goslar",2011
"95",0.74516,3153,"Goslar",2012
"96",0.711127,3153,"Goslar",2013
"97",0.742758,3153,"Goslar",2014
"98",0.698847,3153,"Goslar",2015
"99",0.708748,3153,"Goslar",2016
"100",0.630324,3153,"Goslar",2017
"101",0.552981,3154,"Helmstedt",1998
"102",0.574581,3154,"Helmstedt",1999
"103",0.526364,3154,"Helmstedt",2000
"104",0.556441,3154,"Helmstedt",2001
"105",0.54649,3154,"Helmstedt",2002
"106",0.619699,3154,"Helmstedt",2003
"107",0.570994,3154,"Helmstedt",2004
"108",0.51193,3154,"Helmstedt",2005
"109",0.601609,3154,"Helmstedt",2006
