"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.118396,"5111000","Düsseldorf, Stadt",1998
"2",0.106576,"5111000","Düsseldorf, Stadt",1999
"3",0.102546,"5111000","Düsseldorf, Stadt",2000
"4",0.106086,"5111000","Düsseldorf, Stadt",2001
"5",0.074051,"5111000","Düsseldorf, Stadt",2002
"6",0.071555,"5111000","Düsseldorf, Stadt",2003
"7",0.062607,"5111000","Düsseldorf, Stadt",2004
"8",0.095659,"5111000","Düsseldorf, Stadt",2005
"9",0.05507,"5111000","Düsseldorf, Stadt",2006
"10",0.058122,"5111000","Düsseldorf, Stadt",2007
"11",0.062526,"5111000","Düsseldorf, Stadt",2008
"12",0.102961,"5111000","Düsseldorf, Stadt",2009
"13",0.078932,"5111000","Düsseldorf, Stadt",2010
"14",0.101903,"5111000","Düsseldorf, Stadt",2011
"15",0.102549,"5111000","Düsseldorf, Stadt",2012
"16",0.09854,"5111000","Düsseldorf, Stadt",2013
"17",0.096596,"5111000","Düsseldorf, Stadt",2014
"18",0.05019,"5111000","Düsseldorf, Stadt",2015
"19",0.031163,"5111000","Düsseldorf, Stadt",2016
"20",0.01814,"5111000","Düsseldorf, Stadt",2017
"21",0.936394,"5112000","Duisburg, Stadt",1998
"22",0.896414,"5112000","Duisburg, Stadt",1999
"23",0.872807,"5112000","Duisburg, Stadt",2000
"24",0.891517,"5112000","Duisburg, Stadt",2001
"25",0.934028,"5112000","Duisburg, Stadt",2002
"26",0.881849,"5112000","Duisburg, Stadt",2003
"27",0.860965,"5112000","Duisburg, Stadt",2004
"28",0.854697,"5112000","Duisburg, Stadt",2005
"29",0.872263,"5112000","Duisburg, Stadt",2006
"30",0.863702,"5112000","Duisburg, Stadt",2007
"31",0.870547,"5112000","Duisburg, Stadt",2008
"32",0.889803,"5112000","Duisburg, Stadt",2009
"33",0.870015,"5112000","Duisburg, Stadt",2010
"34",0.871961,"5112000","Duisburg, Stadt",2011
"35",0.894057,"5112000","Duisburg, Stadt",2012
"36",0.858341,"5112000","Duisburg, Stadt",2013
"37",0.832985,"5112000","Duisburg, Stadt",2014
"38",0.831082,"5112000","Duisburg, Stadt",2015
"39",0.789705,"5112000","Duisburg, Stadt",2016
"40",0.844324,"5112000","Duisburg, Stadt",2017
"41",0.469174,"5113000","Essen, Stadt",1998
"42",0.450479,"5113000","Essen, Stadt",1999
"43",0.425881,"5113000","Essen, Stadt",2000
"44",0.432356,"5113000","Essen, Stadt",2001
"45",0.431477,"5113000","Essen, Stadt",2002
"46",0.432656,"5113000","Essen, Stadt",2003
"47",0.465385,"5113000","Essen, Stadt",2004
