"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.118289,5111,"Düsseldorf, Stadt",1998
"2",0.106389,5111,"Düsseldorf, Stadt",1999
"3",0.10243,5111,"Düsseldorf, Stadt",2000
"4",0.106364,5111,"Düsseldorf, Stadt",2001
"5",0.073917,5111,"Düsseldorf, Stadt",2002
"6",0.071253,5111,"Düsseldorf, Stadt",2003
"7",0.061913,5111,"Düsseldorf, Stadt",2004
"8",0.09537,5111,"Düsseldorf, Stadt",2005
"9",0.054045,5111,"Düsseldorf, Stadt",2006
"10",0.05715,5111,"Düsseldorf, Stadt",2007
"11",0.062948,5111,"Düsseldorf, Stadt",2008
"12",0.102869,5111,"Düsseldorf, Stadt",2009
"13",0.078317,5111,"Düsseldorf, Stadt",2010
"14",0.101159,5111,"Düsseldorf, Stadt",2011
"15",0.101449,5111,"Düsseldorf, Stadt",2012
"16",0.098029,5111,"Düsseldorf, Stadt",2013
"17",0.096213,5111,"Düsseldorf, Stadt",2014
"18",0.049376,5111,"Düsseldorf, Stadt",2015
"19",0.030436,5111,"Düsseldorf, Stadt",2016
"20",0.017222,5111,"Düsseldorf, Stadt",2017
"21",0.938993,5112,"Duisburg, Stadt",1998
"22",0.898292,5112,"Duisburg, Stadt",1999
"23",0.874118,5112,"Duisburg, Stadt",2000
"24",0.892963,5112,"Duisburg, Stadt",2001
"25",0.936369,5112,"Duisburg, Stadt",2002
"26",0.883422,5112,"Duisburg, Stadt",2003
"27",0.86195,5112,"Duisburg, Stadt",2004
"28",0.855769,5112,"Duisburg, Stadt",2005
"29",0.873563,5112,"Duisburg, Stadt",2006
"30",0.864657,5112,"Duisburg, Stadt",2007
"31",0.871717,5112,"Duisburg, Stadt",2008
"32",0.891002,5112,"Duisburg, Stadt",2009
"33",0.870798,5112,"Duisburg, Stadt",2010
"34",0.872767,5112,"Duisburg, Stadt",2011
"35",0.895573,5112,"Duisburg, Stadt",2012
"36",0.859078,5112,"Duisburg, Stadt",2013
"37",0.833328,5112,"Duisburg, Stadt",2014
"38",0.831135,5112,"Duisburg, Stadt",2015
"39",0.789053,5112,"Duisburg, Stadt",2016
"40",0.844437,5112,"Duisburg, Stadt",2017
"41",0.468343,5113,"Essen, Stadt",1998
"42",0.449314,5113,"Essen, Stadt",1999
"43",0.424659,5113,"Essen, Stadt",2000
"44",0.431161,5113,"Essen, Stadt",2001
"45",0.430247,5113,"Essen, Stadt",2002
"46",0.431404,5113,"Essen, Stadt",2003
"47",0.464375,5113,"Essen, Stadt",2004
"48",0.474867,5113,"Essen, Stadt",2005
"49",0.441284,5113,"Essen, Stadt",2006
"50",0.44845,5113,"Essen, Stadt",2007
"51",0.489897,5113,"Essen, Stadt",2008
"52",0.509287,5113,"Essen, Stadt",2009
"53",0.481451,5113,"Essen, Stadt",2010
"54",0.495123,5113,"Essen, Stadt",2011
"55",0.495144,5113,"Essen, Stadt",2012
"56",0.517754,5113,"Essen, Stadt",2013
"57",0.540173,5113,"Essen, Stadt",2014
"58",0.50197,5113,"Essen, Stadt",2015
"59",0.492845,5113,"Essen, Stadt",2016
"60",0.524471,5113,"Essen, Stadt",2017
"61",0.578299,5114,"Krefeld, Stadt",1998
"62",0.542888,5114,"Krefeld, Stadt",1999
"63",0.539872,5114,"Krefeld, Stadt",2000
"64",0.583764,5114,"Krefeld, Stadt",2001
"65",0.593894,5114,"Krefeld, Stadt",2002
"66",0.588114,5114,"Krefeld, Stadt",2003
"67",0.570948,5114,"Krefeld, Stadt",2004
"68",0.537288,5114,"Krefeld, Stadt",2005
"69",0.569727,5114,"Krefeld, Stadt",2006
"70",0.594016,5114,"Krefeld, Stadt",2007
"71",0.627514,5114,"Krefeld, Stadt",2008
"72",0.590448,5114,"Krefeld, Stadt",2009
"73",0.590396,5114,"Krefeld, Stadt",2010
"74",0.519972,5114,"Krefeld, Stadt",2011
"75",0.581275,5114,"Krefeld, Stadt",2012
"76",0.582947,5114,"Krefeld, Stadt",2013
"77",0.581155,5114,"Krefeld, Stadt",2014
"78",0.58865,5114,"Krefeld, Stadt",2015
"79",0.550742,5114,"Krefeld, Stadt",2016
"80",0.574399,5114,"Krefeld, Stadt",2017
"81",0.708657,5116,"Mönchengladbach, Stadt",1998
"82",0.684089,5116,"Mönchengladbach, Stadt",1999
"83",0.636742,5116,"Mönchengladbach, Stadt",2000
"84",0.689828,5116,"Mönchengladbach, Stadt",2001
"85",0.688503,5116,"Mönchengladbach, Stadt",2002
"86",0.685687,5116,"Mönchengladbach, Stadt",2003
"87",0.675168,5116,"Mönchengladbach, Stadt",2004
"88",0.663437,5116,"Mönchengladbach, Stadt",2005
"89",0.707188,5116,"Mönchengladbach, Stadt",2006
"90",0.728734,5116,"Mönchengladbach, Stadt",2007
"91",0.713299,5116,"Mönchengladbach, Stadt",2008
"92",0.732369,5116,"Mönchengladbach, Stadt",2009
"93",0.729149,5116,"Mönchengladbach, Stadt",2010
"94",0.722564,5116,"Mönchengladbach, Stadt",2011
"95",0.734521,5116,"Mönchengladbach, Stadt",2012
"96",0.770446,5116,"Mönchengladbach, Stadt",2013
"97",0.717481,5116,"Mönchengladbach, Stadt",2014
"98",0.735615,5116,"Mönchengladbach, Stadt",2015
"99",0.663738,5116,"Mönchengladbach, Stadt",2016
"100",0.706505,5116,"Mönchengladbach, Stadt",2017
"101",0.249239,5117,"Mülheim an der Ruhr, Stadt",1998
"102",0.230916,5117,"Mülheim an der Ruhr, Stadt",1999
"103",0.250623,5117,"Mülheim an der Ruhr, Stadt",2000
"104",0.241441,5117,"Mülheim an der Ruhr, Stadt",2001
"105",0.207567,5117,"Mülheim an der Ruhr, Stadt",2002
"106",0.23899,5117,"Mülheim an der Ruhr, Stadt",2003
"107",0.248619,5117,"Mülheim an der Ruhr, Stadt",2004
"108",0.231203,5117,"Mülheim an der Ruhr, Stadt",2005
"109",0.212741,5117,"Mülheim an der Ruhr, Stadt",2006
"110",0.274193,5117,"Mülheim an der Ruhr, Stadt",2007
"111",0.233878,5117,"Mülheim an der Ruhr, Stadt",2008
"112",0.272931,5117,"Mülheim an der Ruhr, Stadt",2009
"113",0.294417,5117,"Mülheim an der Ruhr, Stadt",2010
"114",0.307037,5117,"Mülheim an der Ruhr, Stadt",2011
"115",0.327631,5117,"Mülheim an der Ruhr, Stadt",2012
"116",0.322932,5117,"Mülheim an der Ruhr, Stadt",2013
"117",0.307192,5117,"Mülheim an der Ruhr, Stadt",2014
"118",0.337075,5117,"Mülheim an der Ruhr, Stadt",2015
"119",0.313174,5117,"Mülheim an der Ruhr, Stadt",2016
"120",0.32134,5117,"Mülheim an der Ruhr, Stadt",2017
"121",0.78007,5119,"Oberhausen, Stadt",1998
"122",0.73789,5119,"Oberhausen, Stadt",1999
"123",0.735693,5119,"Oberhausen, Stadt",2000
"124",0.778586,5119,"Oberhausen, Stadt",2001
"125",0.81471,5119,"Oberhausen, Stadt",2002
"126",0.790788,5119,"Oberhausen, Stadt",2003
"127",0.786903,5119,"Oberhausen, Stadt",2004
"128",0.727896,5119,"Oberhausen, Stadt",2005
"129",0.806147,5119,"Oberhausen, Stadt",2006
"130",0.759175,5119,"Oberhausen, Stadt",2007
"131",0.784611,5119,"Oberhausen, Stadt",2008
"132",0.788313,5119,"Oberhausen, Stadt",2009
"133",0.755697,5119,"Oberhausen, Stadt",2010
"134",0.786097,5119,"Oberhausen, Stadt",2011
"135",0.769792,5119,"Oberhausen, Stadt",2012
