"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.385505,"7111000","Koblenz, Stadt",1998
"2",0.391362,"7111000","Koblenz, Stadt",1999
"3",0.354401,"7111000","Koblenz, Stadt",2000
"4",0.359628,"7111000","Koblenz, Stadt",2001
"5",0.402552,"7111000","Koblenz, Stadt",2002
"6",0.368473,"7111000","Koblenz, Stadt",2003
"7",0.35056,"7111000","Koblenz, Stadt",2004
"8",0.413385,"7111000","Koblenz, Stadt",2005
"9",0.388145,"7111000","Koblenz, Stadt",2006
"10",0.382577,"7111000","Koblenz, Stadt",2007
"11",0.425383,"7111000","Koblenz, Stadt",2008
"12",0.425411,"7111000","Koblenz, Stadt",2009
"13",0.473901,"7111000","Koblenz, Stadt",2010
"14",0.403677,"7111000","Koblenz, Stadt",2011
"15",0.428015,"7111000","Koblenz, Stadt",2012
"16",0.419228,"7111000","Koblenz, Stadt",2013
"17",0.423371,"7111000","Koblenz, Stadt",2014
"18",0.402612,"7111000","Koblenz, Stadt",2015
"19",0.396061,"7111000","Koblenz, Stadt",2016
"20",0.399674,"7111000","Koblenz, Stadt",2017
"21",0.336566,"7131007","Bad Neuenahr-Ahrweiler, Stadt",1998
"22",0.338018,"7131007","Bad Neuenahr-Ahrweiler, Stadt",1999
"23",0.29405,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2000
"24",0.353475,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2001
"25",0.425985,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2002
"26",0.456869,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2003
"27",0.400191,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2004
"28",0.362709,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2005
"29",0.36377,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2006
"30",0.345468,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2007
"31",0.407618,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2008
"32",0.382498,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2009
"33",0.399106,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2010
"34",0.355404,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2011
"35",0.368497,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2012
"36",0.38499,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2013
"37",0.369196,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2014
"38",0.387236,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2015
"39",0.368355,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2016
"40",0.349642,"7131007","Bad Neuenahr-Ahrweiler, Stadt",2017
"41",0.35402,"7131070","Remagen, Stadt",1998
"42",0.354882,"7131070","Remagen, Stadt",1999
"43",0.310973,"7131070","Remagen, Stadt",2000
"44",0.347355,"7131070","Remagen, Stadt",2001
"45",0.425357,"7131070","Remagen, Stadt",2002
"46",0.452792,"7131070","Remagen, Stadt",2003
"47",0.405168,"7131070","Remagen, Stadt",2004
"48",0.371345,"7131070","Remagen, Stadt",2005
"49",0.361869,"7131070","Remagen, Stadt",2006
"50",0.335659,"7131070","Remagen, Stadt",2007
"51",0.405364,"7131070","Remagen, Stadt",2008
"52",0.387353,"7131070","Remagen, Stadt",2009
"53",0.402595,"7131070","Remagen, Stadt",2010
"54",0.354635,"7131070","Remagen, Stadt",2011
"55",0.379748,"7131070","Remagen, Stadt",2012
"56",0.385776,"7131070","Remagen, Stadt",2013
"57",0.362352,"7131070","Remagen, Stadt",2014
"58",0.384326,"7131070","Remagen, Stadt",2015
