"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.864228,"10041100","Saarbrücken, Landeshauptstadt",1998
"2",0.887933,"10041100","Saarbrücken, Landeshauptstadt",1999
"3",0.880202,"10041100","Saarbrücken, Landeshauptstadt",2000
"4",0.8125,"10041100","Saarbrücken, Landeshauptstadt",2001
"5",0.685221,"10041100","Saarbrücken, Landeshauptstadt",2002
"6",0.777493,"10041100","Saarbrücken, Landeshauptstadt",2003
"7",0.794096,"10041100","Saarbrücken, Landeshauptstadt",2004
"8",0.705135,"10041100","Saarbrücken, Landeshauptstadt",2005
"9",0.754119,"10041100","Saarbrücken, Landeshauptstadt",2006
"10",0.738862,"10041100","Saarbrücken, Landeshauptstadt",2007
"11",0.704592,"10041100","Saarbrücken, Landeshauptstadt",2008
"12",0.704066,"10041100","Saarbrücken, Landeshauptstadt",2009
"13",0.625256,"10041100","Saarbrücken, Landeshauptstadt",2010
"14",0.654831,"10041100","Saarbrücken, Landeshauptstadt",2011
"15",0.590843,"10041100","Saarbrücken, Landeshauptstadt",2012
"16",0.599056,"10041100","Saarbrücken, Landeshauptstadt",2013
"17",0.619231,"10041100","Saarbrücken, Landeshauptstadt",2014
"18",0.674528,"10041100","Saarbrücken, Landeshauptstadt",2015
"19",0.648841,"10041100","Saarbrücken, Landeshauptstadt",2016
"20",0.601196,"10041100","Saarbrücken, Landeshauptstadt",2017
"21",0.623135,"10041511","Friedrichsthal, Stadt",1998
"22",0.623682,"10041511","Friedrichsthal, Stadt",1999
"23",0.609715,"10041511","Friedrichsthal, Stadt",2000
"24",0.619333,"10041511","Friedrichsthal, Stadt",2001
"25",0.466201,"10041511","Friedrichsthal, Stadt",2002
"26",0.607473,"10041511","Friedrichsthal, Stadt",2003
"27",0.591442,"10041511","Friedrichsthal, Stadt",2004
"28",0.552697,"10041511","Friedrichsthal, Stadt",2005
"29",0.583041,"10041511","Friedrichsthal, Stadt",2006
"30",0.572122,"10041511","Friedrichsthal, Stadt",2007
"31",0.526403,"10041511","Friedrichsthal, Stadt",2008
"32",0.557902,"10041511","Friedrichsthal, Stadt",2009
