"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.418505,"15001000","Dessau-Roßlau, Stadt",1998
"2",0.45913,"15001000","Dessau-Roßlau, Stadt",1999
"3",0.448769,"15001000","Dessau-Roßlau, Stadt",2000
"4",0.235619,"15001000","Dessau-Roßlau, Stadt",2001
"5",0.162721,"15001000","Dessau-Roßlau, Stadt",2002
"6",0.257179,"15001000","Dessau-Roßlau, Stadt",2003
"7",0.311725,"15001000","Dessau-Roßlau, Stadt",2004
"8",0.425376,"15001000","Dessau-Roßlau, Stadt",2005
"9",0.34433,"15001000","Dessau-Roßlau, Stadt",2006
"10",0.393977,"15001000","Dessau-Roßlau, Stadt",2007
"11",0.430947,"15001000","Dessau-Roßlau, Stadt",2008
"12",0.214421,"15001000","Dessau-Roßlau, Stadt",2009
"13",0.282959,"15001000","Dessau-Roßlau, Stadt",2010
"14",0.308955,"15001000","Dessau-Roßlau, Stadt",2011
"15",0.285346,"15001000","Dessau-Roßlau, Stadt",2012
"16",0.355888,"15001000","Dessau-Roßlau, Stadt",2013
"17",0.266167,"15001000","Dessau-Roßlau, Stadt",2014
"18",0.301842,"15001000","Dessau-Roßlau, Stadt",2015
"19",0.286019,"15001000","Dessau-Roßlau, Stadt",2016
"20",0.295698,"15001000","Dessau-Roßlau, Stadt",2017
"21",0.580035,"15002000","Halle (Saale), Stadt",1998
"22",0.665823,"15002000","Halle (Saale), Stadt",1999
"23",0.603729,"15002000","Halle (Saale), Stadt",2000
"24",0.58828,"15002000","Halle (Saale), Stadt",2001
"25",0.426117,"15002000","Halle (Saale), Stadt",2002
"26",0.536435,"15002000","Halle (Saale), Stadt",2003
"27",0.524319,"15002000","Halle (Saale), Stadt",2004
"28",0.588691,"15002000","Halle (Saale), Stadt",2005
"29",0.583591,"15002000","Halle (Saale), Stadt",2006
"30",0.601314,"15002000","Halle (Saale), Stadt",2007
"31",0.619675,"15002000","Halle (Saale), Stadt",2008
"32",0.480679,"15002000","Halle (Saale), Stadt",2009
"33",0.560982,"15002000","Halle (Saale), Stadt",2010
"34",0.553925,"15002000","Halle (Saale), Stadt",2011
"35",0.491268,"15002000","Halle (Saale), Stadt",2012
"36",0.472868,"15002000","Halle (Saale), Stadt",2013
"37",0.487471,"15002000","Halle (Saale), Stadt",2014
"38",0.412293,"15002000","Halle (Saale), Stadt",2015
"39",0.479159,"15002000","Halle (Saale), Stadt",2016
"40",0.494119,"15002000","Halle (Saale), Stadt",2017
"41",0.46602,"15003000","Magdeburg, Landeshauptstadt",1998
"42",0.513614,"15003000","Magdeburg, Landeshauptstadt",1999
"43",0.461983,"15003000","Magdeburg, Landeshauptstadt",2000
"44",0.367216,"15003000","Magdeburg, Landeshauptstadt",2001
"45",0.204849,"15003000","Magdeburg, Landeshauptstadt",2002
"46",0.339579,"15003000","Magdeburg, Landeshauptstadt",2003
"47",0.394425,"15003000","Magdeburg, Landeshauptstadt",2004
"48",0.526818,"15003000","Magdeburg, Landeshauptstadt",2005
"49",0.456055,"15003000","Magdeburg, Landeshauptstadt",2006
"50",0.447918,"15003000","Magdeburg, Landeshauptstadt",2007
"51",0.466815,"15003000","Magdeburg, Landeshauptstadt",2008
"52",0.328156,"15003000","Magdeburg, Landeshauptstadt",2009
"53",0.351134,"15003000","Magdeburg, Landeshauptstadt",2010
