"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.426063,15001,"Dessau-Roßlau, Stadt",1998
"2",0.386819,15001,"Dessau-Roßlau, Stadt",1999
"3",0.397307,15001,"Dessau-Roßlau, Stadt",2000
"4",0.146217,15001,"Dessau-Roßlau, Stadt",2001
"5",0,15001,"Dessau-Roßlau, Stadt",2002
"6",0.076911,15001,"Dessau-Roßlau, Stadt",2003
"7",0.073834,15001,"Dessau-Roßlau, Stadt",2004
"8",0.148111,15001,"Dessau-Roßlau, Stadt",2005
"9",0.183653,15001,"Dessau-Roßlau, Stadt",2006
"10",0.254304,15001,"Dessau-Roßlau, Stadt",2007
"11",0.370254,15001,"Dessau-Roßlau, Stadt",2008
"12",0.020548,15001,"Dessau-Roßlau, Stadt",2009
"13",0.171454,15001,"Dessau-Roßlau, Stadt",2010
"14",0.198906,15001,"Dessau-Roßlau, Stadt",2011
"15",0.133632,15001,"Dessau-Roßlau, Stadt",2012
"16",0.269094,15001,"Dessau-Roßlau, Stadt",2013
"17",0.126348,15001,"Dessau-Roßlau, Stadt",2014
"18",0.193675,15001,"Dessau-Roßlau, Stadt",2015
"19",0.187738,15001,"Dessau-Roßlau, Stadt",2016
"20",0.230781,15001,"Dessau-Roßlau, Stadt",2017
"21",0.703673,15002,"Halle (Saale), Stadt",1998
"22",0.712244,15002,"Halle (Saale), Stadt",1999
"23",0.636892,15002,"Halle (Saale), Stadt",2000
"24",0.589751,15002,"Halle (Saale), Stadt",2001
"25",0.369002,15002,"Halle (Saale), Stadt",2002
"26",0.498579,15002,"Halle (Saale), Stadt",2003
"27",0.441819,15002,"Halle (Saale), Stadt",2004
"28",0.439182,15002,"Halle (Saale), Stadt",2005
"29",0.572047,15002,"Halle (Saale), Stadt",2006
"30",0.576408,15002,"Halle (Saale), Stadt",2007
"31",0.662939,15002,"Halle (Saale), Stadt",2008
"32",0.403473,15002,"Halle (Saale), Stadt",2009
"33",0.588019,15002,"Halle (Saale), Stadt",2010
"34",0.546335,15002,"Halle (Saale), Stadt",2011
"35",0.432747,15002,"Halle (Saale), Stadt",2012
"36",0.435321,15002,"Halle (Saale), Stadt",2013
"37",0.461756,15002,"Halle (Saale), Stadt",2014
"38",0.34606,15002,"Halle (Saale), Stadt",2015
"39",0.513206,15002,"Halle (Saale), Stadt",2016
"40",0.525143,15002,"Halle (Saale), Stadt",2017
"41",0.505027,15003,"Magdeburg, Stadt",1998
"42",0.469479,15003,"Magdeburg, Stadt",1999
"43",0.414288,15003,"Magdeburg, Stadt",2000
"44",0.307251,15003,"Magdeburg, Stadt",2001
"45",0.053723,15003,"Magdeburg, Stadt",2002
"46",0.197984,15003,"Magdeburg, Stadt",2003
"47",0.214027,15003,"Magdeburg, Stadt",2004
"48",0.32667,15003,"Magdeburg, Stadt",2005
"49",0.363277,15003,"Magdeburg, Stadt",2006
"50",0.334449,15003,"Magdeburg, Stadt",2007
"51",0.420984,15003,"Magdeburg, Stadt",2008
"52",0.180782,15003,"Magdeburg, Stadt",2009
"53",0.26936,15003,"Magdeburg, Stadt",2010
"54",0.326013,15003,"Magdeburg, Stadt",2011
"55",0.233478,15003,"Magdeburg, Stadt",2012
"56",0.187331,15003,"Magdeburg, Stadt",2013
"57",0.176872,15003,"Magdeburg, Stadt",2014
