"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.331123,"14511000","Chemnitz, Stadt",1998
"2",0.235123,"14511000","Chemnitz, Stadt",1999
"3",0.376174,"14511000","Chemnitz, Stadt",2000
"4",0.421756,"14511000","Chemnitz, Stadt",2001
"5",0.456544,"14511000","Chemnitz, Stadt",2002
"6",0.437718,"14511000","Chemnitz, Stadt",2003
"7",0.445814,"14511000","Chemnitz, Stadt",2004
"8",0.477081,"14511000","Chemnitz, Stadt",2005
"9",0.408944,"14511000","Chemnitz, Stadt",2006
"10",0.425364,"14511000","Chemnitz, Stadt",2007
"11",0.446578,"14511000","Chemnitz, Stadt",2008
"12",0.439448,"14511000","Chemnitz, Stadt",2009
"13",0.448087,"14511000","Chemnitz, Stadt",2010
"14",0.430313,"14511000","Chemnitz, Stadt",2011
"15",0.46483,"14511000","Chemnitz, Stadt",2012
"16",0.480264,"14511000","Chemnitz, Stadt",2013
"17",0.48602,"14511000","Chemnitz, Stadt",2014
"18",0.504273,"14511000","Chemnitz, Stadt",2015
"19",0.511577,"14511000","Chemnitz, Stadt",2016
"20",0.596883,"14511000","Chemnitz, Stadt",2017
"21",0.365732,"14521010","Amtsberg",1998
"22",0.249772,"14521010","Amtsberg",1999
"23",0.468093,"14521010","Amtsberg",2000
"24",0.645555,"14521010","Amtsberg",2001
"25",0.646733,"14521010","Amtsberg",2002
"26",0.593166,"14521010","Amtsberg",2003
"27",0.526113,"14521010","Amtsberg",2004
"28",0.497665,"14521010","Amtsberg",2005
"29",0.490046,"14521010","Amtsberg",2006
"30",0.435082,"14521010","Amtsberg",2007
"31",0.448774,"14521010","Amtsberg",2008
"32",0.44807,"14521010","Amtsberg",2009
"33",0.423634,"14521010","Amtsberg",2010
"34",0.416383,"14521010","Amtsberg",2011
"35",0.416539,"14521010","Amtsberg",2012
"36",0.463671,"14521010","Amtsberg",2013
"37",0.482819,"14521010","Amtsberg",2014
"38",0.518608,"14521010","Amtsberg",2015
"39",0.530041,"14521010","Amtsberg",2016
"40",0.486259,"14521010","Amtsberg",2017
"41",0.498464,"14521020","Annaberg-Buchholz, Stadt",1998
"42",0.42422,"14521020","Annaberg-Buchholz, Stadt",1999
"43",0.629754,"14521020","Annaberg-Buchholz, Stadt",2000
"44",0.741024,"14521020","Annaberg-Buchholz, Stadt",2001
"45",0.761823,"14521020","Annaberg-Buchholz, Stadt",2002
"46",0.782665,"14521020","Annaberg-Buchholz, Stadt",2003
"47",0.711742,"14521020","Annaberg-Buchholz, Stadt",2004
"48",0.729147,"14521020","Annaberg-Buchholz, Stadt",2005
"49",0.800138,"14521020","Annaberg-Buchholz, Stadt",2006
"50",0.736119,"14521020","Annaberg-Buchholz, Stadt",2007
"51",0.731433,"14521020","Annaberg-Buchholz, Stadt",2008
"52",0.761551,"14521020","Annaberg-Buchholz, Stadt",2009
"53",0.721095,"14521020","Annaberg-Buchholz, Stadt",2010
"54",0.679347,"14521020","Annaberg-Buchholz, Stadt",2011
"55",0.706735,"14521020","Annaberg-Buchholz, Stadt",2012
"56",0.73655,"14521020","Annaberg-Buchholz, Stadt",2013
"57",0.77738,"14521020","Annaberg-Buchholz, Stadt",2014
"58",0.817596,"14521020","Annaberg-Buchholz, Stadt",2015
"59",0.783171,"14521020","Annaberg-Buchholz, Stadt",2016
"60",0.725793,"14521020","Annaberg-Buchholz, Stadt",2017
"61",0.556952,"14521030","Aue, Stadt",1998
"62",0.41683,"14521030","Aue, Stadt",1999
"63",0.711348,"14521030","Aue, Stadt",2000
"64",0.793982,"14521030","Aue, Stadt",2001
"65",0.82095,"14521030","Aue, Stadt",2002
"66",0.846229,"14521030","Aue, Stadt",2003
"67",0.780048,"14521030","Aue, Stadt",2004
"68",0.773065,"14521030","Aue, Stadt",2005
"69",0.840648,"14521030","Aue, Stadt",2006
"70",0.761656,"14521030","Aue, Stadt",2007
"71",0.730711,"14521030","Aue, Stadt",2008
"72",0.760955,"14521030","Aue, Stadt",2009
"73",0.746161,"14521030","Aue, Stadt",2010
"74",0.723224,"14521030","Aue, Stadt",2011
"75",0.747817,"14521030","Aue, Stadt",2012
"76",0.770606,"14521030","Aue, Stadt",2013
"77",0.802281,"14521030","Aue, Stadt",2014
"78",0.851668,"14521030","Aue, Stadt",2015
"79",0.842873,"14521030","Aue, Stadt",2016
"80",0.815364,"14521030","Aue, Stadt",2017
"81",0.477686,"14521050","Bad Schlema",1998
"82",0.384083,"14521050","Bad Schlema",1999
"83",0.674831,"14521050","Bad Schlema",2000
"84",0.776882,"14521050","Bad Schlema",2001
"85",0.786288,"14521050","Bad Schlema",2002
"86",0.835237,"14521050","Bad Schlema",2003
"87",0.74309,"14521050","Bad Schlema",2004
"88",0.72552,"14521050","Bad Schlema",2005
"89",0.765091,"14521050","Bad Schlema",2006
"90",0.71491,"14521050","Bad Schlema",2007
"91",0.678332,"14521050","Bad Schlema",2008
"92",0.664822,"14521050","Bad Schlema",2009
"93",0.643692,"14521050","Bad Schlema",2010
"94",0.613929,"14521050","Bad Schlema",2011
"95",0.62467,"14521050","Bad Schlema",2012
"96",0.65289,"14521050","Bad Schlema",2013
"97",0.684892,"14521050","Bad Schlema",2014
"98",0.723453,"14521050","Bad Schlema",2015
"99",0.7271,"14521050","Bad Schlema",2016
"100",0.662583,"14521050","Bad Schlema",2017
"101",0.290055,"14521110","Breitenbrunn/Erzgeb.",1998
"102",0.274402,"14521110","Breitenbrunn/Erzgeb.",1999
"103",0.518772,"14521110","Breitenbrunn/Erzgeb.",2000
"104",0.639928,"14521110","Breitenbrunn/Erzgeb.",2001
"105",0.655998,"14521110","Breitenbrunn/Erzgeb.",2002
"106",0.673105,"14521110","Breitenbrunn/Erzgeb.",2003
"107",0.599353,"14521110","Breitenbrunn/Erzgeb.",2004
"108",0.562125,"14521110","Breitenbrunn/Erzgeb.",2005
"109",0.598224,"14521110","Breitenbrunn/Erzgeb.",2006
"110",0.537279,"14521110","Breitenbrunn/Erzgeb.",2007
"111",0.555874,"14521110","Breitenbrunn/Erzgeb.",2008
"112",0.576308,"14521110","Breitenbrunn/Erzgeb.",2009
"113",0.547818,"14521110","Breitenbrunn/Erzgeb.",2010
"114",0.54382,"14521110","Breitenbrunn/Erzgeb.",2011
"115",0.557758,"14521110","Breitenbrunn/Erzgeb.",2012
"116",0.542759,"14521110","Breitenbrunn/Erzgeb.",2013
"117",0.55045,"14521110","Breitenbrunn/Erzgeb.",2014
"118",0.610288,"14521110","Breitenbrunn/Erzgeb.",2015
"119",0.596462,"14521110","Breitenbrunn/Erzgeb.",2016
"120",0.555671,"14521110","Breitenbrunn/Erzgeb.",2017
"121",0.216739,"14521130","Crottendorf",1998
"122",0.166808,"14521130","Crottendorf",1999
"123",0.369362,"14521130","Crottendorf",2000
"124",0.46837,"14521130","Crottendorf",2001
"125",0.479529,"14521130","Crottendorf",2002
"126",0.47527,"14521130","Crottendorf",2003
"127",0.446769,"14521130","Crottendorf",2004
"128",0.476964,"14521130","Crottendorf",2005
"129",0.481757,"14521130","Crottendorf",2006
"130",0.441493,"14521130","Crottendorf",2007
"131",0.437046,"14521130","Crottendorf",2008
"132",0.484718,"14521130","Crottendorf",2009
"133",0.474196,"14521130","Crottendorf",2010
"134",0.474202,"14521130","Crottendorf",2011
"135",0.478831,"14521130","Crottendorf",2012
"136",0.505828,"14521130","Crottendorf",2013
"137",0.523202,"14521130","Crottendorf",2014
"138",0.547722,"14521130","Crottendorf",2015
"139",0.590191,"14521130","Crottendorf",2016
"140",0.544873,"14521130","Crottendorf",2017
"141",0.431982,"14521150","Drebach",1998
"142",0.289161,"14521150","Drebach",1999
"143",0.583272,"14521150","Drebach",2000
"144",0.710292,"14521150","Drebach",2001
"145",0.670401,"14521150","Drebach",2002
"146",0.685052,"14521150","Drebach",2003
"147",0.638262,"14521150","Drebach",2004
"148",0.625177,"14521150","Drebach",2005
"149",0.630957,"14521150","Drebach",2006
"150",0.588086,"14521150","Drebach",2007
"151",0.585231,"14521150","Drebach",2008
"152",0.585509,"14521150","Drebach",2009
"153",0.537804,"14521150","Drebach",2010
"154",0.546786,"14521150","Drebach",2011
"155",0.527058,"14521150","Drebach",2012
"156",0.571234,"14521150","Drebach",2013
"157",0.580905,"14521150","Drebach",2014
"158",0.596577,"14521150","Drebach",2015
"159",0.583302,"14521150","Drebach",2016
"160",0.543127,"14521150","Drebach",2017
"161",0.468141,"14521160","Ehrenfriedersdorf, Stadt",1998
"162",0.322743,"14521160","Ehrenfriedersdorf, Stadt",1999
"163",0.579085,"14521160","Ehrenfriedersdorf, Stadt",2000
"164",0.721626,"14521160","Ehrenfriedersdorf, Stadt",2001
"165",0.71466,"14521160","Ehrenfriedersdorf, Stadt",2002
"166",0.703407,"14521160","Ehrenfriedersdorf, Stadt",2003
"167",0.698427,"14521160","Ehrenfriedersdorf, Stadt",2004
"168",0.704881,"14521160","Ehrenfriedersdorf, Stadt",2005
"169",0.735163,"14521160","Ehrenfriedersdorf, Stadt",2006
"170",0.672231,"14521160","Ehrenfriedersdorf, Stadt",2007
"171",0.669864,"14521160","Ehrenfriedersdorf, Stadt",2008
"172",0.724803,"14521160","Ehrenfriedersdorf, Stadt",2009
"173",0.666551,"14521160","Ehrenfriedersdorf, Stadt",2010
"174",0.611044,"14521160","Ehrenfriedersdorf, Stadt",2011
"175",0.622156,"14521160","Ehrenfriedersdorf, Stadt",2012
"176",0.646497,"14521160","Ehrenfriedersdorf, Stadt",2013
"177",0.6998,"14521160","Ehrenfriedersdorf, Stadt",2014
"178",0.701508,"14521160","Ehrenfriedersdorf, Stadt",2015
"179",0.684591,"14521160","Ehrenfriedersdorf, Stadt",2016
"180",0.648771,"14521160","Ehrenfriedersdorf, Stadt",2017
"181",0.534442,"14521170","Eibenstock, Stadt",1998
"182",0.382864,"14521170","Eibenstock, Stadt",1999
"183",0.701991,"14521170","Eibenstock, Stadt",2000
"184",0.860515,"14521170","Eibenstock, Stadt",2001
"185",0.869342,"14521170","Eibenstock, Stadt",2002
"186",0.86173,"14521170","Eibenstock, Stadt",2003
"187",0.777122,"14521170","Eibenstock, Stadt",2004
"188",0.757241,"14521170","Eibenstock, Stadt",2005
"189",0.775956,"14521170","Eibenstock, Stadt",2006
"190",0.707546,"14521170","Eibenstock, Stadt",2007
"191",0.698973,"14521170","Eibenstock, Stadt",2008
"192",0.769225,"14521170","Eibenstock, Stadt",2009
"193",0.732157,"14521170","Eibenstock, Stadt",2010
"194",0.681423,"14521170","Eibenstock, Stadt",2011
"195",0.689964,"14521170","Eibenstock, Stadt",2012
"196",0.712019,"14521170","Eibenstock, Stadt",2013
"197",0.751211,"14521170","Eibenstock, Stadt",2014
"198",0.791363,"14521170","Eibenstock, Stadt",2015
"199",0.738628,"14521170","Eibenstock, Stadt",2016
"200",0.690204,"14521170","Eibenstock, Stadt",2017
"201",0.48364,"14521200","Gelenau/Erzgeb.",1998
"202",0.353827,"14521200","Gelenau/Erzgeb.",1999
"203",0.589535,"14521200","Gelenau/Erzgeb.",2000
"204",0.735664,"14521200","Gelenau/Erzgeb.",2001
"205",0.774244,"14521200","Gelenau/Erzgeb.",2002
"206",0.781704,"14521200","Gelenau/Erzgeb.",2003
"207",0.707409,"14521200","Gelenau/Erzgeb.",2004
"208",0.656582,"14521200","Gelenau/Erzgeb.",2005
"209",0.655853,"14521200","Gelenau/Erzgeb.",2006
"210",0.65335,"14521200","Gelenau/Erzgeb.",2007
"211",0.60789,"14521200","Gelenau/Erzgeb.",2008
"212",0.636506,"14521200","Gelenau/Erzgeb.",2009
