"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.914538,"1001000","Flensburg, Stadt",1998
"2",0.935569,"1001000","Flensburg, Stadt",1999
"3",0.948682,"1001000","Flensburg, Stadt",2000
"4",0.916892,"1001000","Flensburg, Stadt",2001
"5",0.960284,"1001000","Flensburg, Stadt",2002
"6",0.84693,"1001000","Flensburg, Stadt",2003
"7",0.94438,"1001000","Flensburg, Stadt",2004
"8",0.965569,"1001000","Flensburg, Stadt",2005
"9",1,"1001000","Flensburg, Stadt",2006
"10",1,"1001000","Flensburg, Stadt",2007
"11",0.914916,"1001000","Flensburg, Stadt",2008
"12",1,"1001000","Flensburg, Stadt",2009
"13",0.970408,"1001000","Flensburg, Stadt",2010
"14",0.867045,"1001000","Flensburg, Stadt",2011
"15",0.889063,"1001000","Flensburg, Stadt",2012
"16",0.898837,"1001000","Flensburg, Stadt",2013
"17",0.93094,"1001000","Flensburg, Stadt",2014
"18",0.935294,"1001000","Flensburg, Stadt",2015
"19",0.866338,"1001000","Flensburg, Stadt",2016
"20",0.908264,"1001000","Flensburg, Stadt",2017
"21",0.657533,"1002000","Kiel, Landeshauptstadt",1998
"22",0.65411,"1002000","Kiel, Landeshauptstadt",1999
"23",0.726367,"1002000","Kiel, Landeshauptstadt",2000
"24",0.690323,"1002000","Kiel, Landeshauptstadt",2001
"25",0.651254,"1002000","Kiel, Landeshauptstadt",2002
"26",0.620786,"1002000","Kiel, Landeshauptstadt",2003
"27",0.666734,"1002000","Kiel, Landeshauptstadt",2004
"28",0.668032,"1002000","Kiel, Landeshauptstadt",2005
"29",0.726017,"1002000","Kiel, Landeshauptstadt",2006
"30",0.72187,"1002000","Kiel, Landeshauptstadt",2007
"31",0.635235,"1002000","Kiel, Landeshauptstadt",2008
"32",0.610206,"1002000","Kiel, Landeshauptstadt",2009
"33",0.605004,"1002000","Kiel, Landeshauptstadt",2010
"34",0.569219,"1002000","Kiel, Landeshauptstadt",2011
"35",0.593962,"1002000","Kiel, Landeshauptstadt",2012
"36",0.576767,"1002000","Kiel, Landeshauptstadt",2013
