"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.542227,"16051000","Erfurt, Stadt",1998
"2",0.578507,"16051000","Erfurt, Stadt",1999
"3",0.565508,"16051000","Erfurt, Stadt",2000
"4",0.562926,"16051000","Erfurt, Stadt",2001
"5",0.56595,"16051000","Erfurt, Stadt",2002
"6",0.540047,"16051000","Erfurt, Stadt",2003
"7",0.616379,"16051000","Erfurt, Stadt",2004
"8",0.628782,"16051000","Erfurt, Stadt",2005
"9",0.610482,"16051000","Erfurt, Stadt",2006
"10",0.636738,"16051000","Erfurt, Stadt",2007
"11",0.616837,"16051000","Erfurt, Stadt",2008
"12",0.57821,"16051000","Erfurt, Stadt",2009
"13",0.577256,"16051000","Erfurt, Stadt",2010
"14",0.585613,"16051000","Erfurt, Stadt",2011
"15",0.530432,"16051000","Erfurt, Stadt",2012
"16",0.532856,"16051000","Erfurt, Stadt",2013
"17",0.529388,"16051000","Erfurt, Stadt",2014
"18",0.565295,"16051000","Erfurt, Stadt",2015
"19",0.515564,"16051000","Erfurt, Stadt",2016
"20",0.660121,"16051000","Erfurt, Stadt",2017
"21",0.689231,"16052000","Gera, Stadt",1998
"22",0.718186,"16052000","Gera, Stadt",1999
"23",0.676095,"16052000","Gera, Stadt",2000
"24",0.708402,"16052000","Gera, Stadt",2001
"25",0.669857,"16052000","Gera, Stadt",2002
"26",0.680062,"16052000","Gera, Stadt",2003
"27",0.721234,"16052000","Gera, Stadt",2004
"28",0.769577,"16052000","Gera, Stadt",2005
"29",0.76592,"16052000","Gera, Stadt",2006
"30",0.800486,"16052000","Gera, Stadt",2007
"31",0.79119,"16052000","Gera, Stadt",2008
"32",0.886671,"16052000","Gera, Stadt",2009
"33",0.796055,"16052000","Gera, Stadt",2010
"34",0.84203,"16052000","Gera, Stadt",2011
"35",0.735804,"16052000","Gera, Stadt",2012
"36",0.730767,"16052000","Gera, Stadt",2013
"37",0.738887,"16052000","Gera, Stadt",2014
"38",0.749941,"16052000","Gera, Stadt",2015
"39",0.732909,"16052000","Gera, Stadt",2016
"40",0.820445,"16052000","Gera, Stadt",2017
"41",0,"16053000","Jena, Stadt",1998
"42",0,"16053000","Jena, Stadt",1999
"43",0,"16053000","Jena, Stadt",2000
"44",0,"16053000","Jena, Stadt",2001
"45",0,"16053000","Jena, Stadt",2002
"46",0,"16053000","Jena, Stadt",2003
"47",0,"16053000","Jena, Stadt",2004
"48",0,"16053000","Jena, Stadt",2005
"49",0,"16053000","Jena, Stadt",2006
"50",0,"16053000","Jena, Stadt",2007
"51",0,"16053000","Jena, Stadt",2008
"52",0,"16053000","Jena, Stadt",2009
"53",0,"16053000","Jena, Stadt",2010
"54",0,"16053000","Jena, Stadt",2011
"55",0,"16053000","Jena, Stadt",2012
"56",0,"16053000","Jena, Stadt",2013
"57",0,"16053000","Jena, Stadt",2014
"58",0,"16053000","Jena, Stadt",2015
"59",0,"16053000","Jena, Stadt",2016
"60",0,"16053000","Jena, Stadt",2017
"61",0.457191,"16054000","Suhl, Stadt",1998
"62",0.468409,"16054000","Suhl, Stadt",1999
"63",0.597089,"16054000","Suhl, Stadt",2000
"64",0.533273,"16054000","Suhl, Stadt",2001
"65",0.529504,"16054000","Suhl, Stadt",2002
"66",0.448411,"16054000","Suhl, Stadt",2003
"67",0.49602,"16054000","Suhl, Stadt",2004
"68",0.543669,"16054000","Suhl, Stadt",2005
"69",0.682111,"16054000","Suhl, Stadt",2006
"70",0.600833,"16054000","Suhl, Stadt",2007
"71",0.557592,"16054000","Suhl, Stadt",2008
"72",0.597072,"16054000","Suhl, Stadt",2009
"73",0.580711,"16054000","Suhl, Stadt",2010
"74",0.562044,"16054000","Suhl, Stadt",2011
"75",0.438952,"16054000","Suhl, Stadt",2012
"76",0.489486,"16054000","Suhl, Stadt",2013
"77",0.59798,"16054000","Suhl, Stadt",2014
"78",0.521101,"16054000","Suhl, Stadt",2015
"79",0.601437,"16054000","Suhl, Stadt",2016
"80",0.626609,"16054000","Suhl, Stadt",2017
"81",0.483403,"16055000","Weimar, Stadt",1998
"82",0.525949,"16055000","Weimar, Stadt",1999
"83",0.546529,"16055000","Weimar, Stadt",2000
"84",0.526302,"16055000","Weimar, Stadt",2001
"85",0.454613,"16055000","Weimar, Stadt",2002
"86",0.550177,"16055000","Weimar, Stadt",2003
"87",0.545464,"16055000","Weimar, Stadt",2004
"88",0.548144,"16055000","Weimar, Stadt",2005
"89",0.678464,"16055000","Weimar, Stadt",2006
"90",0.59023,"16055000","Weimar, Stadt",2007
"91",0.561861,"16055000","Weimar, Stadt",2008
"92",0.514714,"16055000","Weimar, Stadt",2009
"93",0.536106,"16055000","Weimar, Stadt",2010
"94",0.5544,"16055000","Weimar, Stadt",2011
"95",0.417984,"16055000","Weimar, Stadt",2012
"96",0.427085,"16055000","Weimar, Stadt",2013
"97",0.383391,"16055000","Weimar, Stadt",2014
"98",0.453681,"16055000","Weimar, Stadt",2015
"99",0.413297,"16055000","Weimar, Stadt",2016
"100",0.522402,"16055000","Weimar, Stadt",2017
"101",0.535334,"16056000","Eisenach, Stadt",1998
"102",0.636963,"16056000","Eisenach, Stadt",1999
"103",0.586949,"16056000","Eisenach, Stadt",2000
"104",0.640644,"16056000","Eisenach, Stadt",2001
"105",0.643966,"16056000","Eisenach, Stadt",2002
"106",0.59397,"16056000","Eisenach, Stadt",2003
"107",0.620906,"16056000","Eisenach, Stadt",2004
"108",0.703611,"16056000","Eisenach, Stadt",2005
"109",0.662836,"16056000","Eisenach, Stadt",2006
"110",0.670709,"16056000","Eisenach, Stadt",2007
"111",0.703623,"16056000","Eisenach, Stadt",2008
"112",0.765342,"16056000","Eisenach, Stadt",2009
"113",0.749908,"16056000","Eisenach, Stadt",2010
"114",0.746426,"16056000","Eisenach, Stadt",2011
"115",0.695375,"16056000","Eisenach, Stadt",2012
"116",0.710442,"16056000","Eisenach, Stadt",2013
"117",0.757732,"16056000","Eisenach, Stadt",2014
