"","Kreiskennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name des Kreises","Jahr"
"1",1001,0.865301,5,9,3,"Flensburg, Stadt",1998
"2",1001,0.834295,5,9,3,"Flensburg, Stadt",1999
"3",1001,0.774651,4,8,2,"Flensburg, Stadt",2000
"4",1001,0.738684,4,8,2,"Flensburg, Stadt",2001
"5",1001,0.751552,4,8,2,"Flensburg, Stadt",2002
"6",1001,0.737056,4,8,2,"Flensburg, Stadt",2003
"7",1001,0.760008,5,9,3,"Flensburg, Stadt",2004
"8",1001,0.803487,5,9,3,"Flensburg, Stadt",2005
"9",1001,0.792206,5,9,3,"Flensburg, Stadt",2006
"10",1001,0.77128,5,9,3,"Flensburg, Stadt",2007
"11",1001,0.732711,5,9,3,"Flensburg, Stadt",2008
"12",1001,0.724003,5,10,3,"Flensburg, Stadt",2009
"13",1001,0.718695,5,9,3,"Flensburg, Stadt",2010
"14",1001,0.682345,5,9,3,"Flensburg, Stadt",2011
"15",1001,0.677654,5,9,3,"Flensburg, Stadt",2012
"16",1001,0.679929,5,10,3,"Flensburg, Stadt",2013
"17",1001,0.658648,5,10,3,"Flensburg, Stadt",2014
"18",1001,0.671036,5,10,3,"Flensburg, Stadt",2015
"19",1001,0.644675,5,10,3,"Flensburg, Stadt",2016
"20",1001,0.641706,5,10,3,"Flensburg, Stadt",2017
"21",1001,0.621186,5,10,3,"Flensburg, Stadt",2018
"22",1001,0.613122,5,10,3,"Flensburg, Stadt",2019
"23",1001,0.600666,5,10,3,"Flensburg, Stadt",2020
"24",1002,0.775565,4,8,2,"Kiel, Stadt",1998
"25",1002,0.74046,4,7,2,"Kiel, Stadt",1999
"26",1002,0.702393,4,7,2,"Kiel, Stadt",2000
"27",1002,0.661317,4,7,2,"Kiel, Stadt",2001
"28",1002,0.649858,4,7,2,"Kiel, Stadt",2002
"29",1002,0.654964,4,7,2,"Kiel, Stadt",2003
"30",1002,0.665908,4,7,2,"Kiel, Stadt",2004
"31",1002,0.69089,4,7,2,"Kiel, Stadt",2005
"32",1002,0.697369,4,8,2,"Kiel, Stadt",2006
"33",1002,0.671632,4,8,2,"Kiel, Stadt",2007
"34",1002,0.634075,4,7,2,"Kiel, Stadt",2008
"35",1002,0.596632,4,7,2,"Kiel, Stadt",2009
"36",1002,0.594075,4,7,2,"Kiel, Stadt",2010
"37",1002,0.57252,4,7,2,"Kiel, Stadt",2011
"38",1002,0.571568,4,7,2,"Kiel, Stadt",2012
"39",1002,0.556554,4,7,2,"Kiel, Stadt",2013
"40",1002,0.546145,4,7,2,"Kiel, Stadt",2014
"41",1002,0.519537,4,7,2,"Kiel, Stadt",2015
"42",1002,0.517381,4,7,2,"Kiel, Stadt",2016
"43",1002,0.490062,4,7,2,"Kiel, Stadt",2017
"44",1002,0.481632,3,6,2,"Kiel, Stadt",2018
