"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,6899;1245041;4;8;2
"2";1998;2;0,912214;427271;5;10;3
"3";1998;3;0,854548;294995;5;10;3
"4";1998;4;0,829413;1233846;5;9;3
"5";1998;6;1;1300863;5;10;3
"6";1998;7;0,752398;579985;5;9;3
"7";1998;8;0,804775;598445;5;9;3
"8";1998;9;0,795831;788089;5;9;3
"9";1998;10;0,787358;414467;5;9;3
"10";1998;12;0,784799;1377942;5;9;3
"11";1998;13;0,787272;1173394;5;9;3
"12";1998;14;0,732877;1264837;5;9;3
"13";1998;15;0,732909;627638;5;9;3
"14";1998;16;0,841778;598416;5;10;3
"15";1998;17;0,983393;587834;5;10;3
"16";1998;18;0,905391;607324;5;10;3
"17";1998;19;0,871665;404679;5;10;3
"18";1998;20;0,288156;123873;1;2;1
"19";1998;21;0,363488;1597996;2;4;2
"20";1998;22;0,292955;1103442;1;2;1
"21";1998;23;0,652376;734709;4;8;2
"22";1998;24;0,614197;1096639;4;7;2
"23";1998;25;0,516879;696446;3;6;2
"24";1998;26;0,687332;1174940;4;8;2
"25";1998;27;0,654048;860141;4;8;2
"26";1998;28;0,541851;738878;4;7;2
"27";1998;29;0,684042;522068;4;8;2
"28";1998;30;0,474966;912461;3;6;2
"29";1998;31;0,561054;987374;4;7;2
"30";1998;32;0,480444;885607;3;6;2
"31";1998;33;0,461959;1082569;3;5;2
"32";1998;34;0,509983;771997;3;6;2
"33";1998;35;0,444919;912547;3;5;2
"34";1998;36;0,469804;534835;3;6;2
"35";1998;37;0,652352;444539;4;8;2
"36";1998;38;0,546755;1141969;4;7;2
"37";1998;39;0,944538;783323;5;10;3
"38";1998;40;0,239528;991992;1;1;1
"39";1998;41;0,474365;952282;3;6;2
"40";1998;42;0,538704;878888;4;7;2
"41";1998;44;0,63292;1267494;4;8;2
"42";1998;45;0,571147;1559154;4;7;2
"43";1998;46;0,570461;894580;4;7;2
"44";1998;47;0,649539;1313713;4;8;2
"45";1998;48;0,382718;1189935;2;4;2
"46";1998;49;0,551436;1228129;4;7;2
"47";1998;50;0,378161;1084177;2;4;2
"48";1998;51;0,372231;1079789;2;4;2
"49";1998;52;0,564017;941131;4;7;2
"50";1998;53;0,350485;1265468;2;3;2
"51";1998;54;0,538233;516643;3;6;2
"52";1998;55;0,383693;805580;2;4;2
"53";1998;56;0,512871;849197;3;6;2
"54";1998;57;0,43769;598580;3;5;2
"55";1998;58;0,549026;930406;4;7;2
"56";1998;59;0,521328;1145053;3;6;2
"57";1998;60;0,246299;619157;1;2;1
"58";1998;61;0,100073;451016;1;1;1
"59";1998;63;0,388131;1268562;2;4;2
"60";1998;64;0,294924;802795;1;2;1
