"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.110593,8111,"Stuttgart, Stadt",1998
"2",0.086191,8111,"Stuttgart, Stadt",1999
"3",0.129748,8111,"Stuttgart, Stadt",2000
"4",0.120686,8111,"Stuttgart, Stadt",2001
"5",0.163463,8111,"Stuttgart, Stadt",2002
"6",0.127652,8111,"Stuttgart, Stadt",2003
"7",0.067609,8111,"Stuttgart, Stadt",2004
"8",0.034356,8111,"Stuttgart, Stadt",2005
"9",0.082795,8111,"Stuttgart, Stadt",2006
"10",0.046998,8111,"Stuttgart, Stadt",2007
"11",0.096192,8111,"Stuttgart, Stadt",2008
"12",0.153497,8111,"Stuttgart, Stadt",2009
"13",0.139505,8111,"Stuttgart, Stadt",2010
"14",0.148645,8111,"Stuttgart, Stadt",2011
"15",0.184115,8111,"Stuttgart, Stadt",2012
"16",0.220023,8111,"Stuttgart, Stadt",2013
"17",0.181122,8111,"Stuttgart, Stadt",2014
"18",0.175637,8111,"Stuttgart, Stadt",2015
"19",0.184372,8111,"Stuttgart, Stadt",2016
"20",0.05035,8111,"Stuttgart, Stadt",2017
"21",0.087224,8111,"Stuttgart, Stadt",2018
"22",0.090901,8111,"Stuttgart, Stadt",2019
"23",0.093442,8111,"Stuttgart, Stadt",2020
"24",0,8115,"Böblingen",1998
"25",0.022084,8115,"Böblingen",1999
"26",0.013884,8115,"Böblingen",2000
"27",0.015267,8115,"Böblingen",2001
"28",0.099166,8115,"Böblingen",2002
"29",0.108603,8115,"Böblingen",2003
"30",0.045546,8115,"Böblingen",2004
"31",0.004089,8115,"Böblingen",2005
"32",0.052817,8115,"Böblingen",2006
"33",0.104425,8115,"Böblingen",2007
"34",0.14859,8115,"Böblingen",2008
"35",0.202026,8115,"Böblingen",2009
"36",0.1874,8115,"Böblingen",2010
"37",0.171103,8115,"Böblingen",2011
"38",0.199905,8115,"Böblingen",2012
"39",0.231575,8115,"Böblingen",2013
"40",0.20626,8115,"Böblingen",2014
"41",0.193855,8115,"Böblingen",2015
"42",0.211574,8115,"Böblingen",2016
"43",0.160445,8115,"Böblingen",2017
"44",0.234445,8115,"Böblingen",2018
"45",0.247412,8115,"Böblingen",2019
"46",0.257113,8115,"Böblingen",2020
"47",0.080294,8116,"Esslingen",1998
"48",0.103583,8116,"Esslingen",1999
"49",0.175607,8116,"Esslingen",2000
"50",0.151004,8116,"Esslingen",2001
"51",0.187748,8116,"Esslingen",2002
"52",0.192106,8116,"Esslingen",2003
"53",0.155355,8116,"Esslingen",2004
"54",0.10938,8116,"Esslingen",2005
"55",0.161911,8116,"Esslingen",2006
