"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.414875,9161,"Ingolstadt, Stadt",1998
"2",0.391324,9161,"Ingolstadt, Stadt",1999
"3",0.439475,9161,"Ingolstadt, Stadt",2000
"4",0.456061,9161,"Ingolstadt, Stadt",2001
"5",0.41978,9161,"Ingolstadt, Stadt",2002
"6",0.406336,9161,"Ingolstadt, Stadt",2003
"7",0.394001,9161,"Ingolstadt, Stadt",2004
"8",0.399009,9161,"Ingolstadt, Stadt",2005
"9",0.402589,9161,"Ingolstadt, Stadt",2006
"10",0.424711,9161,"Ingolstadt, Stadt",2007
"11",0.43747,9161,"Ingolstadt, Stadt",2008
"12",0.437674,9161,"Ingolstadt, Stadt",2009
"13",0.419823,9161,"Ingolstadt, Stadt",2010
"14",0.404986,9161,"Ingolstadt, Stadt",2011
"15",0.396255,9161,"Ingolstadt, Stadt",2012
"16",0.31382,9161,"Ingolstadt, Stadt",2013
"17",0.301709,9161,"Ingolstadt, Stadt",2014
"18",0.254491,9161,"Ingolstadt, Stadt",2015
"19",0.203456,9161,"Ingolstadt, Stadt",2016
"20",0.186021,9161,"Ingolstadt, Stadt",2017
"21",0.283042,9161,"Ingolstadt, Stadt",2018
"22",0.282842,9161,"Ingolstadt, Stadt",2019
"23",0.28265,9161,"Ingolstadt, Stadt",2020
"24",0.220307,9162,"München, Stadt",1998
"25",0.192257,9162,"München, Stadt",1999
"26",0.128569,9162,"München, Stadt",2000
"27",0.130123,9162,"München, Stadt",2001
"28",0.097853,9162,"München, Stadt",2002
"29",0.152386,9162,"München, Stadt",2003
"30",0.103304,9162,"München, Stadt",2004
"31",0.146074,9162,"München, Stadt",2005
"32",0.164846,9162,"München, Stadt",2006
"33",0.173994,9162,"München, Stadt",2007
"34",0.186256,9162,"München, Stadt",2008
"35",0.198171,9162,"München, Stadt",2009
"36",0.195238,9162,"München, Stadt",2010
"37",0.181038,9162,"München, Stadt",2011
"38",0.183852,9162,"München, Stadt",2012
"39",0.169436,9162,"München, Stadt",2013
"40",0.114358,9162,"München, Stadt",2014
"41",0.128442,9162,"München, Stadt",2015
"42",0.069518,9162,"München, Stadt",2016
"43",0.04057,9162,"München, Stadt",2017
"44",0.062745,9162,"München, Stadt",2018
"45",0.058422,9162,"München, Stadt",2019
"46",0.054167,9162,"München, Stadt",2020
"47",0.606345,9163,"Rosenheim, Stadt",1998
"48",0.656575,9163,"Rosenheim, Stadt",1999
"49",0.641218,9163,"Rosenheim, Stadt",2000
