"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",1,12051,"Brandenburg an der Havel, Stadt",1998
"2",1,12051,"Brandenburg an der Havel, Stadt",1999
"3",1,12051,"Brandenburg an der Havel, Stadt",2000
"4",0.930057,12051,"Brandenburg an der Havel, Stadt",2001
"5",0.968365,12051,"Brandenburg an der Havel, Stadt",2002
"6",0.91603,12051,"Brandenburg an der Havel, Stadt",2003
"7",0.862469,12051,"Brandenburg an der Havel, Stadt",2004
"8",0.848249,12051,"Brandenburg an der Havel, Stadt",2005
"9",0.913651,12051,"Brandenburg an der Havel, Stadt",2006
"10",0.977744,12051,"Brandenburg an der Havel, Stadt",2007
"11",0.827851,12051,"Brandenburg an der Havel, Stadt",2008
"12",0.87983,12051,"Brandenburg an der Havel, Stadt",2009
"13",0.877153,12051,"Brandenburg an der Havel, Stadt",2010
"14",0.879095,12051,"Brandenburg an der Havel, Stadt",2011
"15",0.829764,12051,"Brandenburg an der Havel, Stadt",2012
"16",0.867653,12051,"Brandenburg an der Havel, Stadt",2013
"17",0.860388,12051,"Brandenburg an der Havel, Stadt",2014
"18",0.953636,12051,"Brandenburg an der Havel, Stadt",2015
"19",0.86644,12051,"Brandenburg an der Havel, Stadt",2016
"20",0.901981,12051,"Brandenburg an der Havel, Stadt",2017
"21",0.855049,12051,"Brandenburg an der Havel, Stadt",2018
"22",0.845704,12051,"Brandenburg an der Havel, Stadt",2019
"23",0.836838,12051,"Brandenburg an der Havel, Stadt",2020
"24",0.596807,12052,"Cottbus, Stadt",1998
"25",0.555182,12052,"Cottbus, Stadt",1999
"26",0.546083,12052,"Cottbus, Stadt",2000
"27",0.479393,12052,"Cottbus, Stadt",2001
"28",0.480449,12052,"Cottbus, Stadt",2002
"29",0.467379,12052,"Cottbus, Stadt",2003
"30",0.449975,12052,"Cottbus, Stadt",2004
"31",0.485786,12052,"Cottbus, Stadt",2005
"32",0.518517,12052,"Cottbus, Stadt",2006
"33",0.62611,12052,"Cottbus, Stadt",2007
"34",0.557083,12052,"Cottbus, Stadt",2008
"35",0.551627,12052,"Cottbus, Stadt",2009
"36",0.517495,12052,"Cottbus, Stadt",2010
"37",0.505698,12052,"Cottbus, Stadt",2011
"38",0.482208,12052,"Cottbus, Stadt",2012
"39",0.532831,12052,"Cottbus, Stadt",2013
"40",0.501397,12052,"Cottbus, Stadt",2014
"41",0.542072,12052,"Cottbus, Stadt",2015
"42",0.497694,12052,"Cottbus, Stadt",2016
"43",0.54135,12052,"Cottbus, Stadt",2017
"44",0.528939,12052,"Cottbus, Stadt",2018
"45",0.522801,12052,"Cottbus, Stadt",2019
"46",0.516973,12052,"Cottbus, Stadt",2020
"47",0.757098,12053,"Frankfurt (Oder), Stadt",1998
"48",0.74874,12053,"Frankfurt (Oder), Stadt",1999
"49",0.776014,12053,"Frankfurt (Oder), Stadt",2000
"50",0.806682,12053,"Frankfurt (Oder), Stadt",2001
"51",0.730841,12053,"Frankfurt (Oder), Stadt",2002
"52",0.753373,12053,"Frankfurt (Oder), Stadt",2003
"53",0.783996,12053,"Frankfurt (Oder), Stadt",2004
"54",0.728561,12053,"Frankfurt (Oder), Stadt",2005
"55",0.709088,12053,"Frankfurt (Oder), Stadt",2006
"56",0.70587,12053,"Frankfurt (Oder), Stadt",2007
"57",0.716997,12053,"Frankfurt (Oder), Stadt",2008
"58",0.718067,12053,"Frankfurt (Oder), Stadt",2009
"59",0.656942,12053,"Frankfurt (Oder), Stadt",2010
"60",0.597611,12053,"Frankfurt (Oder), Stadt",2011
"61",0.709792,12053,"Frankfurt (Oder), Stadt",2012
"62",0.728751,12053,"Frankfurt (Oder), Stadt",2013
"63",0.702703,12053,"Frankfurt (Oder), Stadt",2014
"64",0.64749,12053,"Frankfurt (Oder), Stadt",2015
"65",0.610751,12053,"Frankfurt (Oder), Stadt",2016
"66",0.680587,12053,"Frankfurt (Oder), Stadt",2017
"67",0.674718,12053,"Frankfurt (Oder), Stadt",2018
"68",0.667782,12053,"Frankfurt (Oder), Stadt",2019
"69",0.66121,12053,"Frankfurt (Oder), Stadt",2020
"70",0,12054,"Potsdam, Stadt",1998
"71",0,12054,"Potsdam, Stadt",1999
"72",0,12054,"Potsdam, Stadt",2000
"73",0,12054,"Potsdam, Stadt",2001
"74",0,12054,"Potsdam, Stadt",2002
"75",0,12054,"Potsdam, Stadt",2003
"76",0,12054,"Potsdam, Stadt",2004
"77",0,12054,"Potsdam, Stadt",2005
"78",0,12054,"Potsdam, Stadt",2006
"79",0,12054,"Potsdam, Stadt",2007
"80",0,12054,"Potsdam, Stadt",2008
"81",0,12054,"Potsdam, Stadt",2009
"82",0,12054,"Potsdam, Stadt",2010
"83",0,12054,"Potsdam, Stadt",2011
"84",0,12054,"Potsdam, Stadt",2012
"85",0,12054,"Potsdam, Stadt",2013
"86",0,12054,"Potsdam, Stadt",2014
"87",0,12054,"Potsdam, Stadt",2015
"88",0,12054,"Potsdam, Stadt",2016
"89",0,12054,"Potsdam, Stadt",2017
"90",0,12054,"Potsdam, Stadt",2018
"91",0,12054,"Potsdam, Stadt",2019
"92",0,12054,"Potsdam, Stadt",2020
"93",0.588127,12060,"Barnim",1998
"94",0.593379,12060,"Barnim",1999
"95",0.623059,12060,"Barnim",2000
"96",0.678794,12060,"Barnim",2001
"97",0.719018,12060,"Barnim",2002
"98",0.619173,12060,"Barnim",2003
"99",0.606389,12060,"Barnim",2004
"100",0.549813,12060,"Barnim",2005
"101",0.55835,12060,"Barnim",2006
"102",0.598816,12060,"Barnim",2007
"103",0.598264,12060,"Barnim",2008
"104",0.564833,12060,"Barnim",2009
"105",0.465543,12060,"Barnim",2010
"106",0.524765,12060,"Barnim",2011
"107",0.548598,12060,"Barnim",2012
"108",0.523498,12060,"Barnim",2013
"109",0.515519,12060,"Barnim",2014
"110",0.513959,12060,"Barnim",2015
"111",0.479784,12060,"Barnim",2016
"112",0.513682,12060,"Barnim",2017
"113",0.559414,12060,"Barnim",2018
"114",0.565482,12060,"Barnim",2019
"115",0.571272,12060,"Barnim",2020
"116",0.284389,12061,"Dahme-Spreewald",1998
"117",0.302246,12061,"Dahme-Spreewald",1999
"118",0.269496,12061,"Dahme-Spreewald",2000
"119",0.33193,12061,"Dahme-Spreewald",2001
"120",0.365004,12061,"Dahme-Spreewald",2002
"121",0.338218,12061,"Dahme-Spreewald",2003
"122",0.318315,12061,"Dahme-Spreewald",2004
"123",0.323183,12061,"Dahme-Spreewald",2005
"124",0.302794,12061,"Dahme-Spreewald",2006
"125",0.340298,12061,"Dahme-Spreewald",2007
"126",0.34707,12061,"Dahme-Spreewald",2008
"127",0.353111,12061,"Dahme-Spreewald",2009
"128",0.315889,12061,"Dahme-Spreewald",2010
"129",0.268998,12061,"Dahme-Spreewald",2011
"130",0.310486,12061,"Dahme-Spreewald",2012
"131",0.380204,12061,"Dahme-Spreewald",2013
"132",0.33474,12061,"Dahme-Spreewald",2014
"133",0.382502,12061,"Dahme-Spreewald",2015
"134",0.342656,12061,"Dahme-Spreewald",2016
"135",0.331933,12061,"Dahme-Spreewald",2017
"136",0.342834,12061,"Dahme-Spreewald",2018
"137",0.352608,12061,"Dahme-Spreewald",2019
"138",0.361913,12061,"Dahme-Spreewald",2020
"139",0.809865,12062,"Elbe-Elster",1998
"140",0.802074,12062,"Elbe-Elster",1999
"141",0.750333,12062,"Elbe-Elster",2000
"142",0.753268,12062,"Elbe-Elster",2001
"143",0.716468,12062,"Elbe-Elster",2002
"144",0.758629,12062,"Elbe-Elster",2003
"145",0.765549,12062,"Elbe-Elster",2004
"146",0.727612,12062,"Elbe-Elster",2005
"147",0.770405,12062,"Elbe-Elster",2006
"148",0.778198,12062,"Elbe-Elster",2007
