"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.333874,"13003000","Rostock, Hansestadt",1998
"2",0.216757,"13003000","Rostock, Hansestadt",1999
"3",0.142405,"13003000","Rostock, Hansestadt",2000
"4",0.074861,"13003000","Rostock, Hansestadt",2001
"5",0.152109,"13003000","Rostock, Hansestadt",2002
"6",0.117085,"13003000","Rostock, Hansestadt",2003
"7",0.114863,"13003000","Rostock, Hansestadt",2004
"8",0.173324,"13003000","Rostock, Hansestadt",2005
"9",0.234796,"13003000","Rostock, Hansestadt",2006
"10",0.242097,"13003000","Rostock, Hansestadt",2007
"11",0.187426,"13003000","Rostock, Hansestadt",2008
"12",0.153007,"13003000","Rostock, Hansestadt",2009
"13",0.090024,"13003000","Rostock, Hansestadt",2010
"14",0.187566,"13003000","Rostock, Hansestadt",2011
"15",0.07531,"13003000","Rostock, Hansestadt",2012
"16",0.273712,"13003000","Rostock, Hansestadt",2013
"17",0.170452,"13003000","Rostock, Hansestadt",2014
"18",0.263874,"13003000","Rostock, Hansestadt",2015
"19",0.248687,"13003000","Rostock, Hansestadt",2016
"20",0.219402,"13003000","Rostock, Hansestadt",2017
"21",0.072112,"13003000","Rostock, Hansestadt",2018
"22",0.008404,"13003000","Rostock, Hansestadt",2019
"23",0,"13003000","Rostock, Hansestadt",2020
"24",0.234322,"13004000","Schwerin, Landeshauptstadt",1998
"25",0.212857,"13004000","Schwerin, Landeshauptstadt",1999
"26",0.148348,"13004000","Schwerin, Landeshauptstadt",2000
"27",0.075778,"13004000","Schwerin, Landeshauptstadt",2001
"28",0,"13004000","Schwerin, Landeshauptstadt",2002
"29",0.038585,"13004000","Schwerin, Landeshauptstadt",2003
"30",0,"13004000","Schwerin, Landeshauptstadt",2004
"31",0.090784,"13004000","Schwerin, Landeshauptstadt",2005
"32",0.288944,"13004000","Schwerin, Landeshauptstadt",2006
"33",0.402755,"13004000","Schwerin, Landeshauptstadt",2007
"34",0.203678,"13004000","Schwerin, Landeshauptstadt",2008
"35",0.144539,"13004000","Schwerin, Landeshauptstadt",2009
"36",0.412999,"13004000","Schwerin, Landeshauptstadt",2010
