"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.32206,"3101000","Braunschweig, Stadt",1998
"2",0.315011,"3101000","Braunschweig, Stadt",1999
"3",0.298975,"3101000","Braunschweig, Stadt",2000
"4",0.30828,"3101000","Braunschweig, Stadt",2001
"5",0.302569,"3101000","Braunschweig, Stadt",2002
"6",0.305884,"3101000","Braunschweig, Stadt",2003
"7",0.314523,"3101000","Braunschweig, Stadt",2004
"8",0.271736,"3101000","Braunschweig, Stadt",2005
"9",0.261804,"3101000","Braunschweig, Stadt",2006
"10",0.252694,"3101000","Braunschweig, Stadt",2007
"11",0.234633,"3101000","Braunschweig, Stadt",2008
"12",0.294162,"3101000","Braunschweig, Stadt",2009
"13",0.227703,"3101000","Braunschweig, Stadt",2010
"14",0.221393,"3101000","Braunschweig, Stadt",2011
"15",0.280994,"3101000","Braunschweig, Stadt",2012
"16",0.268985,"3101000","Braunschweig, Stadt",2013
"17",0.248836,"3101000","Braunschweig, Stadt",2014
"18",0.215615,"3101000","Braunschweig, Stadt",2015
"19",0.175028,"3101000","Braunschweig, Stadt",2016
"20",0.17459,"3101000","Braunschweig, Stadt",2017
"21",0.187417,"3101000","Braunschweig, Stadt",2018
"22",0.18088,"3101000","Braunschweig, Stadt",2019
"23",0.174404,"3101000","Braunschweig, Stadt",2020
"24",0.65038,"3102000","Salzgitter, Stadt",1998
"25",0.662978,"3102000","Salzgitter, Stadt",1999
"26",0.604212,"3102000","Salzgitter, Stadt",2000
"27",0.596597,"3102000","Salzgitter, Stadt",2001
"28",0.604353,"3102000","Salzgitter, Stadt",2002
"29",0.610152,"3102000","Salzgitter, Stadt",2003
"30",0.594758,"3102000","Salzgitter, Stadt",2004
"31",0.581568,"3102000","Salzgitter, Stadt",2005
"32",0.617539,"3102000","Salzgitter, Stadt",2006
"33",0.616375,"3102000","Salzgitter, Stadt",2007
"34",0.614481,"3102000","Salzgitter, Stadt",2008
"35",0.679067,"3102000","Salzgitter, Stadt",2009
"36",0.609545,"3102000","Salzgitter, Stadt",2010
"37",0.567504,"3102000","Salzgitter, Stadt",2011
"38",0.587869,"3102000","Salzgitter, Stadt",2012
"39",0.59599,"3102000","Salzgitter, Stadt",2013
"40",0.621592,"3102000","Salzgitter, Stadt",2014
"41",0.608322,"3102000","Salzgitter, Stadt",2015
"42",0.649417,"3102000","Salzgitter, Stadt",2016
"43",0.711525,"3102000","Salzgitter, Stadt",2017
"44",0.711066,"3102000","Salzgitter, Stadt",2018
"45",0.712474,"3102000","Salzgitter, Stadt",2019
"46",0.713872,"3102000","Salzgitter, Stadt",2020
"47",0,"3103000","Wolfsburg, Stadt",1998
"48",0,"3103000","Wolfsburg, Stadt",1999
"49",0,"3103000","Wolfsburg, Stadt",2000
"50",0,"3103000","Wolfsburg, Stadt",2001
"51",0,"3103000","Wolfsburg, Stadt",2002
"52",0,"3103000","Wolfsburg, Stadt",2003
"53",0,"3103000","Wolfsburg, Stadt",2004
"54",0,"3103000","Wolfsburg, Stadt",2005
"55",0,"3103000","Wolfsburg, Stadt",2006
"56",0,"3103000","Wolfsburg, Stadt",2007
"57",0,"3103000","Wolfsburg, Stadt",2008
"58",0,"3103000","Wolfsburg, Stadt",2009
"59",0,"3103000","Wolfsburg, Stadt",2010
"60",0,"3103000","Wolfsburg, Stadt",2011
"61",0,"3103000","Wolfsburg, Stadt",2012
"62",0,"3103000","Wolfsburg, Stadt",2013
"63",0,"3103000","Wolfsburg, Stadt",2014
"64",0,"3103000","Wolfsburg, Stadt",2015
"65",0,"3103000","Wolfsburg, Stadt",2016
"66",0,"3103000","Wolfsburg, Stadt",2017
"67",0,"3103000","Wolfsburg, Stadt",2018
"68",0,"3103000","Wolfsburg, Stadt",2019
"69",0,"3103000","Wolfsburg, Stadt",2020
"70",0.582532,"3151009","Gifhorn, Stadt",1998
"71",0.578023,"3151009","Gifhorn, Stadt",1999
"72",0.597903,"3151009","Gifhorn, Stadt",2000
"73",0.581806,"3151009","Gifhorn, Stadt",2001
"74",0.565362,"3151009","Gifhorn, Stadt",2002
"75",0.597655,"3151009","Gifhorn, Stadt",2003
"76",0.562692,"3151009","Gifhorn, Stadt",2004
"77",0.51401,"3151009","Gifhorn, Stadt",2005
"78",0.523186,"3151009","Gifhorn, Stadt",2006
"79",0.538876,"3151009","Gifhorn, Stadt",2007
"80",0.542773,"3151009","Gifhorn, Stadt",2008
"81",0.554678,"3151009","Gifhorn, Stadt",2009
"82",0.542916,"3151009","Gifhorn, Stadt",2010
"83",0.543971,"3151009","Gifhorn, Stadt",2011
"84",0.541672,"3151009","Gifhorn, Stadt",2012
"85",0.508235,"3151009","Gifhorn, Stadt",2013
"86",0.47915,"3151009","Gifhorn, Stadt",2014
"87",0.43531,"3151009","Gifhorn, Stadt",2015
"88",0.433032,"3151009","Gifhorn, Stadt",2016
"89",0.43818,"3151009","Gifhorn, Stadt",2017
"90",0.504162,"3151009","Gifhorn, Stadt",2018
"91",0.50352,"3151009","Gifhorn, Stadt",2019
"92",0.502889,"3151009","Gifhorn, Stadt",2020
"93",0.455967,"3151025","Sassenburg",1998
"94",0.461278,"3151025","Sassenburg",1999
"95",0.499303,"3151025","Sassenburg",2000
"96",0.517273,"3151025","Sassenburg",2001
"97",0.491744,"3151025","Sassenburg",2002
"98",0.50606,"3151025","Sassenburg",2003
"99",0.470805,"3151025","Sassenburg",2004
"100",0.412745,"3151025","Sassenburg",2005
"101",0.422818,"3151025","Sassenburg",2006
"102",0.447559,"3151025","Sassenburg",2007
"103",0.442082,"3151025","Sassenburg",2008
"104",0.448585,"3151025","Sassenburg",2009
"105",0.434543,"3151025","Sassenburg",2010
"106",0.431847,"3151025","Sassenburg",2011
"107",0.443819,"3151025","Sassenburg",2012
"108",0.419175,"3151025","Sassenburg",2013
"109",0.386181,"3151025","Sassenburg",2014
"110",0.356076,"3151025","Sassenburg",2015
"111",0.347378,"3151025","Sassenburg",2016
"112",0.357909,"3151025","Sassenburg",2017
"113",0.399388,"3151025","Sassenburg",2018
"114",0.398968,"3151025","Sassenburg",2019
"115",0.398547,"3151025","Sassenburg",2020
"116",0.453844,"3151040","Wittingen, Stadt",1998
"117",0.479706,"3151040","Wittingen, Stadt",1999
"118",0.531477,"3151040","Wittingen, Stadt",2000
"119",0.523636,"3151040","Wittingen, Stadt",2001
"120",0.512209,"3151040","Wittingen, Stadt",2002
"121",0.553371,"3151040","Wittingen, Stadt",2003
"122",0.515504,"3151040","Wittingen, Stadt",2004
"123",0.45437,"3151040","Wittingen, Stadt",2005
"124",0.461703,"3151040","Wittingen, Stadt",2006
"125",0.482428,"3151040","Wittingen, Stadt",2007
"126",0.486232,"3151040","Wittingen, Stadt",2008
"127",0.504938,"3151040","Wittingen, Stadt",2009
"128",0.498649,"3151040","Wittingen, Stadt",2010
"129",0.507569,"3151040","Wittingen, Stadt",2011
"130",0.494905,"3151040","Wittingen, Stadt",2012
"131",0.46991,"3151040","Wittingen, Stadt",2013
"132",0.442442,"3151040","Wittingen, Stadt",2014
"133",0.409339,"3151040","Wittingen, Stadt",2015
"134",0.404487,"3151040","Wittingen, Stadt",2016
"135",0.407104,"3151040","Wittingen, Stadt",2017
"136",0.457169,"3151040","Wittingen, Stadt",2018
"137",0.456578,"3151040","Wittingen, Stadt",2019
"138",0.455992,"3151040","Wittingen, Stadt",2020
"139",0.373092,"3151901","Boldecker Land",1998
"140",0.384033,"3151901","Boldecker Land",1999
"141",0.407613,"3151901","Boldecker Land",2000
"142",0.438583,"3151901","Boldecker Land",2001
"143",0.408591,"3151901","Boldecker Land",2002
"144",0.424686,"3151901","Boldecker Land",2003
"145",0.390086,"3151901","Boldecker Land",2004
"146",0.311986,"3151901","Boldecker Land",2005
"147",0.328723,"3151901","Boldecker Land",2006
"148",0.361274,"3151901","Boldecker Land",2007
"149",0.378903,"3151901","Boldecker Land",2008
"150",0.382627,"3151901","Boldecker Land",2009
"151",0.367467,"3151901","Boldecker Land",2010
"152",0.374523,"3151901","Boldecker Land",2011
"153",0.382374,"3151901","Boldecker Land",2012
"154",0.360018,"3151901","Boldecker Land",2013
"155",0.335199,"3151901","Boldecker Land",2014
"156",0.302605,"3151901","Boldecker Land",2015
"157",0.29916,"3151901","Boldecker Land",2016
"158",0.292865,"3151901","Boldecker Land",2017
"159",0.375939,"3151901","Boldecker Land",2018
"160",0.405051,"3151901","Boldecker Land",2019
"161",0.433835,"3151901","Boldecker Land",2020
"162",0.415467,"3151902","Brome",1998
"163",0.428054,"3151902","Brome",1999
"164",0.4594,"3151902","Brome",2000
"165",0.454027,"3151902","Brome",2001
"166",0.43276,"3151902","Brome",2002
"167",0.452347,"3151902","Brome",2003
"168",0.425939,"3151902","Brome",2004
"169",0.358168,"3151902","Brome",2005
"170",0.380937,"3151902","Brome",2006
"171",0.404005,"3151902","Brome",2007
"172",0.414065,"3151902","Brome",2008
"173",0.425983,"3151902","Brome",2009
"174",0.414669,"3151902","Brome",2010
"175",0.422823,"3151902","Brome",2011
"176",0.434238,"3151902","Brome",2012
"177",0.418168,"3151902","Brome",2013
"178",0.400292,"3151902","Brome",2014
"179",0.379908,"3151902","Brome",2015
"180",0.365971,"3151902","Brome",2016
"181",0.385529,"3151902","Brome",2017
"182",0.427937,"3151902","Brome",2018
"183",0.461094,"3151902","Brome",2019
"184",0.493881,"3151902","Brome",2020
"185",0.500154,"3151903","Hankensbüttel",1998
"186",0.513766,"3151903","Hankensbüttel",1999
"187",0.563025,"3151903","Hankensbüttel",2000
"188",0.580772,"3151903","Hankensbüttel",2001
"189",0.558551,"3151903","Hankensbüttel",2002
"190",0.596987,"3151903","Hankensbüttel",2003
"191",0.551699,"3151903","Hankensbüttel",2004
"192",0.488562,"3151903","Hankensbüttel",2005
"193",0.501911,"3151903","Hankensbüttel",2006
"194",0.516125,"3151903","Hankensbüttel",2007
"195",0.527777,"3151903","Hankensbüttel",2008
"196",0.544685,"3151903","Hankensbüttel",2009
"197",0.52325,"3151903","Hankensbüttel",2010
"198",0.533728,"3151903","Hankensbüttel",2011
"199",0.525167,"3151903","Hankensbüttel",2012
"200",0.501716,"3151903","Hankensbüttel",2013
"201",0.484425,"3151903","Hankensbüttel",2014
"202",0.442168,"3151903","Hankensbüttel",2015
"203",0.440658,"3151903","Hankensbüttel",2016
"204",0.44545,"3151903","Hankensbüttel",2017
"205",0.52948,"3151903","Hankensbüttel",2018
"206",0.554209,"3151903","Hankensbüttel",2019
"207",0.578688,"3151903","Hankensbüttel",2020
"208",0.417443,"3151904","Isenbüttel",1998
"209",0.420548,"3151904","Isenbüttel",1999
"210",0.45041,"3151904","Isenbüttel",2000
"211",0.467229,"3151904","Isenbüttel",2001
"212",0.446778,"3151904","Isenbüttel",2002
"213",0.464976,"3151904","Isenbüttel",2003
"214",0.426557,"3151904","Isenbüttel",2004
"215",0.357225,"3151904","Isenbüttel",2005
"216",0.367602,"3151904","Isenbüttel",2006
"217",0.395182,"3151904","Isenbüttel",2007
"218",0.403082,"3151904","Isenbüttel",2008
"219",0.411074,"3151904","Isenbüttel",2009
"220",0.395275,"3151904","Isenbüttel",2010
"221",0.407324,"3151904","Isenbüttel",2011
"222",0.414423,"3151904","Isenbüttel",2012
