"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.360833,7111,"Koblenz, Stadt",1998
"2",0.364203,7111,"Koblenz, Stadt",1999
"3",0.35325,7111,"Koblenz, Stadt",2000
"4",0.3578,7111,"Koblenz, Stadt",2001
"5",0.400389,7111,"Koblenz, Stadt",2002
"6",0.365957,7111,"Koblenz, Stadt",2003
"7",0.348699,7111,"Koblenz, Stadt",2004
"8",0.391867,7111,"Koblenz, Stadt",2005
"9",0.368342,7111,"Koblenz, Stadt",2006
"10",0.382027,7111,"Koblenz, Stadt",2007
"11",0.41133,7111,"Koblenz, Stadt",2008
"12",0.40858,7111,"Koblenz, Stadt",2009
"13",0.472256,7111,"Koblenz, Stadt",2010
"14",0.3995,7111,"Koblenz, Stadt",2011
"15",0.426732,7111,"Koblenz, Stadt",2012
"16",0.417717,7111,"Koblenz, Stadt",2013
"17",0.422089,7111,"Koblenz, Stadt",2014
"18",0.389191,7111,"Koblenz, Stadt",2015
"19",0.395103,7111,"Koblenz, Stadt",2016
"20",0.398758,7111,"Koblenz, Stadt",2017
"21",0.417022,7111,"Koblenz, Stadt",2018
"22",0.419219,7111,"Koblenz, Stadt",2019
"23",0.421355,7111,"Koblenz, Stadt",2020
"24",0.311851,7131,"Ahrweiler",1998
"25",0.31348,7131,"Ahrweiler",1999
"26",0.299804,7131,"Ahrweiler",2000
"27",0.352304,7131,"Ahrweiler",2001
"28",0.432466,7131,"Ahrweiler",2002
"29",0.45327,7131,"Ahrweiler",2003
"30",0.39813,7131,"Ahrweiler",2004
"31",0.342286,7131,"Ahrweiler",2005
"32",0.33911,7131,"Ahrweiler",2006
"33",0.336502,7131,"Ahrweiler",2007
"34",0.392603,7131,"Ahrweiler",2008
"35",0.36334,7131,"Ahrweiler",2009
"36",0.394603,7131,"Ahrweiler",2010
"37",0.34798,7131,"Ahrweiler",2011
"38",0.372208,7131,"Ahrweiler",2012
"39",0.378845,7131,"Ahrweiler",2013
"40",0.361018,7131,"Ahrweiler",2014
"41",0.366556,7131,"Ahrweiler",2015
"42",0.357024,7131,"Ahrweiler",2016
"43",0.339425,7131,"Ahrweiler",2017
"44",0.413057,7131,"Ahrweiler",2018
"45",0.430981,7131,"Ahrweiler",2019
"46",0.448534,7131,"Ahrweiler",2020
"47",0.533125,7132,"Altenkirchen (Westerwald)",1998
"48",0.535977,7132,"Altenkirchen (Westerwald)",1999
"49",0.556023,7132,"Altenkirchen (Westerwald)",2000
"50",0.557006,7132,"Altenkirchen (Westerwald)",2001
"51",0.587364,7132,"Altenkirchen (Westerwald)",2002
"52",0.604972,7132,"Altenkirchen (Westerwald)",2003
"53",0.569878,7132,"Altenkirchen (Westerwald)",2004
"54",0.614339,7132,"Altenkirchen (Westerwald)",2005
"55",0.606202,7132,"Altenkirchen (Westerwald)",2006
"56",0.615331,7132,"Altenkirchen (Westerwald)",2007
"57",0.60636,7132,"Altenkirchen (Westerwald)",2008
"58",0.695742,7132,"Altenkirchen (Westerwald)",2009
"59",0.680074,7132,"Altenkirchen (Westerwald)",2010
"60",0.589372,7132,"Altenkirchen (Westerwald)",2011
"61",0.596124,7132,"Altenkirchen (Westerwald)",2012
"62",0.601223,7132,"Altenkirchen (Westerwald)",2013
"63",0.600466,7132,"Altenkirchen (Westerwald)",2014
"64",0.596396,7132,"Altenkirchen (Westerwald)",2015
"65",0.620987,7132,"Altenkirchen (Westerwald)",2016
"66",0.600874,7132,"Altenkirchen (Westerwald)",2017
"67",0.676251,7132,"Altenkirchen (Westerwald)",2018
"68",0.697782,7132,"Altenkirchen (Westerwald)",2019
"69",0.718849,7132,"Altenkirchen (Westerwald)",2020
"70",0.478825,7133,"Bad Kreuznach",1998
"71",0.479605,7133,"Bad Kreuznach",1999
"72",0.504672,7133,"Bad Kreuznach",2000
"73",0.555059,7133,"Bad Kreuznach",2001
