"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.956804,10041,"Regionalverband Saarbrücken",1998
"2",0.939931,10041,"Regionalverband Saarbrücken",1999
"3",0.882103,10041,"Regionalverband Saarbrücken",2000
"4",0.874249,10041,"Regionalverband Saarbrücken",2001
"5",0.658355,10041,"Regionalverband Saarbrücken",2002
"6",0.804266,10041,"Regionalverband Saarbrücken",2003
"7",0.811218,10041,"Regionalverband Saarbrücken",2004
"8",0.689961,10041,"Regionalverband Saarbrücken",2005
"9",0.744366,10041,"Regionalverband Saarbrücken",2006
"10",0.72205,10041,"Regionalverband Saarbrücken",2007
"11",0.764745,10041,"Regionalverband Saarbrücken",2008
"12",0.77437,10041,"Regionalverband Saarbrücken",2009
"13",0.71522,10041,"Regionalverband Saarbrücken",2010
"14",0.713808,10041,"Regionalverband Saarbrücken",2011
"15",0.699799,10041,"Regionalverband Saarbrücken",2012
"16",0.751677,10041,"Regionalverband Saarbrücken",2013
"17",0.788812,10041,"Regionalverband Saarbrücken",2014
"18",0.808681,10041,"Regionalverband Saarbrücken",2015
"19",0.815842,10041,"Regionalverband Saarbrücken",2016
"20",0.78308,10041,"Regionalverband Saarbrücken",2017
"21",0.660827,10041,"Regionalverband Saarbrücken",2018
"22",0.652751,10041,"Regionalverband Saarbrücken",2019
"23",0.644798,10041,"Regionalverband Saarbrücken",2020
"24",0.93778,10042,"Merzig-Wadern",1998
"25",0.8401,10042,"Merzig-Wadern",1999
"26",0.713615,10042,"Merzig-Wadern",2000
"27",0.826109,10042,"Merzig-Wadern",2001
"28",0.725812,10042,"Merzig-Wadern",2002
"29",0.827162,10042,"Merzig-Wadern",2003
"30",0.717288,10042,"Merzig-Wadern",2004
"31",0.779575,10042,"Merzig-Wadern",2005
"32",0.793339,10042,"Merzig-Wadern",2006
"33",0.828743,10042,"Merzig-Wadern",2007
"34",0.888742,10042,"Merzig-Wadern",2008
"35",0.879912,10042,"Merzig-Wadern",2009
"36",0.915766,10042,"Merzig-Wadern",2010
"37",0.83743,10042,"Merzig-Wadern",2011
"38",0.961411,10042,"Merzig-Wadern",2012
"39",1,10042,"Merzig-Wadern",2013
"40",0.994019,10042,"Merzig-Wadern",2014
"41",0.892689,10042,"Merzig-Wadern",2015
"42",0.980764,10042,"Merzig-Wadern",2016
"43",1,10042,"Merzig-Wadern",2017
"44",0.944867,10042,"Merzig-Wadern",2018
"45",0.948263,10042,"Merzig-Wadern",2019
"46",0.951576,10042,"Merzig-Wadern",2020
"47",1,10043,"Neunkirchen",1998
"48",1,10043,"Neunkirchen",1999
"49",1,10043,"Neunkirchen",2000
"50",1,10043,"Neunkirchen",2001
"51",1,10043,"Neunkirchen",2002
"52",1,10043,"Neunkirchen",2003
"53",1,10043,"Neunkirchen",2004
"54",1,10043,"Neunkirchen",2005
"55",1,10043,"Neunkirchen",2006
"56",1,10043,"Neunkirchen",2007
"57",1,10043,"Neunkirchen",2008
"58",1,10043,"Neunkirchen",2009
"59",1,10043,"Neunkirchen",2010
"60",1,10043,"Neunkirchen",2011
"61",1,10043,"Neunkirchen",2012
"62",0.974935,10043,"Neunkirchen",2013
"63",1,10043,"Neunkirchen",2014
"64",1,10043,"Neunkirchen",2015
"65",1,10043,"Neunkirchen",2016
"66",0.96025,10043,"Neunkirchen",2017
"67",1,10043,"Neunkirchen",2018
"68",1,10043,"Neunkirchen",2019
"69",1,10043,"Neunkirchen",2020
"70",0.619897,10044,"Saarlouis",1998
"71",0.630266,10044,"Saarlouis",1999
"72",0.600522,10044,"Saarlouis",2000
"73",0.591559,10044,"Saarlouis",2001
"74",0.501141,10044,"Saarlouis",2002
"75",0.623562,10044,"Saarlouis",2003
"76",0.576097,10044,"Saarlouis",2004
"77",0.502492,10044,"Saarlouis",2005
"78",0.475515,10044,"Saarlouis",2006
"79",0.602328,10044,"Saarlouis",2007
"80",0.597721,10044,"Saarlouis",2008
"81",0.536995,10044,"Saarlouis",2009
"82",0.539337,10044,"Saarlouis",2010
"83",0.5223,10044,"Saarlouis",2011
"84",0.624579,10044,"Saarlouis",2012
