"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.906759,1001,"Flensburg, Stadt",1998
"2",0.929136,1001,"Flensburg, Stadt",1999
"3",0.942879,1001,"Flensburg, Stadt",2000
"4",0.965851,1001,"Flensburg, Stadt",2001
"5",1,1001,"Flensburg, Stadt",2002
"6",0.837944,1001,"Flensburg, Stadt",2003
"7",0.938567,1001,"Flensburg, Stadt",2004
"8",1,1001,"Flensburg, Stadt",2005
"9",1,1001,"Flensburg, Stadt",2006
"10",1,1001,"Flensburg, Stadt",2007
"11",0.907316,1001,"Flensburg, Stadt",2008
"12",1,1001,"Flensburg, Stadt",2009
"13",0.96557,1001,"Flensburg, Stadt",2010
"14",0.857375,1001,"Flensburg, Stadt",2011
"15",0.884092,1001,"Flensburg, Stadt",2012
"16",0.891721,1001,"Flensburg, Stadt",2013
"17",0.924845,1001,"Flensburg, Stadt",2014
"18",0.930608,1001,"Flensburg, Stadt",2015
"19",0.855602,1001,"Flensburg, Stadt",2016
"20",0.901543,1001,"Flensburg, Stadt",2017
"21",0.939904,1001,"Flensburg, Stadt",2018
"22",0.935283,1001,"Flensburg, Stadt",2019
"23",0.930615,1001,"Flensburg, Stadt",2020
"24",0.63399,1002,"Kiel, Stadt",1998
"25",0.630801,1002,"Kiel, Stadt",1999
"26",0.70765,1002,"Kiel, Stadt",2000
"27",0.707104,1002,"Kiel, Stadt",2001
"28",0.655919,1002,"Kiel, Stadt",2002
"29",0.602383,1002,"Kiel, Stadt",2003
"30",0.645257,1002,"Kiel, Stadt",2004
"31",0.669124,1002,"Kiel, Stadt",2005
"32",0.708584,1002,"Kiel, Stadt",2006
"33",0.706566,1002,"Kiel, Stadt",2007
"34",0.61542,1002,"Kiel, Stadt",2008
"35",0.590711,1002,"Kiel, Stadt",2009
"36",0.582889,1002,"Kiel, Stadt",2010
"37",0.539971,1002,"Kiel, Stadt",2011
"38",0.568466,1002,"Kiel, Stadt",2012
"39",0.551018,1002,"Kiel, Stadt",2013
"40",0.572701,1002,"Kiel, Stadt",2014
"41",0.505935,1002,"Kiel, Stadt",2015
"42",0.49609,1002,"Kiel, Stadt",2016
"43",0.491936,1002,"Kiel, Stadt",2017
"44",0.536306,1002,"Kiel, Stadt",2018
"45",0.525315,1002,"Kiel, Stadt",2019
"46",0.514216,1002,"Kiel, Stadt",2020
"47",0.785412,1003,"Lübeck, Stadt",1998
"48",0.816199,1003,"Lübeck, Stadt",1999
"49",0.950422,1003,"Lübeck, Stadt",2000
"50",1,1003,"Lübeck, Stadt",2001
"51",0.959467,1003,"Lübeck, Stadt",2002
"52",0.822359,1003,"Lübeck, Stadt",2003
"53",0.822697,1003,"Lübeck, Stadt",2004
"54",0.91334,1003,"Lübeck, Stadt",2005
"55",0.875547,1003,"Lübeck, Stadt",2006
"56",0.861071,1003,"Lübeck, Stadt",2007
"57",0.795836,1003,"Lübeck, Stadt",2008
"58",0.806914,1003,"Lübeck, Stadt",2009
"59",0.791496,1003,"Lübeck, Stadt",2010
"60",0.816854,1003,"Lübeck, Stadt",2011
"61",0.874251,1003,"Lübeck, Stadt",2012
"62",0.769477,1003,"Lübeck, Stadt",2013
"63",0.88701,1003,"Lübeck, Stadt",2014
"64",0.759888,1003,"Lübeck, Stadt",2015
"65",0.660335,1003,"Lübeck, Stadt",2016
"66",0.727303,1003,"Lübeck, Stadt",2017
"67",0.799075,1003,"Lübeck, Stadt",2018
"68",0.7938,1003,"Lübeck, Stadt",2019
"69",0.788458,1003,"Lübeck, Stadt",2020
"70",1,1004,"Neumünster, Stadt",1998
"71",1,1004,"Neumünster, Stadt",1999
"72",1,1004,"Neumünster, Stadt",2000
"73",0.994649,1004,"Neumünster, Stadt",2001
"74",0.992399,1004,"Neumünster, Stadt",2002
"75",1,1004,"Neumünster, Stadt",2003
"76",1,1004,"Neumünster, Stadt",2004
"77",0.95109,1004,"Neumünster, Stadt",2005
"78",0.980683,1004,"Neumünster, Stadt",2006
"79",0.974724,1004,"Neumünster, Stadt",2007
"80",1,1004,"Neumünster, Stadt",2008
"81",0.986015,1004,"Neumünster, Stadt",2009
