"","Kreiskennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name des Kreises","Jahr"
"1",1001,0.872311,5,9,3,"Flensburg, Stadt",1998
"2",1001,0.833721,5,9,3,"Flensburg, Stadt",1999
"3",1001,0.815953,5,9,3,"Flensburg, Stadt",2000
"4",1001,0.796756,5,9,3,"Flensburg, Stadt",2001
"5",1001,0.772311,5,9,3,"Flensburg, Stadt",2002
"6",1001,0.738631,4,8,2,"Flensburg, Stadt",2003
"7",1001,0.751805,5,9,3,"Flensburg, Stadt",2004
"8",1001,0.776984,5,9,3,"Flensburg, Stadt",2005
"9",1001,0.781355,5,9,3,"Flensburg, Stadt",2006
"10",1001,0.77874,5,10,3,"Flensburg, Stadt",2007
"11",1001,0.74824,5,9,3,"Flensburg, Stadt",2008
"12",1001,0.730006,5,10,3,"Flensburg, Stadt",2009
"13",1001,0.726632,5,10,3,"Flensburg, Stadt",2010
"14",1001,0.682291,5,9,3,"Flensburg, Stadt",2011
"15",1001,0.665598,5,9,3,"Flensburg, Stadt",2012
"16",1001,0.686263,5,10,3,"Flensburg, Stadt",2013
"17",1001,0.667622,5,10,3,"Flensburg, Stadt",2014
"18",1001,0.658891,5,10,3,"Flensburg, Stadt",2015
"19",1001,0.654506,5,10,3,"Flensburg, Stadt",2016
"20",1001,0.651197,5,10,3,"Flensburg, Stadt",2017
"21",1001,0.625408,5,10,3,"Flensburg, Stadt",2018
"22",1001,0.642121,5,10,3,"Flensburg, Stadt",2019
"23",1002,0.812396,4,8,2,"Kiel, Stadt",1998
"24",1002,0.766889,4,8,2,"Kiel, Stadt",1999
"25",1002,0.759204,4,8,2,"Kiel, Stadt",2000
"26",1002,0.737775,4,8,2,"Kiel, Stadt",2001
"27",1002,0.697703,4,7,2,"Kiel, Stadt",2002
"28",1002,0.680289,4,7,2,"Kiel, Stadt",2003
"29",1002,0.685997,4,7,2,"Kiel, Stadt",2004
"30",1002,0.685356,4,7,2,"Kiel, Stadt",2005
"31",1002,0.698615,4,8,2,"Kiel, Stadt",2006
"32",1002,0.687563,4,8,2,"Kiel, Stadt",2007
"33",1002,0.655208,4,8,2,"Kiel, Stadt",2008
"34",1002,0.62433,4,7,2,"Kiel, Stadt",2009
"35",1002,0.623023,4,7,2,"Kiel, Stadt",2010
"36",1002,0.595906,4,7,2,"Kiel, Stadt",2011
"37",1002,0.590687,4,7,2,"Kiel, Stadt",2012
"38",1002,0.586999,4,8,2,"Kiel, Stadt",2013
"39",1002,0.572709,4,8,2,"Kiel, Stadt",2014
"40",1002,0.54009,4,8,2,"Kiel, Stadt",2015
"41",1002,0.540194,4,7,2,"Kiel, Stadt",2016
"42",1002,0.525943,4,7,2,"Kiel, Stadt",2017
"43",1002,0.511293,4,7,2,"Kiel, Stadt",2018
"44",1002,0.50767,4,7,2,"Kiel, Stadt",2019
"45",1003,0.857115,5,9,3,"Lübeck, Stadt",1998
"46",1003,0.812296,4,8,2,"Lübeck, Stadt",1999
"47",1003,0.809534,5,9,3,"Lübeck, Stadt",2000
"48",1003,0.81098,5,9,3,"Lübeck, Stadt",2001
"49",1003,0.77428,5,9,3,"Lübeck, Stadt",2002
"50",1003,0.750242,4,8,2,"Lübeck, Stadt",2003
"51",1003,0.74736,4,8,2,"Lübeck, Stadt",2004
"52",1003,0.753738,5,9,3,"Lübeck, Stadt",2005
"53",1003,0.744192,5,9,3,"Lübeck, Stadt",2006
"54",1003,0.731063,5,9,3,"Lübeck, Stadt",2007
"55",1003,0.70342,5,9,3,"Lübeck, Stadt",2008
"56",1003,0.676067,5,9,3,"Lübeck, Stadt",2009
"57",1003,0.67944,5,9,3,"Lübeck, Stadt",2010
"58",1003,0.680768,5,9,3,"Lübeck, Stadt",2011
"59",1003,0.674619,5,9,3,"Lübeck, Stadt",2012
"60",1003,0.656387,5,10,3,"Lübeck, Stadt",2013
"61",1003,0.656279,5,10,3,"Lübeck, Stadt",2014
"62",1003,0.618064,5,10,3,"Lübeck, Stadt",2015
"63",1003,0.607553,5,9,3,"Lübeck, Stadt",2016
"64",1003,0.604516,5,9,3,"Lübeck, Stadt",2017
"65",1003,0.580637,5,9,3,"Lübeck, Stadt",2018
