"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,75303;1242943;5;9;3
"2";1998;2;0,932116;427271;5;10;3
"3";1998;3;0,835085;294995;5;9;3
"4";1998;4;0,92599;1227112;5;10;3
"5";1998;6;1;1276724;5;10;3
"6";1998;7;0,820899;562704;5;9;3
"7";1998;8;0,853438;577243;5;9;3
"8";1998;9;0,855799;788063;5;9;3
"9";1998;10;0,743968;414467;5;9;3
"10";1998;12;0,742998;1377942;5;9;3
"11";1998;13;0,743925;1173394;5;9;3
"12";1998;14;0,719477;1264837;4;8;2
"13";1998;15;0,794429;627638;5;9;3
"14";1998;16;0,855609;598413;5;9;3
"15";1998;17;0,991271;582175;5;10;3
"16";1998;18;0,920053;603349;5;10;3
"17";1998;19;0,88317;401381;5;10;3
"18";1998;20;0,270408;123873;2;3;2
"19";1998;21;0,368214;1597996;3;5;2
"20";1998;22;0,291985;1103442;2;3;2
"21";1998;23;0,684371;733238;4;8;2
"22";1998;24;0,643528;1095349;4;8;2
"23";1998;25;0,536209;694669;4;7;2
"24";1998;26;0,699454;1174940;4;8;2
"25";1998;27;0,654469;860141;4;8;2
"26";1998;28;0,510679;738878;4;7;2
"27";1998;29;0,707098;522068;4;8;2
"28";1998;30;0,454391;912461;3;6;2
"29";1998;31;0,56353;987374;4;8;2
"30";1998;32;0,387374;885607;3;5;2
"31";1998;33;0,350729;1082569;2;4;2
"32";1998;34;0,482596;771997;3;6;2
"33";1998;35;0,370907;912547;3;5;2
"34";1998;36;0,436735;522085;3;6;2
"35";1998;37;0,645018;433234;4;8;2
"36";1998;38;0,556291;1141969;4;7;2
"37";1998;39;0,971124;783323;5;10;3
"38";1998;40;0,181232;991992;1;1;1
"39";1998;41;0,391929;952282;3;5;2
"40";1998;42;0,39885;878888;3;5;2
"41";1998;44;0,560408;1267494;4;7;2
"42";1998;45;0,506445;1559154;4;7;2
"43";1998;46;0,505685;894580;4;7;2
"44";1998;47;0,562026;1313713;4;7;2
"45";1998;48;0,353766;1189935;3;5;2
"46";1998;49;0,526619;1228129;4;7;2
"47";1998;50;0,300424;1084177;2;4;2
"48";1998;51;0,26978;1079789;2;3;2
"49";1998;52;0,446142;941131;3;6;2
"50";1998;53;0,310639;1265468;2;4;2
"51";1998;54;0,49746;516542;4;7;2
"52";1998;55;0,365957;795458;3;5;2
"53";1998;56;0,505515;849197;4;7;2
"54";1998;57;0,333868;598580;2;4;2
"55";1998;58;0,390381;930406;3;5;2
"56";1998;59;0,447877;1145053;3;6;2
"57";1998;60;0,181561;619157;1;2;1
"58";1998;61;0,05826;451016;1;1;1
"59";1998;63;0,316364;1268561;2;4;2
"60";1998;64;0,212686;792590;1;2;1
"61";1998;65;0,232073;1081648;1;2;1
"62";1998;66;0,605488;1248759;4;8;2
"63";1998;67;0,487502;1033467;3;6;2
"64";1998;68;0,299713;601445;2;4;2
"65";1998;69;0,183489;508949;1;2;1
"66";1998;70;0,066309;821650;1;1;1
"67";1998;71;0,060818;1000158;1;1;1
"68";1998;72;0,196716;1056260;1;2;1
"69";1998;73;0,16093;1006392;1;1;1
"70";1998;74;0,188294;1057532;1;2;1
"71";1998;75;0,252514;484410;2;3;2
"72";1998;76;0,229027;1139769;1;2;1
"73";1998;77;0,268834;478943;2;3;2
"74";1998;78;0,251057;741488;1;2;1
"75";1998;79;0,274828;1040371;2;3;2
"76";1998;80;0,000222;626238;1;1;1
"77";1998;81;0;814923;1;1;1
"78";1998;82;0,052215;735553;1;1;1
"79";1998;83;0,248988;762163;1;2;1
"80";1998;84;0,299477;684830;2;3;2
"81";1998;85;0,067403;1114901;1;1;1
"82";1998;86;0,314118;1164100;2;4;2
"83";1998;87;0,329452;522875;2;4;2
"84";1998;88;0,218749;846572;1;2;1
"85";1998;89;0,252419;763761;2;3;2
"86";1998;90;0,354931;892793;3;5;2
"87";1998;91;0,256625;999919;2;3;2
"88";1998;92;0,40041;516635;3;6;2
"89";1998;93;0,311493;590817;2;4;2
"90";1998;94;0,422431;705807;3;6;2
"91";1998;95;0,476401;497496;3;6;2
"92";1998;96;0,425497;552316;3;6;2
"93";1998;97;0,353351;1061351;2;4;2
"94";1998;98;0,88494;242064;5;10;3
"95";1998;99;0,92925;831356;5;10;3
"96";1999;1;0,753316;1242943;5;9;3
"97";1999;2;0,943686;427271;5;10;3
"98";1999;3;0,812997;294995;5;9;3
"99";1999;4;0,914289;1227112;5;10;3
"100";1999;6;0,985527;1276724;5;10;3
"101";1999;7;0,840316;562704;5;9;3
"102";1999;8;0,920262;577243;5;10;3
"103";1999;9;0,886247;788063;5;9;3
"104";1999;10;0,694241;414467;4;8;2
"105";1999;12;0,694655;1377942;5;9;3
"106";1999;13;0,694275;1173394;5;9;3
"107";1999;14;0,707867;1264837;5;9;3
"108";1999;15;0,803916;627638;5;9;3
"109";1999;16;0,879684;598413;5;9;3
"110";1999;17;1;582175;5;10;3
"111";1999;18;0,931125;603349;5;10;3
"112";1999;19;0,90024;401381;5;10;3
"113";1999;20;0,286653;123873;2;3;2
"114";1999;21;0,372862;1597996;3;5;2
"115";1999;22;0,298412;1103442;2;3;2
