"","Raumordnungsregion Nr","GISD_Score","GISD_5","GISD_10","GISD_k","Raumordnungsregion","Jahr"
"1",101,0.78486,4,7,2,"Schleswig-Holstein Mitte",1998
"2",101,0.762172,4,7,2,"Schleswig-Holstein Mitte",1999
"3",101,0.727314,4,7,2,"Schleswig-Holstein Mitte",2000
"4",101,0.706053,4,7,2,"Schleswig-Holstein Mitte",2001
"5",101,0.7077,4,7,2,"Schleswig-Holstein Mitte",2002
"6",101,0.714068,4,7,2,"Schleswig-Holstein Mitte",2003
"7",101,0.715471,4,7,2,"Schleswig-Holstein Mitte",2004
"8",101,0.732418,4,7,2,"Schleswig-Holstein Mitte",2005
"9",101,0.723034,4,7,2,"Schleswig-Holstein Mitte",2006
"10",101,0.692572,4,7,2,"Schleswig-Holstein Mitte",2007
"11",101,0.667762,4,8,2,"Schleswig-Holstein Mitte",2008
"12",101,0.639993,4,7,2,"Schleswig-Holstein Mitte",2009
"13",101,0.633392,4,7,2,"Schleswig-Holstein Mitte",2010
"14",101,0.608393,4,7,2,"Schleswig-Holstein Mitte",2011
"15",101,0.598353,4,8,2,"Schleswig-Holstein Mitte",2012
"16",101,0.59281,4,8,2,"Schleswig-Holstein Mitte",2013
"17",101,0.576297,4,8,2,"Schleswig-Holstein Mitte",2014
"18",101,0.553467,4,8,2,"Schleswig-Holstein Mitte",2015
"19",101,0.540769,4,8,2,"Schleswig-Holstein Mitte",2016
"20",101,0.514455,4,8,2,"Schleswig-Holstein Mitte",2017
"21",101,0.497577,4,8,2,"Schleswig-Holstein Mitte",2018
"22",101,0.478259,4,8,2,"Schleswig-Holstein Mitte",2019
"23",102,0.792236,4,7,2,"Schleswig-Holstein Nord",1998
"24",102,0.780245,4,7,2,"Schleswig-Holstein Nord",1999
"25",102,0.750438,4,7,2,"Schleswig-Holstein Nord",2000
"26",102,0.743069,4,8,2,"Schleswig-Holstein Nord",2001
"27",102,0.743728,4,8,2,"Schleswig-Holstein Nord",2002
"28",102,0.739103,4,8,2,"Schleswig-Holstein Nord",2003
"29",102,0.753985,4,8,2,"Schleswig-Holstein Nord",2004
"30",102,0.775001,4,8,2,"Schleswig-Holstein Nord",2005
"31",102,0.752539,4,8,2,"Schleswig-Holstein Nord",2006
"32",102,0.746954,4,8,2,"Schleswig-Holstein Nord",2007
"33",102,0.719,5,9,3,"Schleswig-Holstein Nord",2008
"34",102,0.694783,5,9,3,"Schleswig-Holstein Nord",2009
"35",102,0.692656,5,9,3,"Schleswig-Holstein Nord",2010
"36",102,0.660795,5,9,3,"Schleswig-Holstein Nord",2011
"37",102,0.663815,5,9,3,"Schleswig-Holstein Nord",2012
"38",102,0.652971,5,9,3,"Schleswig-Holstein Nord",2013
"39",102,0.640214,5,9,3,"Schleswig-Holstein Nord",2014
"40",102,0.608209,5,9,3,"Schleswig-Holstein Nord",2015
"41",102,0.597651,5,9,3,"Schleswig-Holstein Nord",2016
"42",102,0.575029,5,10,3,"Schleswig-Holstein Nord",2017
"43",102,0.567143,5,10,3,"Schleswig-Holstein Nord",2018
"44",102,0.541605,5,9,3,"Schleswig-Holstein Nord",2019
"45",103,0.82281,4,8,2,"Schleswig-Holstein Ost",1998
"46",103,0.80613,4,8,2,"Schleswig-Holstein Ost",1999
"47",103,0.781768,4,8,2,"Schleswig-Holstein Ost",2000
"48",103,0.773717,4,8,2,"Schleswig-Holstein Ost",2001
"49",103,0.773167,4,8,2,"Schleswig-Holstein Ost",2002
"50",103,0.762992,4,8,2,"Schleswig-Holstein Ost",2003
"51",103,0.759207,4,8,2,"Schleswig-Holstein Ost",2004
"52",103,0.794388,4,8,2,"Schleswig-Holstein Ost",2005
"53",103,0.779916,5,9,3,"Schleswig-Holstein Ost",2006
"54",103,0.746547,4,8,2,"Schleswig-Holstein Ost",2007
"55",103,0.718825,5,9,3,"Schleswig-Holstein Ost",2008
"56",103,0.68924,4,8,2,"Schleswig-Holstein Ost",2009
"57",103,0.679913,4,8,2,"Schleswig-Holstein Ost",2010
"58",103,0.671941,5,9,3,"Schleswig-Holstein Ost",2011
"59",103,0.671862,5,9,3,"Schleswig-Holstein Ost",2012
"60",103,0.651065,5,9,3,"Schleswig-Holstein Ost",2013
"61",103,0.647642,5,10,3,"Schleswig-Holstein Ost",2014
"62",103,0.622493,5,10,3,"Schleswig-Holstein Ost",2015
"63",103,0.595825,5,9,3,"Schleswig-Holstein Ost",2016
"64",103,0.570138,5,9,3,"Schleswig-Holstein Ost",2017
"65",103,0.549557,5,9,3,"Schleswig-Holstein Ost",2018
"66",103,0.531378,5,9,3,"Schleswig-Holstein Ost",2019
"67",104,0.683705,2,4,2,"Schleswig-Holstein Süd",1998
"68",104,0.665727,2,4,2,"Schleswig-Holstein Süd",1999
"69",104,0.619493,2,4,2,"Schleswig-Holstein Süd",2000
"70",104,0.602135,2,4,2,"Schleswig-Holstein Süd",2001
"71",104,0.604326,2,4,2,"Schleswig-Holstein Süd",2002
"72",104,0.599597,2,4,2,"Schleswig-Holstein Süd",2003
"73",104,0.599467,2,4,2,"Schleswig-Holstein Süd",2004
"74",104,0.613562,3,5,2,"Schleswig-Holstein Süd",2005
"75",104,0.601355,3,5,2,"Schleswig-Holstein Süd",2006
"76",104,0.569237,2,4,2,"Schleswig-Holstein Süd",2007
"77",104,0.54734,2,4,2,"Schleswig-Holstein Süd",2008
"78",104,0.52381,2,4,2,"Schleswig-Holstein Süd",2009
"79",104,0.517965,2,4,2,"Schleswig-Holstein Süd",2010
"80",104,0.496086,2,4,2,"Schleswig-Holstein Süd",2011
"81",104,0.487474,2,4,2,"Schleswig-Holstein Süd",2012
"82",104,0.480114,2,4,2,"Schleswig-Holstein Süd",2013
"83",104,0.469234,3,5,2,"Schleswig-Holstein Süd",2014
"84",104,0.446353,3,5,2,"Schleswig-Holstein Süd",2015
"85",104,0.441111,3,5,2,"Schleswig-Holstein Süd",2016
"86",104,0.412023,2,4,2,"Schleswig-Holstein Süd",2017
"87",104,0.394095,3,5,2,"Schleswig-Holstein Süd",2018
"88",104,0.377043,3,5,2,"Schleswig-Holstein Süd",2019
"89",105,0.795254,4,7,2,"Schleswig-Holstein Süd-West",1998
"90",105,0.784524,4,8,2,"Schleswig-Holstein Süd-West",1999
"91",105,0.751501,4,8,2,"Schleswig-Holstein Süd-West",2000
"92",105,0.741208,4,8,2,"Schleswig-Holstein Süd-West",2001
"93",105,0.751001,4,8,2,"Schleswig-Holstein Süd-West",2002
"94",105,0.739683,4,8,2,"Schleswig-Holstein Süd-West",2003
"95",105,0.757259,4,8,2,"Schleswig-Holstein Süd-West",2004
"96",105,0.770275,4,8,2,"Schleswig-Holstein Süd-West",2005
"97",105,0.746728,4,8,2,"Schleswig-Holstein Süd-West",2006
"98",105,0.714768,4,8,2,"Schleswig-Holstein Süd-West",2007
"99",105,0.698528,4,8,2,"Schleswig-Holstein Süd-West",2008
"100",105,0.677541,4,8,2,"Schleswig-Holstein Süd-West",2009
"101",105,0.677754,4,8,2,"Schleswig-Holstein Süd-West",2010
"102",105,0.662784,5,9,3,"Schleswig-Holstein Süd-West",2011
"103",105,0.666812,5,9,3,"Schleswig-Holstein Süd-West",2012
"104",105,0.638378,5,9,3,"Schleswig-Holstein Süd-West",2013
"105",105,0.648458,5,10,3,"Schleswig-Holstein Süd-West",2014
"106",105,0.618899,5,9,3,"Schleswig-Holstein Süd-West",2015
"107",105,0.610045,5,10,3,"Schleswig-Holstein Süd-West",2016
"108",105,0.579779,5,10,3,"Schleswig-Holstein Süd-West",2017
"109",105,0.562219,5,9,3,"Schleswig-Holstein Süd-West",2018
"110",105,0.544056,5,10,3,"Schleswig-Holstein Süd-West",2019
"111",201,0.629903,1,2,1,"Hamburg",1998
"112",201,0.607281,1,2,1,"Hamburg",1999
"113",201,0.579911,1,2,1,"Hamburg",2000
"114",201,0.553262,1,2,1,"Hamburg",2001
"115",201,0.546044,1,2,1,"Hamburg",2002
"116",201,0.532047,1,2,1,"Hamburg",2003
"117",201,0.53008,1,2,1,"Hamburg",2004
"118",201,0.539353,1,2,1,"Hamburg",2005
"119",201,0.529828,1,2,1,"Hamburg",2006
"120",201,0.501089,1,2,1,"Hamburg",2007
"121",201,0.454749,1,2,1,"Hamburg",2008
"122",201,0.43993,1,1,1,"Hamburg",2009
"123",201,0.426505,1,1,1,"Hamburg",2010
"124",201,0.380719,1,1,1,"Hamburg",2011
"125",201,0.37365,1,1,1,"Hamburg",2012
"126",201,0.337251,1,1,1,"Hamburg",2013
"127",201,0.320903,1,1,1,"Hamburg",2014
"128",201,0.294546,1,1,1,"Hamburg",2015
"129",201,0.261047,1,1,1,"Hamburg",2016
"130",201,0.231747,1,1,1,"Hamburg",2017
"131",201,0.212553,1,1,1,"Hamburg",2018
"132",201,0.179363,1,1,1,"Hamburg",2019
"133",301,0.736012,3,6,2,"Braunschweig",1998
"134",301,0.709782,3,6,2,"Braunschweig",1999
"135",301,0.686565,3,6,2,"Braunschweig",2000
"136",301,0.658554,3,6,2,"Braunschweig",2001
"137",301,0.655353,3,6,2,"Braunschweig",2002
"138",301,0.658926,3,6,2,"Braunschweig",2003
"139",301,0.631744,3,5,2,"Braunschweig",2004
"140",301,0.662358,3,5,2,"Braunschweig",2005
"141",301,0.644933,3,5,2,"Braunschweig",2006
"142",301,0.61437,3,5,2,"Braunschweig",2007
"143",301,0.583108,3,5,2,"Braunschweig",2008
"144",301,0.563178,3,5,2,"Braunschweig",2009
"145",301,0.54445,3,5,2,"Braunschweig",2010
"146",301,0.521491,3,5,2,"Braunschweig",2011
"147",301,0.488324,2,4,2,"Braunschweig",2012
"148",301,0.470663,2,4,2,"Braunschweig",2013
"149",301,0.446899,2,4,2,"Braunschweig",2014
"150",301,0.426001,2,4,2,"Braunschweig",2015
"151",301,0.407927,2,4,2,"Braunschweig",2016
"152",301,0.394852,2,4,2,"Braunschweig",2017
"153",301,0.373991,2,4,2,"Braunschweig",2018
"154",301,0.348031,2,4,2,"Braunschweig",2019
"155",302,0.753306,3,6,2,"Bremen-Umland",1998
"156",302,0.73733,3,6,2,"Bremen-Umland",1999
"157",302,0.698591,3,6,2,"Bremen-Umland",2000
"158",302,0.678383,3,6,2,"Bremen-Umland",2001
"159",302,0.680994,3,6,2,"Bremen-Umland",2002
"160",302,0.684621,3,6,2,"Bremen-Umland",2003
"161",302,0.661275,3,6,2,"Bremen-Umland",2004
"162",302,0.695418,3,6,2,"Bremen-Umland",2005
"163",302,0.673516,3,6,2,"Bremen-Umland",2006
"164",302,0.655977,3,6,2,"Bremen-Umland",2007
"165",302,0.625161,3,6,2,"Bremen-Umland",2008
"166",302,0.614081,3,6,2,"Bremen-Umland",2009
"167",302,0.604983,3,6,2,"Bremen-Umland",2010
"168",302,0.585594,4,7,2,"Bremen-Umland",2011
"169",302,0.555852,3,6,2,"Bremen-Umland",2012
"170",302,0.544859,3,6,2,"Bremen-Umland",2013
"171",302,0.521514,3,6,2,"Bremen-Umland",2014
