"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.204561,8111000,"Stuttgart, Landeshauptstadt",1998
"2",0.141904,8111000,"Stuttgart, Landeshauptstadt",1999
"3",0.174466,8111000,"Stuttgart, Landeshauptstadt",2000
"4",0.163493,8111000,"Stuttgart, Landeshauptstadt",2001
"5",0.12485,8111000,"Stuttgart, Landeshauptstadt",2002
"6",0.061984,8111000,"Stuttgart, Landeshauptstadt",2003
"7",0.049782,8111000,"Stuttgart, Landeshauptstadt",2004
"8",0.064162,8111000,"Stuttgart, Landeshauptstadt",2005
"9",0.083292,8111000,"Stuttgart, Landeshauptstadt",2006
"10",0,8111000,"Stuttgart, Landeshauptstadt",2007
"11",0,8111000,"Stuttgart, Landeshauptstadt",2008
"12",0,8111000,"Stuttgart, Landeshauptstadt",2009
"13",0,8111000,"Stuttgart, Landeshauptstadt",2010
"14",0,8111000,"Stuttgart, Landeshauptstadt",2011
"15",0.018795,8111000,"Stuttgart, Landeshauptstadt",2012
"16",0.023347,8111000,"Stuttgart, Landeshauptstadt",2013
"17",0,8111000,"Stuttgart, Landeshauptstadt",2014
"18",0,8111000,"Stuttgart, Landeshauptstadt",2015
"19",0,8111000,"Stuttgart, Landeshauptstadt",2016
"20",0,8111000,"Stuttgart, Landeshauptstadt",2017
"21",0,8111000,"Stuttgart, Landeshauptstadt",2018
"22",0,8111000,"Stuttgart, Landeshauptstadt",2019
"23",0.032244,8115003,"Böblingen, Stadt",1998
"24",0.028666,8115003,"Böblingen, Stadt",1999
"25",0.025897,8115003,"Böblingen, Stadt",2000
"26",0.038674,8115003,"Böblingen, Stadt",2001
"27",0.031868,8115003,"Böblingen, Stadt",2002
"28",0.036566,8115003,"Böblingen, Stadt",2003
"29",0.035867,8115003,"Böblingen, Stadt",2004
"30",0.050918,8115003,"Böblingen, Stadt",2005
"31",0.072935,8115003,"Böblingen, Stadt",2006
"32",0.079242,8115003,"Böblingen, Stadt",2007
"33",0.067988,8115003,"Böblingen, Stadt",2008
"34",0.09237,8115003,"Böblingen, Stadt",2009
"35",0.080907,8115003,"Böblingen, Stadt",2010
"36",0.043247,8115003,"Böblingen, Stadt",2011
"37",0.049797,8115003,"Böblingen, Stadt",2012
"38",0.051104,8115003,"Böblingen, Stadt",2013
"39",0.052656,8115003,"Böblingen, Stadt",2014
"40",0.05364,8115003,"Böblingen, Stadt",2015
"41",0.077787,8115003,"Böblingen, Stadt",2016
"42",0.146452,8115003,"Böblingen, Stadt",2017
"43",0.117317,8115003,"Böblingen, Stadt",2018
"44",0.11779,8115003,"Böblingen, Stadt",2019
"45",0.035072,8115028,"Leonberg, Stadt",1998
"46",0.033811,8115028,"Leonberg, Stadt",1999
"47",0.025292,8115028,"Leonberg, Stadt",2000
"48",0.047759,8115028,"Leonberg, Stadt",2001
"49",0.059755,8115028,"Leonberg, Stadt",2002
"50",0.049256,8115028,"Leonberg, Stadt",2003
"51",0.043804,8115028,"Leonberg, Stadt",2004
"52",0.04796,8115028,"Leonberg, Stadt",2005
"53",0.05425,8115028,"Leonberg, Stadt",2006
"54",0.065026,8115028,"Leonberg, Stadt",2007
"55",0.056332,8115028,"Leonberg, Stadt",2008
"56",0.066954,8115028,"Leonberg, Stadt",2009
"57",0.067701,8115028,"Leonberg, Stadt",2010
"58",0.045569,8115028,"Leonberg, Stadt",2011
"59",0.048604,8115028,"Leonberg, Stadt",2012
"60",0.05592,8115028,"Leonberg, Stadt",2013
"61",0.057428,8115028,"Leonberg, Stadt",2014
"62",0.069046,8115028,"Leonberg, Stadt",2015
"63",0.084678,8115028,"Leonberg, Stadt",2016
"64",0.155125,8115028,"Leonberg, Stadt",2017
"65",0.127085,8115028,"Leonberg, Stadt",2018
"66",0.126989,8115028,"Leonberg, Stadt",2019
"67",0.032499,8115029,"Magstadt",1998
"68",0.032408,8115029,"Magstadt",1999
"69",0.020906,8115029,"Magstadt",2000
"70",0,8115029,"Magstadt",2001
"71",0,8115029,"Magstadt",2002
"72",0.011039,8115029,"Magstadt",2003
"73",0.001048,8115029,"Magstadt",2004
"74",0.018566,8115029,"Magstadt",2005
"75",0.079699,8115029,"Magstadt",2006
"76",0.070646,8115029,"Magstadt",2007
"77",0.061796,8115029,"Magstadt",2008
"78",0.080785,8115029,"Magstadt",2009
"79",0.08321,8115029,"Magstadt",2010
"80",0.062503,8115029,"Magstadt",2011
"81",0.056226,8115029,"Magstadt",2012
"82",0.057226,8115029,"Magstadt",2013
"83",0.068618,8115029,"Magstadt",2014
"84",0.074465,8115029,"Magstadt",2015
"85",0.090125,8115029,"Magstadt",2016
"86",0.168203,8115029,"Magstadt",2017
"87",0.139275,8115029,"Magstadt",2018
"88",0.139544,8115029,"Magstadt",2019
"89",0.038987,8115041,"Renningen, Stadt",1998
"90",0.039214,8115041,"Renningen, Stadt",1999
"91",0.0341,8115041,"Renningen, Stadt",2000
"92",0.066307,8115041,"Renningen, Stadt",2001
"93",0.054828,8115041,"Renningen, Stadt",2002
"94",0.041471,8115041,"Renningen, Stadt",2003
"95",0.035544,8115041,"Renningen, Stadt",2004
"96",0.041393,8115041,"Renningen, Stadt",2005
"97",0.038082,8115041,"Renningen, Stadt",2006
"98",0.059032,8115041,"Renningen, Stadt",2007
"99",0.0405,8115041,"Renningen, Stadt",2008
"100",0.048904,8115041,"Renningen, Stadt",2009
"101",0.058119,8115041,"Renningen, Stadt",2010
"102",0.016837,8115041,"Renningen, Stadt",2011
"103",0.025343,8115041,"Renningen, Stadt",2012
"104",0.020995,8115041,"Renningen, Stadt",2013
"105",0.028203,8115041,"Renningen, Stadt",2014
"106",0.025855,8115041,"Renningen, Stadt",2015
"107",0.063057,8115041,"Renningen, Stadt",2016
"108",0.144303,8115041,"Renningen, Stadt",2017
"109",0.112503,8115041,"Renningen, Stadt",2018
"110",0.115873,8115041,"Renningen, Stadt",2019
"111",0.010326,8115042,"Rutesheim, Stadt",1998
"112",0.011967,8115042,"Rutesheim, Stadt",1999
"113",0.011014,8115042,"Rutesheim, Stadt",2000
"114",0.053103,8115042,"Rutesheim, Stadt",2001
"115",0.045885,8115042,"Rutesheim, Stadt",2002
"116",0.036427,8115042,"Rutesheim, Stadt",2003
"117",0.024849,8115042,"Rutesheim, Stadt",2004
"118",0.014568,8115042,"Rutesheim, Stadt",2005
"119",0.020106,8115042,"Rutesheim, Stadt",2006
"120",0.050279,8115042,"Rutesheim, Stadt",2007
"121",0.048395,8115042,"Rutesheim, Stadt",2008
"122",0.059404,8115042,"Rutesheim, Stadt",2009
"123",0.062507,8115042,"Rutesheim, Stadt",2010
"124",0.010124,8115042,"Rutesheim, Stadt",2011
"125",0.030854,8115042,"Rutesheim, Stadt",2012
"126",0.036701,8115042,"Rutesheim, Stadt",2013
"127",0.02676,8115042,"Rutesheim, Stadt",2014
"128",0.014542,8115042,"Rutesheim, Stadt",2015
"129",0.038725,8115042,"Rutesheim, Stadt",2016
"130",0.12183,8115042,"Rutesheim, Stadt",2017
"131",0.080799,8115042,"Rutesheim, Stadt",2018
"132",0.084744,8115042,"Rutesheim, Stadt",2019
"133",0.01838,8115044,"Schönaich",1998
"134",0.018299,8115044,"Schönaich",1999
"135",0.020467,8115044,"Schönaich",2000
"136",0.037013,8115044,"Schönaich",2001
"137",0.030975,8115044,"Schönaich",2002
"138",0.029477,8115044,"Schönaich",2003
"139",0.008898,8115044,"Schönaich",2004
"140",0.002353,8115044,"Schönaich",2005
"141",0.012138,8115044,"Schönaich",2006
"142",0.031309,8115044,"Schönaich",2007
"143",0.022839,8115044,"Schönaich",2008
"144",0.041871,8115044,"Schönaich",2009
"145",0.043899,8115044,"Schönaich",2010
"146",0.0402,8115044,"Schönaich",2011
"147",0.03581,8115044,"Schönaich",2012
"148",0.044541,8115044,"Schönaich",2013
"149",0.043048,8115044,"Schönaich",2014
"150",0.045371,8115044,"Schönaich",2015
"151",0.083739,8115044,"Schönaich",2016
"152",0.15696,8115044,"Schönaich",2017
"153",0.126828,8115044,"Schönaich",2018
"154",0.123977,8115044,"Schönaich",2019
"155",0.047793,8115045,"Sindelfingen, Stadt",1998
"156",0.045666,8115045,"Sindelfingen, Stadt",1999
"157",0.05249,8115045,"Sindelfingen, Stadt",2000
"158",0.04008,8115045,"Sindelfingen, Stadt",2001
"159",0.034754,8115045,"Sindelfingen, Stadt",2002
"160",0.04073,8115045,"Sindelfingen, Stadt",2003
"161",0.04438,8115045,"Sindelfingen, Stadt",2004
"162",0.058602,8115045,"Sindelfingen, Stadt",2005
"163",0.111627,8115045,"Sindelfingen, Stadt",2006
"164",0.119537,8115045,"Sindelfingen, Stadt",2007
"165",0.10825,8115045,"Sindelfingen, Stadt",2008
"166",0.119395,8115045,"Sindelfingen, Stadt",2009
