"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.202744,8111,"Stuttgart, Stadt",1998
"2",0.125674,8111,"Stuttgart, Stadt",1999
"3",0.212453,8111,"Stuttgart, Stadt",2000
"4",0.260134,8111,"Stuttgart, Stadt",2001
"5",0.186699,8111,"Stuttgart, Stadt",2002
"6",0.096193,8111,"Stuttgart, Stadt",2003
"7",0.136996,8111,"Stuttgart, Stadt",2004
"8",0.063928,8111,"Stuttgart, Stadt",2005
"9",0.119176,8111,"Stuttgart, Stadt",2006
"10",0.009478,8111,"Stuttgart, Stadt",2007
"11",0.050263,8111,"Stuttgart, Stadt",2008
"12",0.054534,8111,"Stuttgart, Stadt",2009
"13",0.053443,8111,"Stuttgart, Stadt",2010
"14",0.10552,8111,"Stuttgart, Stadt",2011
"15",0.131806,8111,"Stuttgart, Stadt",2012
"16",0.119008,8111,"Stuttgart, Stadt",2013
"17",0.082838,8111,"Stuttgart, Stadt",2014
"18",0.093547,8111,"Stuttgart, Stadt",2015
"19",0.082349,8111,"Stuttgart, Stadt",2016
"20",0,8111,"Stuttgart, Stadt",2017
"21",0.074502,8111,"Stuttgart, Stadt",2018
"22",0.09478,8111,"Stuttgart, Stadt",2019
"23",0,8115,"Böblingen",1998
"24",0,8115,"Böblingen",1999
"25",0,8115,"Böblingen",2000
"26",0,8115,"Böblingen",2001
"27",0,8115,"Böblingen",2002
"28",0,8115,"Böblingen",2003
"29",0,8115,"Böblingen",2004
"30",0,8115,"Böblingen",2005
"31",0,8115,"Böblingen",2006
"32",0,8115,"Böblingen",2007
"33",0,8115,"Böblingen",2008
"34",0,8115,"Böblingen",2009
"35",0,8115,"Böblingen",2010
"36",0,8115,"Böblingen",2011
"37",0,8115,"Böblingen",2012
"38",0,8115,"Böblingen",2013
"39",0,8115,"Böblingen",2014
"40",0,8115,"Böblingen",2015
"41",0,8115,"Böblingen",2016
"42",0.022083,8115,"Böblingen",2017
"43",0,8115,"Böblingen",2018
"44",0,8115,"Böblingen",2019
"45",0.162566,8116,"Esslingen",1998
"46",0.154889,8116,"Esslingen",1999
"47",0.320574,8116,"Esslingen",2000
"48",0.207363,8116,"Esslingen",2001
"49",0.138734,8116,"Esslingen",2002
"50",0.151618,8116,"Esslingen",2003
"51",0.18835,8116,"Esslingen",2004
"52",0.178381,8116,"Esslingen",2005
"53",0.206109,8116,"Esslingen",2006
"54",0.156025,8116,"Esslingen",2007
"55",0.167016,8116,"Esslingen",2008
"56",0.155768,8116,"Esslingen",2009
"57",0.166331,8116,"Esslingen",2010
"58",0.228439,8116,"Esslingen",2011
"59",0.248131,8116,"Esslingen",2012
"60",0.283235,8116,"Esslingen",2013
"61",0.248073,8116,"Esslingen",2014
"62",0.207995,8116,"Esslingen",2015
"63",0.194702,8116,"Esslingen",2016
"64",0.140697,8116,"Esslingen",2017
"65",0.19708,8116,"Esslingen",2018
"66",0.185389,8116,"Esslingen",2019
"67",0.622057,8117,"Göppingen",1998
"68",0.460015,8117,"Göppingen",1999
"69",0.578492,8117,"Göppingen",2000
"70",0.541729,8117,"Göppingen",2001
"71",0.546993,8117,"Göppingen",2002
"72",0.550872,8117,"Göppingen",2003
"73",0.525469,8117,"Göppingen",2004
"74",0.513665,8117,"Göppingen",2005
"75",0.563358,8117,"Göppingen",2006
"76",0.541455,8117,"Göppingen",2007
"77",0.563506,8117,"Göppingen",2008
"78",0.583474,8117,"Göppingen",2009
"79",0.547976,8117,"Göppingen",2010
"80",0.533229,8117,"Göppingen",2011
"81",0.629248,8117,"Göppingen",2012
"82",0.639722,8117,"Göppingen",2013
"83",0.583573,8117,"Göppingen",2014
"84",0.577629,8117,"Göppingen",2015
"85",0.523617,8117,"Göppingen",2016
"86",0.547939,8117,"Göppingen",2017
"87",0.560239,8117,"Göppingen",2018
"88",0.597103,8117,"Göppingen",2019
"89",0.180107,8118,"Ludwigsburg",1998
"90",0.16414,8118,"Ludwigsburg",1999
"91",0.248166,8118,"Ludwigsburg",2000
"92",0.198344,8118,"Ludwigsburg",2001
"93",0.174762,8118,"Ludwigsburg",2002
"94",0.118962,8118,"Ludwigsburg",2003
"95",0.167434,8118,"Ludwigsburg",2004
"96",0.173164,8118,"Ludwigsburg",2005
"97",0.18547,8118,"Ludwigsburg",2006
"98",0.145953,8118,"Ludwigsburg",2007
"99",0.19061,8118,"Ludwigsburg",2008
"100",0.156361,8118,"Ludwigsburg",2009
"101",0.19617,8118,"Ludwigsburg",2010
"102",0.208304,8118,"Ludwigsburg",2011
"103",0.216551,8118,"Ludwigsburg",2012
"104",0.257068,8118,"Ludwigsburg",2013
"105",0.241495,8118,"Ludwigsburg",2014
"106",0.202453,8118,"Ludwigsburg",2015
"107",0.132148,8118,"Ludwigsburg",2016
"108",0.143671,8118,"Ludwigsburg",2017
"109",0.13593,8118,"Ludwigsburg",2018
"110",0.130032,8118,"Ludwigsburg",2019
"111",0.458233,8119,"Rems-Murr-Kreis",1998
"112",0.473869,8119,"Rems-Murr-Kreis",1999
"113",0.504302,8119,"Rems-Murr-Kreis",2000
"114",0.363619,8119,"Rems-Murr-Kreis",2001
"115",0.39136,8119,"Rems-Murr-Kreis",2002
"116",0.388146,8119,"Rems-Murr-Kreis",2003
"117",0.399071,8119,"Rems-Murr-Kreis",2004
"118",0.396971,8119,"Rems-Murr-Kreis",2005
