"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.342274,9161000,"Ingolstadt",1998
"2",0.345505,9161000,"Ingolstadt",1999
"3",0.349291,9161000,"Ingolstadt",2000
"4",0.412803,9161000,"Ingolstadt",2001
"5",0.359461,9161000,"Ingolstadt",2002
"6",0.361596,9161000,"Ingolstadt",2003
"7",0.345036,9161000,"Ingolstadt",2004
"8",0.365316,9161000,"Ingolstadt",2005
"9",0.372024,9161000,"Ingolstadt",2006
"10",0.384962,9161000,"Ingolstadt",2007
"11",0.392666,9161000,"Ingolstadt",2008
"12",0.368518,9161000,"Ingolstadt",2009
"13",0.341741,9161000,"Ingolstadt",2010
"14",0.306825,9161000,"Ingolstadt",2011
"15",0.306533,9161000,"Ingolstadt",2012
"16",0.251299,9161000,"Ingolstadt",2013
"17",0.252089,9161000,"Ingolstadt",2014
"18",0.20443,9161000,"Ingolstadt",2015
"19",0.173695,9161000,"Ingolstadt",2016
"20",0.256597,9161000,"Ingolstadt",2017
"21",0.225743,9161000,"Ingolstadt",2018
"22",0.215923,9161000,"Ingolstadt",2019
"23",0.223194,9162000,"München, Landeshauptstadt",1998
"24",0.204481,9162000,"München, Landeshauptstadt",1999
"25",0.168934,9162000,"München, Landeshauptstadt",2000
"26",0.200123,9162000,"München, Landeshauptstadt",2001
"27",0.118912,9162000,"München, Landeshauptstadt",2002
"28",0.158343,9162000,"München, Landeshauptstadt",2003
"29",0.11002,9162000,"München, Landeshauptstadt",2004
"30",0.131675,9162000,"München, Landeshauptstadt",2005
"31",0.160871,9162000,"München, Landeshauptstadt",2006
"32",0.173914,9162000,"München, Landeshauptstadt",2007
"33",0.168057,9162000,"München, Landeshauptstadt",2008
"34",0.164574,9162000,"München, Landeshauptstadt",2009
"35",0.154082,9162000,"München, Landeshauptstadt",2010
"36",0.128681,9162000,"München, Landeshauptstadt",2011
"37",0.123612,9162000,"München, Landeshauptstadt",2012
"38",0.145748,9162000,"München, Landeshauptstadt",2013
"39",0.078842,9162000,"München, Landeshauptstadt",2014
"40",0.087357,9162000,"München, Landeshauptstadt",2015
"41",0.000174,9162000,"München, Landeshauptstadt",2016
"42",0.07659,9162000,"München, Landeshauptstadt",2017
"43",0,9162000,"München, Landeshauptstadt",2018
"44",0.012902,9162000,"München, Landeshauptstadt",2019
"45",0.58562,9163000,"Rosenheim",1998
"46",0.646301,9163000,"Rosenheim",1999
"47",0.630937,9163000,"Rosenheim",2000
"48",0.645775,9163000,"Rosenheim",2001
"49",0.596655,9163000,"Rosenheim",2002
"50",0.605827,9163000,"Rosenheim",2003
"51",0.530668,9163000,"Rosenheim",2004
"52",0.580357,9163000,"Rosenheim",2005
"53",0.615768,9163000,"Rosenheim",2006
"54",0.650688,9163000,"Rosenheim",2007
"55",0.665663,9163000,"Rosenheim",2008
"56",0.663202,9163000,"Rosenheim",2009
"57",0.674283,9163000,"Rosenheim",2010
"58",0.616626,9163000,"Rosenheim",2011
"59",0.676338,9163000,"Rosenheim",2012
"60",0.677587,9163000,"Rosenheim",2013
"61",0.678475,9163000,"Rosenheim",2014
"62",0.657418,9163000,"Rosenheim",2015
"63",0.606332,9163000,"Rosenheim",2016
"64",0.614345,9163000,"Rosenheim",2017
"65",0.619994,9163000,"Rosenheim",2018
"66",0.599803,9163000,"Rosenheim",2019
"67",0.517586,9171111,"Altötting, Stadt",1998
"68",0.581304,9171111,"Altötting, Stadt",1999
"69",0.56306,9171111,"Altötting, Stadt",2000
"70",0.697563,9171111,"Altötting, Stadt",2001
"71",0.656999,9171111,"Altötting, Stadt",2002
"72",0.645948,9171111,"Altötting, Stadt",2003
"73",0.597793,9171111,"Altötting, Stadt",2004
"74",0.602318,9171111,"Altötting, Stadt",2005
"75",0.573354,9171111,"Altötting, Stadt",2006
"76",0.586486,9171111,"Altötting, Stadt",2007
"77",0.603602,9171111,"Altötting, Stadt",2008
"78",0.609554,9171111,"Altötting, Stadt",2009
"79",0.605305,9171111,"Altötting, Stadt",2010
"80",0.58494,9171111,"Altötting, Stadt",2011
"81",0.586639,9171111,"Altötting, Stadt",2012
"82",0.617312,9171111,"Altötting, Stadt",2013
"83",0.612918,9171111,"Altötting, Stadt",2014
"84",0.625645,9171111,"Altötting, Stadt",2015
"85",0.611576,9171111,"Altötting, Stadt",2016
"86",0.631301,9171111,"Altötting, Stadt",2017
"87",0.613989,9171111,"Altötting, Stadt",2018
"88",0.614543,9171111,"Altötting, Stadt",2019
"89",0.443855,9171112,"Burghausen, Stadt",1998
"90",0.504559,9171112,"Burghausen, Stadt",1999
"91",0.480638,9171112,"Burghausen, Stadt",2000
"92",0.593346,9171112,"Burghausen, Stadt",2001
"93",0.556497,9171112,"Burghausen, Stadt",2002
"94",0.554553,9171112,"Burghausen, Stadt",2003
"95",0.515929,9171112,"Burghausen, Stadt",2004
"96",0.530004,9171112,"Burghausen, Stadt",2005
"97",0.512223,9171112,"Burghausen, Stadt",2006
"98",0.52904,9171112,"Burghausen, Stadt",2007
"99",0.545516,9171112,"Burghausen, Stadt",2008
"100",0.545658,9171112,"Burghausen, Stadt",2009
"101",0.54548,9171112,"Burghausen, Stadt",2010
"102",0.514199,9171112,"Burghausen, Stadt",2011
"103",0.511712,9171112,"Burghausen, Stadt",2012
"104",0.549036,9171112,"Burghausen, Stadt",2013
"105",0.553064,9171112,"Burghausen, Stadt",2014
"106",0.572604,9171112,"Burghausen, Stadt",2015
"107",0.548581,9171112,"Burghausen, Stadt",2016
"108",0.573121,9171112,"Burghausen, Stadt",2017
"109",0.552872,9171112,"Burghausen, Stadt",2018
"110",0.548158,9171112,"Burghausen, Stadt",2019
"111",0.482128,9171113,"Burgkirchen a.d.Alz",1998
"112",0.531214,9171113,"Burgkirchen a.d.Alz",1999
"113",0.520442,9171113,"Burgkirchen a.d.Alz",2000
"114",0.653455,9171113,"Burgkirchen a.d.Alz",2001
"115",0.627579,9171113,"Burgkirchen a.d.Alz",2002
