"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.389008,9161,"Ingolstadt, Stadt",1998
"2",0.381672,9161,"Ingolstadt, Stadt",1999
"3",0.446935,9161,"Ingolstadt, Stadt",2000
"4",0.468653,9161,"Ingolstadt, Stadt",2001
"5",0.427743,9161,"Ingolstadt, Stadt",2002
"6",0.412497,9161,"Ingolstadt, Stadt",2003
"7",0.400503,9161,"Ingolstadt, Stadt",2004
"8",0.406327,9161,"Ingolstadt, Stadt",2005
"9",0.409178,9161,"Ingolstadt, Stadt",2006
"10",0.434075,9161,"Ingolstadt, Stadt",2007
"11",0.443813,9161,"Ingolstadt, Stadt",2008
"12",0.446822,9161,"Ingolstadt, Stadt",2009
"13",0.419706,9161,"Ingolstadt, Stadt",2010
"14",0.404147,9161,"Ingolstadt, Stadt",2011
"15",0.378384,9161,"Ingolstadt, Stadt",2012
"16",0.305104,9161,"Ingolstadt, Stadt",2013
"17",0.328805,9161,"Ingolstadt, Stadt",2014
"18",0.269057,9161,"Ingolstadt, Stadt",2015
"19",0.22279,9161,"Ingolstadt, Stadt",2016
"20",0.213673,9161,"Ingolstadt, Stadt",2017
"21",0.256344,9161,"Ingolstadt, Stadt",2018
"22",0.243925,9161,"Ingolstadt, Stadt",2019
"23",0.196428,9162,"München, Stadt",1998
"24",0.170138,9162,"München, Stadt",1999
"25",0.122539,9162,"München, Stadt",2000
"26",0.139751,9162,"München, Stadt",2001
"27",0.102457,9162,"München, Stadt",2002
"28",0.160828,9162,"München, Stadt",2003
"29",0.108715,9162,"München, Stadt",2004
"30",0.151232,9162,"München, Stadt",2005
"31",0.169068,9162,"München, Stadt",2006
"32",0.179377,9162,"München, Stadt",2007
"33",0.189968,9162,"München, Stadt",2008
"34",0.200788,9162,"München, Stadt",2009
"35",0.197943,9162,"München, Stadt",2010
"36",0.179446,9162,"München, Stadt",2011
"37",0.170768,9162,"München, Stadt",2012
"38",0.155386,9162,"München, Stadt",2013
"39",0.136896,9162,"München, Stadt",2014
"40",0.145134,9162,"München, Stadt",2015
"41",0.047755,9162,"München, Stadt",2016
"42",0.033284,9162,"München, Stadt",2017
"43",0.046098,9162,"München, Stadt",2018
"44",0.046805,9162,"München, Stadt",2019
"45",0.599272,9163,"Rosenheim, Stadt",1998
"46",0.654514,9163,"Rosenheim, Stadt",1999
"47",0.651027,9163,"Rosenheim, Stadt",2000
"48",0.668098,9163,"Rosenheim, Stadt",2001
"49",0.643828,9163,"Rosenheim, Stadt",2002
"50",0.622189,9163,"Rosenheim, Stadt",2003
"51",0.53303,9163,"Rosenheim, Stadt",2004
"52",0.585225,9163,"Rosenheim, Stadt",2005
"53",0.618552,9163,"Rosenheim, Stadt",2006
"54",0.661517,9163,"Rosenheim, Stadt",2007
"55",0.682164,9163,"Rosenheim, Stadt",2008
"56",0.712076,9163,"Rosenheim, Stadt",2009
"57",0.727783,9163,"Rosenheim, Stadt",2010
"58",0.694213,9163,"Rosenheim, Stadt",2011
"59",0.728014,9163,"Rosenheim, Stadt",2012
"60",0.730766,9163,"Rosenheim, Stadt",2013
"61",0.744673,9163,"Rosenheim, Stadt",2014
"62",0.685728,9163,"Rosenheim, Stadt",2015
"63",0.659416,9163,"Rosenheim, Stadt",2016
"64",0.600228,9163,"Rosenheim, Stadt",2017
"65",0.657461,9163,"Rosenheim, Stadt",2018
"66",0.614098,9163,"Rosenheim, Stadt",2019
"67",0.503985,9171,"Altötting",1998
"68",0.559288,9171,"Altötting",1999
"69",0.58598,9171,"Altötting",2000
"70",0.670504,9171,"Altötting",2001
"71",0.623489,9171,"Altötting",2002
"72",0.592035,9171,"Altötting",2003
"73",0.539981,9171,"Altötting",2004
"74",0.529847,9171,"Altötting",2005
"75",0.497642,9171,"Altötting",2006
"76",0.511302,9171,"Altötting",2007
"77",0.524659,9171,"Altötting",2008
"78",0.549924,9171,"Altötting",2009
"79",0.55552,9171,"Altötting",2010
"80",0.56179,9171,"Altötting",2011
"81",0.521864,9171,"Altötting",2012
"82",0.564188,9171,"Altötting",2013
"83",0.561677,9171,"Altötting",2014
"84",0.553881,9171,"Altötting",2015
"85",0.557721,9171,"Altötting",2016
"86",0.528285,9171,"Altötting",2017
"87",0.532504,9171,"Altötting",2018
"88",0.512093,9171,"Altötting",2019
"89",0.635832,9172,"Berchtesgadener Land",1998
"90",0.653023,9172,"Berchtesgadener Land",1999
"91",0.621168,9172,"Berchtesgadener Land",2000
"92",0.730173,9172,"Berchtesgadener Land",2001
"93",0.686968,9172,"Berchtesgadener Land",2002
"94",0.715027,9172,"Berchtesgadener Land",2003
"95",0.683527,9172,"Berchtesgadener Land",2004
"96",0.681649,9172,"Berchtesgadener Land",2005
"97",0.677212,9172,"Berchtesgadener Land",2006
"98",0.72984,9172,"Berchtesgadener Land",2007
"99",0.796547,9172,"Berchtesgadener Land",2008
"100",0.793763,9172,"Berchtesgadener Land",2009
"101",0.792374,9172,"Berchtesgadener Land",2010
"102",0.822339,9172,"Berchtesgadener Land",2011
"103",0.819473,9172,"Berchtesgadener Land",2012
"104",0.806458,9172,"Berchtesgadener Land",2013
"105",0.781792,9172,"Berchtesgadener Land",2014
"106",0.7772,9172,"Berchtesgadener Land",2015
"107",0.724908,9172,"Berchtesgadener Land",2016
"108",0.675022,9172,"Berchtesgadener Land",2017
"109",0.674165,9172,"Berchtesgadener Land",2018
"110",0.686338,9172,"Berchtesgadener Land",2019
"111",0.384456,9173,"Bad Tölz-Wolfratshausen",1998
"112",0.412405,9173,"Bad Tölz-Wolfratshausen",1999
"113",0.349909,9173,"Bad Tölz-Wolfratshausen",2000
"114",0.405444,9173,"Bad Tölz-Wolfratshausen",2001
"115",0.379068,9173,"Bad Tölz-Wolfratshausen",2002
"116",0.385492,9173,"Bad Tölz-Wolfratshausen",2003
"117",0.37138,9173,"Bad Tölz-Wolfratshausen",2004
"118",0.365499,9173,"Bad Tölz-Wolfratshausen",2005
"119",0.369687,9173,"Bad Tölz-Wolfratshausen",2006
"120",0.424584,9173,"Bad Tölz-Wolfratshausen",2007
"121",0.447461,9173,"Bad Tölz-Wolfratshausen",2008
"122",0.461017,9173,"Bad Tölz-Wolfratshausen",2009
"123",0.489613,9173,"Bad Tölz-Wolfratshausen",2010
"124",0.487384,9173,"Bad Tölz-Wolfratshausen",2011
"125",0.404732,9173,"Bad Tölz-Wolfratshausen",2012
"126",0.461723,9173,"Bad Tölz-Wolfratshausen",2013
"127",0.477516,9173,"Bad Tölz-Wolfratshausen",2014
"128",0.466355,9173,"Bad Tölz-Wolfratshausen",2015
"129",0.459235,9173,"Bad Tölz-Wolfratshausen",2016
"130",0.408957,9173,"Bad Tölz-Wolfratshausen",2017
"131",0.435749,9173,"Bad Tölz-Wolfratshausen",2018
"132",0.436559,9173,"Bad Tölz-Wolfratshausen",2019
"133",0.362775,9174,"Dachau",1998
"134",0.393005,9174,"Dachau",1999
"135",0.325462,9174,"Dachau",2000
"136",0.389397,9174,"Dachau",2001
"137",0.339619,9174,"Dachau",2002
"138",0.324824,9174,"Dachau",2003
"139",0.38178,9174,"Dachau",2004
"140",0.339433,9174,"Dachau",2005
"141",0.35111,9174,"Dachau",2006
"142",0.414264,9174,"Dachau",2007
"143",0.438739,9174,"Dachau",2008
"144",0.453642,9174,"Dachau",2009
"145",0.44842,9174,"Dachau",2010
"146",0.486263,9174,"Dachau",2011
"147",0.476615,9174,"Dachau",2012
"148",0.49648,9174,"Dachau",2013
"149",0.449005,9174,"Dachau",2014
"150",0.43796,9174,"Dachau",2015
"151",0.406647,9174,"Dachau",2016
"152",0.410319,9174,"Dachau",2017
"153",0.425795,9174,"Dachau",2018
"154",0.490586,9174,"Dachau",2019
"155",0.219841,9175,"Ebersberg",1998
"156",0.247019,9175,"Ebersberg",1999
"157",0.161241,9175,"Ebersberg",2000
"158",0.196427,9175,"Ebersberg",2001
"159",0.246008,9175,"Ebersberg",2002
"160",0.261178,9175,"Ebersberg",2003
"161",0.150918,9175,"Ebersberg",2004
"162",0.194312,9175,"Ebersberg",2005
"163",0.195412,9175,"Ebersberg",2006
"164",0.24044,9175,"Ebersberg",2007
"165",0.279917,9175,"Ebersberg",2008
"166",0.26148,9175,"Ebersberg",2009
"167",0.290702,9175,"Ebersberg",2010
"168",0.325325,9175,"Ebersberg",2011
"169",0.286149,9175,"Ebersberg",2012
"170",0.337194,9175,"Ebersberg",2013
"171",0.261652,9175,"Ebersberg",2014
"172",0.281441,9175,"Ebersberg",2015
"173",0.267662,9175,"Ebersberg",2016
"174",0.280257,9175,"Ebersberg",2017
"175",0.29749,9175,"Ebersberg",2018
"176",0.266795,9175,"Ebersberg",2019
"177",0.412188,9176,"Eichstätt",1998
"178",0.426003,9176,"Eichstätt",1999
"179",0.44434,9176,"Eichstätt",2000
"180",0.493236,9176,"Eichstätt",2001
"181",0.472041,9176,"Eichstätt",2002
"182",0.437657,9176,"Eichstätt",2003
"183",0.383774,9176,"Eichstätt",2004
"184",0.395241,9176,"Eichstätt",2005
"185",0.387678,9176,"Eichstätt",2006
"186",0.452268,9176,"Eichstätt",2007
"187",0.473153,9176,"Eichstätt",2008
"188",0.484447,9176,"Eichstätt",2009
"189",0.476165,9176,"Eichstätt",2010
"190",0.480548,9176,"Eichstätt",2011
"191",0.435978,9176,"Eichstätt",2012
"192",0.42736,9176,"Eichstätt",2013
"193",0.426993,9176,"Eichstätt",2014
"194",0.401495,9176,"Eichstätt",2015
"195",0.378108,9176,"Eichstätt",2016
"196",0.347741,9176,"Eichstätt",2017
"197",0.361885,9176,"Eichstätt",2018
"198",0.377767,9176,"Eichstätt",2019
"199",0.423404,9177,"Erding",1998
"200",0.455,9177,"Erding",1999
"201",0.469145,9177,"Erding",2000
"202",0.477257,9177,"Erding",2001
