"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.762844,12051000,"Brandenburg an der Havel, Stadt",1998
"2",0.742738,12051000,"Brandenburg an der Havel, Stadt",1999
"3",0.759353,12051000,"Brandenburg an der Havel, Stadt",2000
"4",0.732922,12051000,"Brandenburg an der Havel, Stadt",2001
"5",0.78265,12051000,"Brandenburg an der Havel, Stadt",2002
"6",0.715843,12051000,"Brandenburg an der Havel, Stadt",2003
"7",0.669944,12051000,"Brandenburg an der Havel, Stadt",2004
"8",0.693533,12051000,"Brandenburg an der Havel, Stadt",2005
"9",0.788069,12051000,"Brandenburg an der Havel, Stadt",2006
"10",0.836709,12051000,"Brandenburg an der Havel, Stadt",2007
"11",0.708368,12051000,"Brandenburg an der Havel, Stadt",2008
"12",0.76325,12051000,"Brandenburg an der Havel, Stadt",2009
"13",0.7696,12051000,"Brandenburg an der Havel, Stadt",2010
"14",0.779619,12051000,"Brandenburg an der Havel, Stadt",2011
"15",0.737431,12051000,"Brandenburg an der Havel, Stadt",2012
"16",0.77905,12051000,"Brandenburg an der Havel, Stadt",2013
"17",0.77752,12051000,"Brandenburg an der Havel, Stadt",2014
"18",0.829114,12051000,"Brandenburg an der Havel, Stadt",2015
"19",0.778856,12051000,"Brandenburg an der Havel, Stadt",2016
"20",0.776921,12051000,"Brandenburg an der Havel, Stadt",2017
"21",0.768787,12051000,"Brandenburg an der Havel, Stadt",2018
"22",0.761536,12051000,"Brandenburg an der Havel, Stadt",2019
"23",0.473791,12052000,"Cottbus, Stadt",1998
"24",0.431173,12052000,"Cottbus, Stadt",1999
"25",0.433047,12052000,"Cottbus, Stadt",2000
"26",0.402039,12052000,"Cottbus, Stadt",2001
"27",0.410446,12052000,"Cottbus, Stadt",2002
"28",0.395459,12052000,"Cottbus, Stadt",2003
"29",0.37895,12052000,"Cottbus, Stadt",2004
"30",0.418706,12052000,"Cottbus, Stadt",2005
"31",0.484941,12052000,"Cottbus, Stadt",2006
"32",0.56093,12052000,"Cottbus, Stadt",2007
"33",0.498112,12052000,"Cottbus, Stadt",2008
"34",0.503541,12052000,"Cottbus, Stadt",2009
"35",0.482507,12052000,"Cottbus, Stadt",2010
"36",0.492287,12052000,"Cottbus, Stadt",2011
"37",0.490156,12052000,"Cottbus, Stadt",2012
"38",0.536738,12052000,"Cottbus, Stadt",2013
"39",0.506664,12052000,"Cottbus, Stadt",2014
"40",0.518606,12052000,"Cottbus, Stadt",2015
"41",0.505466,12052000,"Cottbus, Stadt",2016
"42",0.542141,12052000,"Cottbus, Stadt",2017
"43",0.552024,12052000,"Cottbus, Stadt",2018
"44",0.480002,12052000,"Cottbus, Stadt",2019
"45",0.642486,12053000,"Frankfurt (Oder), Stadt",1998
"46",0.610839,12053000,"Frankfurt (Oder), Stadt",1999
"47",0.63466,12053000,"Frankfurt (Oder), Stadt",2000
"48",0.667573,12053000,"Frankfurt (Oder), Stadt",2001
"49",0.621784,12053000,"Frankfurt (Oder), Stadt",2002
"50",0.618949,12053000,"Frankfurt (Oder), Stadt",2003
"51",0.645291,12053000,"Frankfurt (Oder), Stadt",2004
"52",0.629107,12053000,"Frankfurt (Oder), Stadt",2005
"53",0.660925,12053000,"Frankfurt (Oder), Stadt",2006
"54",0.649087,12053000,"Frankfurt (Oder), Stadt",2007
"55",0.649002,12053000,"Frankfurt (Oder), Stadt",2008
"56",0.665107,12053000,"Frankfurt (Oder), Stadt",2009
"57",0.623924,12053000,"Frankfurt (Oder), Stadt",2010
"58",0.601868,12053000,"Frankfurt (Oder), Stadt",2011
"59",0.674727,12053000,"Frankfurt (Oder), Stadt",2012
"60",0.701065,12053000,"Frankfurt (Oder), Stadt",2013
"61",0.677652,12053000,"Frankfurt (Oder), Stadt",2014
"62",0.635312,12053000,"Frankfurt (Oder), Stadt",2015
"63",0.605726,12053000,"Frankfurt (Oder), Stadt",2016
"64",0.648405,12053000,"Frankfurt (Oder), Stadt",2017
"65",0.667814,12053000,"Frankfurt (Oder), Stadt",2018
"66",0.679226,12053000,"Frankfurt (Oder), Stadt",2019
"67",0.03226,12054000,"Potsdam, Stadt",1998
"68",0.01431,12054000,"Potsdam, Stadt",1999
"69",0.029397,12054000,"Potsdam, Stadt",2000
"70",0,12054000,"Potsdam, Stadt",2001
"71",0,12054000,"Potsdam, Stadt",2002
"72",0.025386,12054000,"Potsdam, Stadt",2003
"73",0.011582,12054000,"Potsdam, Stadt",2004
"74",0,12054000,"Potsdam, Stadt",2005
"75",0.017734,12054000,"Potsdam, Stadt",2006
"76",0,12054000,"Potsdam, Stadt",2007
"77",0,12054000,"Potsdam, Stadt",2008
"78",0,12054000,"Potsdam, Stadt",2009
"79",0,12054000,"Potsdam, Stadt",2010
"80",0.029035,12054000,"Potsdam, Stadt",2011
"81",0.006893,12054000,"Potsdam, Stadt",2012
"82",0,12054000,"Potsdam, Stadt",2013
"83",0,12054000,"Potsdam, Stadt",2014
"84",0,12054000,"Potsdam, Stadt",2015
"85",0,12054000,"Potsdam, Stadt",2016
"86",0,12054000,"Potsdam, Stadt",2017
"87",0,12054000,"Potsdam, Stadt",2018
"88",0,12054000,"Potsdam, Stadt",2019
"89",0.309899,12060005,"Ahrensfelde",1998
"90",0.341405,12060005,"Ahrensfelde",1999
"91",0.389767,12060005,"Ahrensfelde",2000
"92",0.434186,12060005,"Ahrensfelde",2001
"93",0.464803,12060005,"Ahrensfelde",2002
"94",0.289779,12060005,"Ahrensfelde",2003
"95",0.283189,12060005,"Ahrensfelde",2004
"96",0.262472,12060005,"Ahrensfelde",2005
"97",0.253086,12060005,"Ahrensfelde",2006
"98",0.269438,12060005,"Ahrensfelde",2007
"99",0.269635,12060005,"Ahrensfelde",2008
"100",0.262225,12060005,"Ahrensfelde",2009
"101",0.196413,12060005,"Ahrensfelde",2010
"102",0.266458,12060005,"Ahrensfelde",2011
"103",0.272928,12060005,"Ahrensfelde",2012
"104",0.253532,12060005,"Ahrensfelde",2013
"105",0.266816,12060005,"Ahrensfelde",2014
"106",0.262946,12060005,"Ahrensfelde",2015
"107",0.271784,12060005,"Ahrensfelde",2016
"108",0.297564,12060005,"Ahrensfelde",2017
"109",0.344061,12060005,"Ahrensfelde",2018
"110",0.344127,12060005,"Ahrensfelde",2019
"111",0.42602,12060020,"Bernau bei Berlin, Stadt",1998
"112",0.443553,12060020,"Bernau bei Berlin, Stadt",1999
"113",0.49904,12060020,"Bernau bei Berlin, Stadt",2000
"114",0.48654,12060020,"Bernau bei Berlin, Stadt",2001
"115",0.537538,12060020,"Bernau bei Berlin, Stadt",2002
"116",0.456491,12060020,"Bernau bei Berlin, Stadt",2003
"117",0.430605,12060020,"Bernau bei Berlin, Stadt",2004
"118",0.422559,12060020,"Bernau bei Berlin, Stadt",2005
"119",0.45973,12060020,"Bernau bei Berlin, Stadt",2006
"120",0.49186,12060020,"Bernau bei Berlin, Stadt",2007
"121",0.490044,12060020,"Bernau bei Berlin, Stadt",2008
"122",0.469026,12060020,"Bernau bei Berlin, Stadt",2009
"123",0.409042,12060020,"Bernau bei Berlin, Stadt",2010
"124",0.490564,12060020,"Bernau bei Berlin, Stadt",2011
"125",0.49556,12060020,"Bernau bei Berlin, Stadt",2012
"126",0.4632,12060020,"Bernau bei Berlin, Stadt",2013
"127",0.453104,12060020,"Bernau bei Berlin, Stadt",2014
"128",0.4449,12060020,"Bernau bei Berlin, Stadt",2015
"129",0.426034,12060020,"Bernau bei Berlin, Stadt",2016
"130",0.449407,12060020,"Bernau bei Berlin, Stadt",2017
