"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",1,12051,"Brandenburg an der Havel, Stadt",1998
"2",0.961989,12051,"Brandenburg an der Havel, Stadt",1999
"3",0.956397,12051,"Brandenburg an der Havel, Stadt",2000
"4",0.873611,12051,"Brandenburg an der Havel, Stadt",2001
"5",0.856181,12051,"Brandenburg an der Havel, Stadt",2002
"6",0.872652,12051,"Brandenburg an der Havel, Stadt",2003
"7",0.877475,12051,"Brandenburg an der Havel, Stadt",2004
"8",0.842428,12051,"Brandenburg an der Havel, Stadt",2005
"9",0.896135,12051,"Brandenburg an der Havel, Stadt",2006
"10",0.965243,12051,"Brandenburg an der Havel, Stadt",2007
"11",0.841699,12051,"Brandenburg an der Havel, Stadt",2008
"12",0.866306,12051,"Brandenburg an der Havel, Stadt",2009
"13",0.900536,12051,"Brandenburg an der Havel, Stadt",2010
"14",0.869682,12051,"Brandenburg an der Havel, Stadt",2011
"15",0.835099,12051,"Brandenburg an der Havel, Stadt",2012
"16",0.854864,12051,"Brandenburg an der Havel, Stadt",2013
"17",0.86492,12051,"Brandenburg an der Havel, Stadt",2014
"18",0.918592,12051,"Brandenburg an der Havel, Stadt",2015
"19",0.899304,12051,"Brandenburg an der Havel, Stadt",2016
"20",0.917242,12051,"Brandenburg an der Havel, Stadt",2017
"21",0.872456,12051,"Brandenburg an der Havel, Stadt",2018
"22",0.841535,12051,"Brandenburg an der Havel, Stadt",2019
"23",0.58301,12052,"Cottbus, Stadt",1998
"24",0.513533,12052,"Cottbus, Stadt",1999
"25",0.561672,12052,"Cottbus, Stadt",2000
"26",0.468888,12052,"Cottbus, Stadt",2001
"27",0.487064,12052,"Cottbus, Stadt",2002
"28",0.490655,12052,"Cottbus, Stadt",2003
"29",0.476891,12052,"Cottbus, Stadt",2004
"30",0.537822,12052,"Cottbus, Stadt",2005
"31",0.515557,12052,"Cottbus, Stadt",2006
"32",0.628075,12052,"Cottbus, Stadt",2007
"33",0.557882,12052,"Cottbus, Stadt",2008
"34",0.544752,12052,"Cottbus, Stadt",2009
"35",0.54341,12052,"Cottbus, Stadt",2010
"36",0.504066,12052,"Cottbus, Stadt",2011
"37",0.536145,12052,"Cottbus, Stadt",2012
"38",0.58205,12052,"Cottbus, Stadt",2013
"39",0.569495,12052,"Cottbus, Stadt",2014
