"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.342092,6411000,"Darmstadt, Wissenschaftsstadt",1998
"2",0.328131,6411000,"Darmstadt, Wissenschaftsstadt",1999
"3",0.30345,6411000,"Darmstadt, Wissenschaftsstadt",2000
"4",0.303519,6411000,"Darmstadt, Wissenschaftsstadt",2001
"5",0.266188,6411000,"Darmstadt, Wissenschaftsstadt",2002
"6",0.268806,6411000,"Darmstadt, Wissenschaftsstadt",2003
"7",0.330381,6411000,"Darmstadt, Wissenschaftsstadt",2004
"8",0.295478,6411000,"Darmstadt, Wissenschaftsstadt",2005
"9",0.300501,6411000,"Darmstadt, Wissenschaftsstadt",2006
"10",0.269725,6411000,"Darmstadt, Wissenschaftsstadt",2007
"11",0.25659,6411000,"Darmstadt, Wissenschaftsstadt",2008
"12",0.200675,6411000,"Darmstadt, Wissenschaftsstadt",2009
"13",0.194931,6411000,"Darmstadt, Wissenschaftsstadt",2010
"14",0.209921,6411000,"Darmstadt, Wissenschaftsstadt",2011
"15",0.212262,6411000,"Darmstadt, Wissenschaftsstadt",2012
"16",0.202008,6411000,"Darmstadt, Wissenschaftsstadt",2013
"17",0.223933,6411000,"Darmstadt, Wissenschaftsstadt",2014
"18",0.238907,6411000,"Darmstadt, Wissenschaftsstadt",2015
"19",0.202541,6411000,"Darmstadt, Wissenschaftsstadt",2016
"20",0.13494,6411000,"Darmstadt, Wissenschaftsstadt",2017
"21",0.114609,6411000,"Darmstadt, Wissenschaftsstadt",2018
"22",0.1248,6411000,"Darmstadt, Wissenschaftsstadt",2019
"23",0.359535,6412000,"Frankfurt am Main, Stadt",1998
"24",0.368692,6412000,"Frankfurt am Main, Stadt",1999
"25",0.363934,6412000,"Frankfurt am Main, Stadt",2000
"26",0.348208,6412000,"Frankfurt am Main, Stadt",2001
"27",0.312455,6412000,"Frankfurt am Main, Stadt",2002
"28",0.326656,6412000,"Frankfurt am Main, Stadt",2003
"29",0.343692,6412000,"Frankfurt am Main, Stadt",2004
"30",0.337665,6412000,"Frankfurt am Main, Stadt",2005
"31",0.382997,6412000,"Frankfurt am Main, Stadt",2006
"32",0.377204,6412000,"Frankfurt am Main, Stadt",2007
"33",0.294649,6412000,"Frankfurt am Main, Stadt",2008
"34",0.265852,6412000,"Frankfurt am Main, Stadt",2009
"35",0.260436,6412000,"Frankfurt am Main, Stadt",2010
"36",0.235539,6412000,"Frankfurt am Main, Stadt",2011
"37",0.268478,6412000,"Frankfurt am Main, Stadt",2012
"38",0.267866,6412000,"Frankfurt am Main, Stadt",2013
"39",0.272063,6412000,"Frankfurt am Main, Stadt",2014
"40",0.260028,6412000,"Frankfurt am Main, Stadt",2015
"41",0.24536,6412000,"Frankfurt am Main, Stadt",2016
"42",0.215265,6412000,"Frankfurt am Main, Stadt",2017
"43",0.181839,6412000,"Frankfurt am Main, Stadt",2018
"44",0.192365,6412000,"Frankfurt am Main, Stadt",2019
"45",0.814474,6413000,"Offenbach am Main, Stadt",1998
"46",0.888091,6413000,"Offenbach am Main, Stadt",1999
"47",0.873995,6413000,"Offenbach am Main, Stadt",2000
"48",0.841876,6413000,"Offenbach am Main, Stadt",2001
"49",0.873624,6413000,"Offenbach am Main, Stadt",2002
"50",0.928769,6413000,"Offenbach am Main, Stadt",2003
"51",0.944948,6413000,"Offenbach am Main, Stadt",2004
"52",0.939306,6413000,"Offenbach am Main, Stadt",2005
"53",1,6413000,"Offenbach am Main, Stadt",2006
"54",1,6413000,"Offenbach am Main, Stadt",2007
"55",0.923411,6413000,"Offenbach am Main, Stadt",2008
"56",0.956733,6413000,"Offenbach am Main, Stadt",2009
"57",0.915983,6413000,"Offenbach am Main, Stadt",2010
"58",0.910982,6413000,"Offenbach am Main, Stadt",2011
"59",0.923995,6413000,"Offenbach am Main, Stadt",2012
"60",0.930594,6413000,"Offenbach am Main, Stadt",2013
"61",0.964915,6413000,"Offenbach am Main, Stadt",2014
"62",0.96754,6413000,"Offenbach am Main, Stadt",2015
"63",0.947066,6413000,"Offenbach am Main, Stadt",2016
"64",0.921386,6413000,"Offenbach am Main, Stadt",2017
"65",0.920103,6413000,"Offenbach am Main, Stadt",2018
"66",0.894187,6413000,"Offenbach am Main, Stadt",2019
"67",0.545368,6414000,"Wiesbaden, Landeshauptstadt",1998
"68",0.545132,6414000,"Wiesbaden, Landeshauptstadt",1999
"69",0.53741,6414000,"Wiesbaden, Landeshauptstadt",2000
"70",0.541722,6414000,"Wiesbaden, Landeshauptstadt",2001
"71",0.50874,6414000,"Wiesbaden, Landeshauptstadt",2002
"72",0.522394,6414000,"Wiesbaden, Landeshauptstadt",2003
"73",0.511517,6414000,"Wiesbaden, Landeshauptstadt",2004
"74",0.543323,6414000,"Wiesbaden, Landeshauptstadt",2005
"75",0.540439,6414000,"Wiesbaden, Landeshauptstadt",2006
"76",0.516683,6414000,"Wiesbaden, Landeshauptstadt",2007
"77",0.537534,6414000,"Wiesbaden, Landeshauptstadt",2008
"78",0.534152,6414000,"Wiesbaden, Landeshauptstadt",2009
"79",0.522289,6414000,"Wiesbaden, Landeshauptstadt",2010
"80",0.533694,6414000,"Wiesbaden, Landeshauptstadt",2011
"81",0.515098,6414000,"Wiesbaden, Landeshauptstadt",2012
"82",0.524507,6414000,"Wiesbaden, Landeshauptstadt",2013
"83",0.539365,6414000,"Wiesbaden, Landeshauptstadt",2014
"84",0.500975,6414000,"Wiesbaden, Landeshauptstadt",2015
"85",0.548634,6414000,"Wiesbaden, Landeshauptstadt",2016
