"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.322042,6411,"Darmstadt, Stadt",1998
"2",0.306864,6411,"Darmstadt, Stadt",1999
"3",0.281061,6411,"Darmstadt, Stadt",2000
"4",0.278639,6411,"Darmstadt, Stadt",2001
"5",0.233035,6411,"Darmstadt, Stadt",2002
"6",0.235068,6411,"Darmstadt, Stadt",2003
"7",0.297986,6411,"Darmstadt, Stadt",2004
"8",0.25217,6411,"Darmstadt, Stadt",2005
"9",0.26857,6411,"Darmstadt, Stadt",2006
"10",0.240826,6411,"Darmstadt, Stadt",2007
"11",0.238635,6411,"Darmstadt, Stadt",2008
"12",0.18283,6411,"Darmstadt, Stadt",2009
"13",0.184331,6411,"Darmstadt, Stadt",2010
"14",0.203632,6411,"Darmstadt, Stadt",2011
"15",0.200277,6411,"Darmstadt, Stadt",2012
"16",0.192245,6411,"Darmstadt, Stadt",2013
"17",0.215091,6411,"Darmstadt, Stadt",2014
"18",0.227025,6411,"Darmstadt, Stadt",2015
"19",0.192984,6411,"Darmstadt, Stadt",2016
"20",0.111624,6411,"Darmstadt, Stadt",2017
"21",0.093198,6411,"Darmstadt, Stadt",2018
"22",0.100124,6411,"Darmstadt, Stadt",2019
"23",0.340017,6412,"Frankfurt am Main, Stadt",1998
"24",0.348708,6412,"Frankfurt am Main, Stadt",1999
"25",0.343489,6412,"Frankfurt am Main, Stadt",2000
"26",0.324923,6412,"Frankfurt am Main, Stadt",2001
"27",0.281392,6412,"Frankfurt am Main, Stadt",2002
"28",0.295587,6412,"Frankfurt am Main, Stadt",2003
"29",0.311941,6412,"Frankfurt am Main, Stadt",2004
"30",0.29695,6412,"Frankfurt am Main, Stadt",2005
"31",0.354832,6412,"Frankfurt am Main, Stadt",2006
"32",0.352559,6412,"Frankfurt am Main, Stadt",2007
"33",0.282091,6412,"Frankfurt am Main, Stadt",2008
"34",0.253275,6412,"Frankfurt am Main, Stadt",2009
"35",0.256744,6412,"Frankfurt am Main, Stadt",2010
"36",0.231634,6412,"Frankfurt am Main, Stadt",2011
"37",0.26231,6412,"Frankfurt am Main, Stadt",2012
"38",0.265021,6412,"Frankfurt am Main, Stadt",2013
"39",0.266075,6412,"Frankfurt am Main, Stadt",2014
"40",0.249432,6412,"Frankfurt am Main, Stadt",2015
"41",0.239397,6412,"Frankfurt am Main, Stadt",2016
"42",0.200228,6412,"Frankfurt am Main, Stadt",2017
"43",0.166351,6412,"Frankfurt am Main, Stadt",2018
"44",0.173856,6412,"Frankfurt am Main, Stadt",2019
"45",0.80882,6413,"Offenbach am Main, Stadt",1998
"46",0.884548,6413,"Offenbach am Main, Stadt",1999
"47",0.869945,6413,"Offenbach am Main, Stadt",2000
"48",0.836227,6413,"Offenbach am Main, Stadt",2001
"49",0.867914,6413,"Offenbach am Main, Stadt",2002
"50",0.925483,6413,"Offenbach am Main, Stadt",2003
"51",0.942284,6413,"Offenbach am Main, Stadt",2004
"52",0.935575,6413,"Offenbach am Main, Stadt",2005
"53",1,6413,"Offenbach am Main, Stadt",2006
"54",1,6413,"Offenbach am Main, Stadt",2007
"55",1,6413,"Offenbach am Main, Stadt",2008
"56",1,6413,"Offenbach am Main, Stadt",2009
"57",0.981419,6413,"Offenbach am Main, Stadt",2010
"58",0.969927,6413,"Offenbach am Main, Stadt",2011
"59",0.98565,6413,"Offenbach am Main, Stadt",2012
"60",0.997357,6413,"Offenbach am Main, Stadt",2013
"61",1,6413,"Offenbach am Main, Stadt",2014
"62",1,6413,"Offenbach am Main, Stadt",2015
"63",1,6413,"Offenbach am Main, Stadt",2016
"64",0.979133,6413,"Offenbach am Main, Stadt",2017
"65",0.969642,6413,"Offenbach am Main, Stadt",2018
"66",0.93974,6413,"Offenbach am Main, Stadt",2019
"67",0.531513,6414,"Wiesbaden, Stadt",1998
"68",0.530733,6414,"Wiesbaden, Stadt",1999
"69",0.522541,6414,"Wiesbaden, Stadt",2000
"70",0.52535,6414,"Wiesbaden, Stadt",2001
"71",0.486546,6414,"Wiesbaden, Stadt",2002
"72",0.500357,6414,"Wiesbaden, Stadt",2003
"73",0.487885,6414,"Wiesbaden, Stadt",2004
"74",0.51525,6414,"Wiesbaden, Stadt",2005
"75",0.519461,6414,"Wiesbaden, Stadt",2006
"76",0.497557,6414,"Wiesbaden, Stadt",2007
"77",0.559412,6414,"Wiesbaden, Stadt",2008
"78",0.543262,6414,"Wiesbaden, Stadt",2009
"79",0.546209,6414,"Wiesbaden, Stadt",2010
"80",0.557533,6414,"Wiesbaden, Stadt",2011
"81",0.534447,6414,"Wiesbaden, Stadt",2012
"82",0.548618,6414,"Wiesbaden, Stadt",2013
"83",0.549223,6414,"Wiesbaden, Stadt",2014
"84",0.505041,6414,"Wiesbaden, Stadt",2015
"85",0.568126,6414,"Wiesbaden, Stadt",2016
"86",0.561841,6414,"Wiesbaden, Stadt",2017
"87",0.57365,6414,"Wiesbaden, Stadt",2018
"88",0.542504,6414,"Wiesbaden, Stadt",2019
"89",0.449543,6431,"Bergstraﬂe",1998
"90",0.480699,6431,"Bergstraﬂe",1999
"91",0.462421,6431,"Bergstraﬂe",2000
"92",0.458012,6431,"Bergstraﬂe",2001
"93",0.407651,6431,"Bergstraﬂe",2002
"94",0.410418,6431,"Bergstraﬂe",2003
"95",0.472065,6431,"Bergstraﬂe",2004
"96",0.451135,6431,"Bergstraﬂe",2005
"97",0.491278,6431,"Bergstraﬂe",2006
"98",0.486488,6431,"Bergstraﬂe",2007
"99",0.559082,6431,"Bergstraﬂe",2008
"100",0.547728,6431,"Bergstraﬂe",2009
"101",0.544237,6431,"Bergstraﬂe",2010
"102",0.569959,6431,"Bergstraﬂe",2011
"103",0.540135,6431,"Bergstraﬂe",2012
