"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.110934,13003000,"Rostock, Hansestadt",1998
"2",0.082223,13003000,"Rostock, Hansestadt",1999
"3",0.029138,13003000,"Rostock, Hansestadt",2000
"4",0.117962,13003000,"Rostock, Hansestadt",2001
"5",0.133825,13003000,"Rostock, Hansestadt",2002
"6",0.092074,13003000,"Rostock, Hansestadt",2003
"7",0.102579,13003000,"Rostock, Hansestadt",2004
"8",0.143132,13003000,"Rostock, Hansestadt",2005
"9",0.185018,13003000,"Rostock, Hansestadt",2006
"10",0.189129,13003000,"Rostock, Hansestadt",2007
"11",0.14839,13003000,"Rostock, Hansestadt",2008
"12",0.160697,13003000,"Rostock, Hansestadt",2009
"13",0.105595,13003000,"Rostock, Hansestadt",2010
"14",0.156018,13003000,"Rostock, Hansestadt",2011
"15",0.068215,13003000,"Rostock, Hansestadt",2012
"16",0.232151,13003000,"Rostock, Hansestadt",2013
"17",0.137988,13003000,"Rostock, Hansestadt",2014
"18",0.210465,13003000,"Rostock, Hansestadt",2015
"19",0.191164,13003000,"Rostock, Hansestadt",2016
"20",0.141518,13003000,"Rostock, Hansestadt",2017
"21",0.101634,13003000,"Rostock, Hansestadt",2018
"22",0.026713,13003000,"Rostock, Hansestadt",2019
"23",0.059545,13004000,"Schwerin, Landeshauptstadt",1998
"24",0.090277,13004000,"Schwerin, Landeshauptstadt",1999
"25",0,13004000,"Schwerin, Landeshauptstadt",2000
"26",0.129881,13004000,"Schwerin, Landeshauptstadt",2001
"27",0,13004000,"Schwerin, Landeshauptstadt",2002
"28",0.025723,13004000,"Schwerin, Landeshauptstadt",2003
"29",0,13004000,"Schwerin, Landeshauptstadt",2004
"30",0.072601,13004000,"Schwerin, Landeshauptstadt",2005
"31",0.242839,13004000,"Schwerin, Landeshauptstadt",2006
"32",0.348556,13004000,"Schwerin, Landeshauptstadt",2007
"33",0.181652,13004000,"Schwerin, Landeshauptstadt",2008
"34",0.172159,13004000,"Schwerin, Landeshauptstadt",2009
"35",0.387285,13004000,"Schwerin, Landeshauptstadt",2010
"36",0.213697,13004000,"Schwerin, Landeshauptstadt",2011
"37",0.204487,13004000,"Schwerin, Landeshauptstadt",2012
"38",0.316933,13004000,"Schwerin, Landeshauptstadt",2013
"39",0.262748,13004000,"Schwerin, Landeshauptstadt",2014
"40",0.400835,13004000,"Schwerin, Landeshauptstadt",2015
"41",0.39375,13004000,"Schwerin, Landeshauptstadt",2016
"42",0.339667,13004000,"Schwerin, Landeshauptstadt",2017
"43",0.407546,13004000,"Schwerin, Landeshauptstadt",2018
"44",0.341881,13004000,"Schwerin, Landeshauptstadt",2019
"45",0.461653,13071027,"Dargun, Stadt",1998
"46",0.492715,13071027,"Dargun, Stadt",1999
"47",0.484059,13071027,"Dargun, Stadt",2000
"48",0.510747,13071027,"Dargun, Stadt",2001
"49",0.610015,13071027,"Dargun, Stadt",2002
"50",0.589009,13071027,"Dargun, Stadt",2003
"51",0.484136,13071027,"Dargun, Stadt",2004
"52",0.499843,13071027,"Dargun, Stadt",2005
"53",0.491209,13071027,"Dargun, Stadt",2006
"54",0.627419,13071027,"Dargun, Stadt",2007
"55",0.543651,13071027,"Dargun, Stadt",2008
"56",0.596774,13071027,"Dargun, Stadt",2009
"57",0.60756,13071027,"Dargun, Stadt",2010
"58",0.640252,13071027,"Dargun, Stadt",2011
"59",0.602538,13071027,"Dargun, Stadt",2012
"60",0.57385,13071027,"Dargun, Stadt",2013
"61",0.623803,13071027,"Dargun, Stadt",2014
"62",0.664473,13071027,"Dargun, Stadt",2015
"63",0.638774,13071027,"Dargun, Stadt",2016
"64",0.614284,13071027,"Dargun, Stadt",2017
"65",0.610715,13071027,"Dargun, Stadt",2018
"66",0.493047,13071027,"Dargun, Stadt",2019
"67",0.584442,13071029,"Demmin, Hansestadt",1998
"68",0.625744,13071029,"Demmin, Hansestadt",1999
"69",0.621837,13071029,"Demmin, Hansestadt",2000
"70",0.614162,13071029,"Demmin, Hansestadt",2001
"71",0.6889,13071029,"Demmin, Hansestadt",2002
"72",0.652963,13071029,"Demmin, Hansestadt",2003
"73",0.705348,13071029,"Demmin, Hansestadt",2004
"74",0.634661,13071029,"Demmin, Hansestadt",2005
"75",0.704215,13071029,"Demmin, Hansestadt",2006
"76",0.829194,13071029,"Demmin, Hansestadt",2007
"77",0.802029,13071029,"Demmin, Hansestadt",2008
"78",0.871834,13071029,"Demmin, Hansestadt",2009
"79",0.8537,13071029,"Demmin, Hansestadt",2010
"80",0.859377,13071029,"Demmin, Hansestadt",2011
"81",0.84661,13071029,"Demmin, Hansestadt",2012
"82",0.809944,13071029,"Demmin, Hansestadt",2013
"83",0.853116,13071029,"Demmin, Hansestadt",2014
"84",0.934762,13071029,"Demmin, Hansestadt",2015
"85",0.950745,13071029,"Demmin, Hansestadt",2016
"86",0.851547,13071029,"Demmin, Hansestadt",2017
"87",0.868518,13071029,"Demmin, Hansestadt",2018
"88",0.807827,13071029,"Demmin, Hansestadt",2019
"89",1,13071033,"Feldberger Seenlandschaft",1998
"90",0.567134,13071033,"Feldberger Seenlandschaft",1999
"91",0.543952,13071033,"Feldberger Seenlandschaft",2000
"92",0.594059,13071033,"Feldberger Seenlandschaft",2001
"93",0.682516,13071033,"Feldberger Seenlandschaft",2002
"94",0.575019,13071033,"Feldberger Seenlandschaft",2003
"95",0.593177,13071033,"Feldberger Seenlandschaft",2004
"96",0.585878,13071033,"Feldberger Seenlandschaft",2005
"97",0.596412,13071033,"Feldberger Seenlandschaft",2006
"98",0.661316,13071033,"Feldberger Seenlandschaft",2007
"99",0.584439,13071033,"Feldberger Seenlandschaft",2008
"100",0.63929,13071033,"Feldberger Seenlandschaft",2009
"101",0.58417,13071033,"Feldberger Seenlandschaft",2010
"102",0.601615,13071033,"Feldberger Seenlandschaft",2011
"103",0.574613,13071033,"Feldberger Seenlandschaft",2012
"104",0.518536,13071033,"Feldberger Seenlandschaft",2013
"105",0.560805,13071033,"Feldberger Seenlandschaft",2014
"106",0.624694,13071033,"Feldberger Seenlandschaft",2015
"107",0.615727,13071033,"Feldberger Seenlandschaft",2016
"108",0.594118,13071033,"Feldberger Seenlandschaft",2017
"109",0.560136,13071033,"Feldberger Seenlandschaft",2018
"110",0.502186,13071033,"Feldberger Seenlandschaft",2019
"111",0.26594,13071107,"Neubrandenburg, Stadt",1998
"112",0.280828,13071107,"Neubrandenburg, Stadt",1999
"113",0.262394,13071107,"Neubrandenburg, Stadt",2000
"114",0.239576,13071107,"Neubrandenburg, Stadt",2001
"115",0.344056,13071107,"Neubrandenburg, Stadt",2002
"116",0.283694,13071107,"Neubrandenburg, Stadt",2003
"117",0.33315,13071107,"Neubrandenburg, Stadt",2004
"118",0.320559,13071107,"Neubrandenburg, Stadt",2005
"119",0.339057,13071107,"Neubrandenburg, Stadt",2006
"120",0.45248,13071107,"Neubrandenburg, Stadt",2007
"121",0.4179,13071107,"Neubrandenburg, Stadt",2008
"122",0.508216,13071107,"Neubrandenburg, Stadt",2009
"123",0.493948,13071107,"Neubrandenburg, Stadt",2010
"124",0.531972,13071107,"Neubrandenburg, Stadt",2011
"125",0.521467,13071107,"Neubrandenburg, Stadt",2012
"126",0.459189,13071107,"Neubrandenburg, Stadt",2013
"127",0.537501,13071107,"Neubrandenburg, Stadt",2014
"128",0.61513,13071107,"Neubrandenburg, Stadt",2015
"129",0.650849,13071107,"Neubrandenburg, Stadt",2016
"130",0.644659,13071107,"Neubrandenburg, Stadt",2017
"131",0.662212,13071107,"Neubrandenburg, Stadt",2018
"132",0.610053,13071107,"Neubrandenburg, Stadt",2019
"133",0.374873,13071110,"Neustrelitz, Stadt",1998
"134",0.40009,13071110,"Neustrelitz, Stadt",1999
"135",0.387204,13071110,"Neustrelitz, Stadt",2000
"136",0.391799,13071110,"Neustrelitz, Stadt",2001
"137",0.511238,13071110,"Neustrelitz, Stadt",2002
"138",0.439006,13071110,"Neustrelitz, Stadt",2003
"139",0.479395,13071110,"Neustrelitz, Stadt",2004
"140",0.482399,13071110,"Neustrelitz, Stadt",2005
"141",0.535588,13071110,"Neustrelitz, Stadt",2006
"142",0.616197,13071110,"Neustrelitz, Stadt",2007
"143",0.551711,13071110,"Neustrelitz, Stadt",2008
"144",0.637146,13071110,"Neustrelitz, Stadt",2009
"145",0.609384,13071110,"Neustrelitz, Stadt",2010
"146",0.623367,13071110,"Neustrelitz, Stadt",2011
"147",0.62744,13071110,"Neustrelitz, Stadt",2012
"148",0.545275,13071110,"Neustrelitz, Stadt",2013
"149",0.607646,13071110,"Neustrelitz, Stadt",2014
"150",0.654756,13071110,"Neustrelitz, Stadt",2015
"151",0.662537,13071110,"Neustrelitz, Stadt",2016
"152",0.612406,13071110,"Neustrelitz, Stadt",2017
"153",0.614468,13071110,"Neustrelitz, Stadt",2018
"154",0.54343,13071110,"Neustrelitz, Stadt",2019
"155",0.292011,13071156,"Waren (Müritz), Stadt",1998
"156",0.310954,13071156,"Waren (Müritz), Stadt",1999
"157",0.304287,13071156,"Waren (Müritz), Stadt",2000
"158",0.343166,13071156,"Waren (Müritz), Stadt",2001
"159",0.42684,13071156,"Waren (Müritz), Stadt",2002
"160",0.322457,13071156,"Waren (Müritz), Stadt",2003
"161",0.326852,13071156,"Waren (Müritz), Stadt",2004
"162",0.303977,13071156,"Waren (Müritz), Stadt",2005
"163",0.324876,13071156,"Waren (Müritz), Stadt",2006
"164",0.401982,13071156,"Waren (Müritz), Stadt",2007
"165",0.367598,13071156,"Waren (Müritz), Stadt",2008
"166",0.450783,13071156,"Waren (Müritz), Stadt",2009
"167",0.439924,13071156,"Waren (Müritz), Stadt",2010
"168",0.488155,13071156,"Waren (Müritz), Stadt",2011
"169",0.465934,13071156,"Waren (Müritz), Stadt",2012
"170",0.411559,13071156,"Waren (Müritz), Stadt",2013
"171",0.454334,13071156,"Waren (Müritz), Stadt",2014
"172",0.527129,13071156,"Waren (Müritz), Stadt",2015
"173",0.547172,13071156,"Waren (Müritz), Stadt",2016
"174",0.503179,13071156,"Waren (Müritz), Stadt",2017
"175",0.518908,13071156,"Waren (Müritz), Stadt",2018
"176",0.452254,13071156,"Waren (Müritz), Stadt",2019
"177",0.700392,13071951,"Demmin-Land",1998
"178",0.756473,13071951,"Demmin-Land",1999
"179",0.74347,13071951,"Demmin-Land",2000
"180",0.775708,13071951,"Demmin-Land",2001
"181",0.794952,13071951,"Demmin-Land",2002
"182",0.749722,13071951,"Demmin-Land",2003
"183",0.810191,13071951,"Demmin-Land",2004
"184",0.72434,13071951,"Demmin-Land",2005
"185",0.710079,13071951,"Demmin-Land",2006
"186",0.828388,13071951,"Demmin-Land",2007
"187",0.765773,13071951,"Demmin-Land",2008
"188",0.777168,13071951,"Demmin-Land",2009
"189",0.745293,13071951,"Demmin-Land",2010
"190",0.76548,13071951,"Demmin-Land",2011
"191",0.715393,13071951,"Demmin-Land",2012
"192",0.671662,13071951,"Demmin-Land",2013
"193",0.681802,13071951,"Demmin-Land",2014
"194",0.729349,13071951,"Demmin-Land",2015
"195",0.713105,13071951,"Demmin-Land",2016
