"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.409232,3101000,"Braunschweig, Stadt",1998
"2",0.397411,3101000,"Braunschweig, Stadt",1999
"3",0.397297,3101000,"Braunschweig, Stadt",2000
"4",0.315273,3101000,"Braunschweig, Stadt",2001
"5",0.291911,3101000,"Braunschweig, Stadt",2002
"6",0.294591,3101000,"Braunschweig, Stadt",2003
"7",0.35963,3101000,"Braunschweig, Stadt",2004
"8",0.351991,3101000,"Braunschweig, Stadt",2005
"9",0.339908,3101000,"Braunschweig, Stadt",2006
"10",0.347231,3101000,"Braunschweig, Stadt",2007
"11",0.32509,3101000,"Braunschweig, Stadt",2008
"12",0.410005,3101000,"Braunschweig, Stadt",2009
"13",0.33492,3101000,"Braunschweig, Stadt",2010
"14",0.348429,3101000,"Braunschweig, Stadt",2011
"15",0.415695,3101000,"Braunschweig, Stadt",2012
"16",0.423927,3101000,"Braunschweig, Stadt",2013
"17",0.430434,3101000,"Braunschweig, Stadt",2014
"18",0.348536,3101000,"Braunschweig, Stadt",2015
"19",0.35535,3101000,"Braunschweig, Stadt",2016
"20",0.367093,3101000,"Braunschweig, Stadt",2017
"21",0.358957,3101000,"Braunschweig, Stadt",2018
"22",0.313449,3101000,"Braunschweig, Stadt",2019
"23",0.510578,3102000,"Salzgitter, Stadt",1998
"24",0.543715,3102000,"Salzgitter, Stadt",1999
"25",0.460762,3102000,"Salzgitter, Stadt",2000
"26",0.357155,3102000,"Salzgitter, Stadt",2001
"27",0.382201,3102000,"Salzgitter, Stadt",2002
"28",0.390939,3102000,"Salzgitter, Stadt",2003
"29",0.43655,3102000,"Salzgitter, Stadt",2004
"30",0.389325,3102000,"Salzgitter, Stadt",2005
"31",0.429449,3102000,"Salzgitter, Stadt",2006
"32",0.439641,3102000,"Salzgitter, Stadt",2007
"33",0.463065,3102000,"Salzgitter, Stadt",2008
"34",0.552044,3102000,"Salzgitter, Stadt",2009
"35",0.471197,3102000,"Salzgitter, Stadt",2010
"36",0.426761,3102000,"Salzgitter, Stadt",2011
"37",0.489855,3102000,"Salzgitter, Stadt",2012
"38",0.525589,3102000,"Salzgitter, Stadt",2013
"39",0.567941,3102000,"Salzgitter, Stadt",2014
"40",0.521103,3102000,"Salzgitter, Stadt",2015
"41",0.542791,3102000,"Salzgitter, Stadt",2016
"42",0.640953,3102000,"Salzgitter, Stadt",2017
"43",0.748471,3102000,"Salzgitter, Stadt",2018
"44",0.582387,3102000,"Salzgitter, Stadt",2019
"45",0,3103000,"Wolfsburg, Stadt",1998
"46",0,3103000,"Wolfsburg, Stadt",1999
"47",0,3103000,"Wolfsburg, Stadt",2000
"48",0,3103000,"Wolfsburg, Stadt",2001
"49",0,3103000,"Wolfsburg, Stadt",2002
"50",0,3103000,"Wolfsburg, Stadt",2003
"51",0,3103000,"Wolfsburg, Stadt",2004
"52",0,3103000,"Wolfsburg, Stadt",2005
"53",0,3103000,"Wolfsburg, Stadt",2006
"54",0,3103000,"Wolfsburg, Stadt",2007
"55",0,3103000,"Wolfsburg, Stadt",2008
"56",0,3103000,"Wolfsburg, Stadt",2009
"57",0,3103000,"Wolfsburg, Stadt",2010
"58",0,3103000,"Wolfsburg, Stadt",2011
"59",0,3103000,"Wolfsburg, Stadt",2012
"60",0,3103000,"Wolfsburg, Stadt",2013
"61",0,3103000,"Wolfsburg, Stadt",2014
"62",0,3103000,"Wolfsburg, Stadt",2015
"63",0,3103000,"Wolfsburg, Stadt",2016
"64",0,3103000,"Wolfsburg, Stadt",2017
"65",0,3103000,"Wolfsburg, Stadt",2018
"66",0,3103000,"Wolfsburg, Stadt",2019
"67",0.511536,3151009,"Gifhorn, Stadt",1998
"68",0.545676,3151009,"Gifhorn, Stadt",1999
"69",0.623036,3151009,"Gifhorn, Stadt",2000
"70",0.515603,3151009,"Gifhorn, Stadt",2001
"71",0.488127,3151009,"Gifhorn, Stadt",2002
"72",0.541203,3151009,"Gifhorn, Stadt",2003
"73",0.520502,3151009,"Gifhorn, Stadt",2004
"74",0.451573,3151009,"Gifhorn, Stadt",2005
"75",0.445931,3151009,"Gifhorn, Stadt",2006
"76",0.4648,3151009,"Gifhorn, Stadt",2007
"77",0.496066,3151009,"Gifhorn, Stadt",2008
"78",0.513493,3151009,"Gifhorn, Stadt",2009
"79",0.487762,3151009,"Gifhorn, Stadt",2010
"80",0.522606,3151009,"Gifhorn, Stadt",2011
"81",0.510275,3151009,"Gifhorn, Stadt",2012
"82",0.502928,3151009,"Gifhorn, Stadt",2013
"83",0.490866,3151009,"Gifhorn, Stadt",2014
