"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.479683,3101,"Braunschweig, Stadt",1998
"2",0.462231,3101,"Braunschweig, Stadt",1999
"3",0.440513,3101,"Braunschweig, Stadt",2000
"4",0.344967,3101,"Braunschweig, Stadt",2001
"5",0.319283,3101,"Braunschweig, Stadt",2002
"6",0.309465,3101,"Braunschweig, Stadt",2003
"7",0.346739,3101,"Braunschweig, Stadt",2004
"8",0.345857,3101,"Braunschweig, Stadt",2005
"9",0.315802,3101,"Braunschweig, Stadt",2006
"10",0.315937,3101,"Braunschweig, Stadt",2007
"11",0.292551,3101,"Braunschweig, Stadt",2008
"12",0.327909,3101,"Braunschweig, Stadt",2009
"13",0.279043,3101,"Braunschweig, Stadt",2010
"14",0.264673,3101,"Braunschweig, Stadt",2011
"15",0.303908,3101,"Braunschweig, Stadt",2012
"16",0.31278,3101,"Braunschweig, Stadt",2013
"17",0.290687,3101,"Braunschweig, Stadt",2014
"18",0.277911,3101,"Braunschweig, Stadt",2015
"19",0.24727,3101,"Braunschweig, Stadt",2016
"20",0.220257,3101,"Braunschweig, Stadt",2017
"21",0.214803,3101,"Braunschweig, Stadt",2018
"22",0.179335,3101,"Braunschweig, Stadt",2019
"23",0.52981,3102,"Salzgitter, Stadt",1998
"24",0.550412,3102,"Salzgitter, Stadt",1999
"25",0.509887,3102,"Salzgitter, Stadt",2000
"26",0.426444,3102,"Salzgitter, Stadt",2001
"27",0.455083,3102,"Salzgitter, Stadt",2002
"28",0.462923,3102,"Salzgitter, Stadt",2003
"29",0.496375,3102,"Salzgitter, Stadt",2004
"30",0.47497,3102,"Salzgitter, Stadt",2005
"31",0.488539,3102,"Salzgitter, Stadt",2006
"32",0.512462,3102,"Salzgitter, Stadt",2007
"33",0.535799,3102,"Salzgitter, Stadt",2008
"34",0.594676,3102,"Salzgitter, Stadt",2009
"35",0.552647,3102,"Salzgitter, Stadt",2010
"36",0.515575,3102,"Salzgitter, Stadt",2011
"37",0.575915,3102,"Salzgitter, Stadt",2012
"38",0.601931,3102,"Salzgitter, Stadt",2013
"39",0.615025,3102,"Salzgitter, Stadt",2014
"40",0.647949,3102,"Salzgitter, Stadt",2015
"41",0.635278,3102,"Salzgitter, Stadt",2016
"42",0.639384,3102,"Salzgitter, Stadt",2017
"43",0.711987,3102,"Salzgitter, Stadt",2018
"44",0.6048,3102,"Salzgitter, Stadt",2019
"45",0,3103,"Wolfsburg, Stadt",1998
"46",0,3103,"Wolfsburg, Stadt",1999
"47",0,3103,"Wolfsburg, Stadt",2000
"48",0,3103,"Wolfsburg, Stadt",2001
"49",0,3103,"Wolfsburg, Stadt",2002
"50",0,3103,"Wolfsburg, Stadt",2003
"51",0,3103,"Wolfsburg, Stadt",2004
"52",0,3103,"Wolfsburg, Stadt",2005
"53",0,3103,"Wolfsburg, Stadt",2006
"54",0,3103,"Wolfsburg, Stadt",2007
"55",0,3103,"Wolfsburg, Stadt",2008
"56",0,3103,"Wolfsburg, Stadt",2009
"57",0,3103,"Wolfsburg, Stadt",2010
"58",0,3103,"Wolfsburg, Stadt",2011
"59",0,3103,"Wolfsburg, Stadt",2012
"60",0,3103,"Wolfsburg, Stadt",2013
"61",0,3103,"Wolfsburg, Stadt",2014
"62",0,3103,"Wolfsburg, Stadt",2015
"63",0,3103,"Wolfsburg, Stadt",2016
"64",0,3103,"Wolfsburg, Stadt",2017
"65",0,3103,"Wolfsburg, Stadt",2018
"66",0,3103,"Wolfsburg, Stadt",2019
"67",0.566714,3151,"Gifhorn",1998
"68",0.591634,3151,"Gifhorn",1999
"69",0.619716,3151,"Gifhorn",2000
"70",0.521897,3151,"Gifhorn",2001
"71",0.529177,3151,"Gifhorn",2002
"72",0.553653,3151,"Gifhorn",2003
"73",0.537809,3151,"Gifhorn",2004
"74",0.505575,3151,"Gifhorn",2005
"75",0.485563,3151,"Gifhorn",2006
"76",0.507141,3151,"Gifhorn",2007
"77",0.519372,3151,"Gifhorn",2008
"78",0.519606,3151,"Gifhorn",2009
"79",0.50427,3151,"Gifhorn",2010
"80",0.507617,3151,"Gifhorn",2011
"81",0.516669,3151,"Gifhorn",2012
"82",0.510838,3151,"Gifhorn",2013
"83",0.486969,3151,"Gifhorn",2014
"84",0.486247,3151,"Gifhorn",2015
"85",0.487023,3151,"Gifhorn",2016
"86",0.455092,3151,"Gifhorn",2017
"87",0.477425,3151,"Gifhorn",2018
"88",0.396066,3151,"Gifhorn",2019
"89",0.769912,3153,"Goslar",1998
"90",0.776133,3153,"Goslar",1999
"91",0.749623,3153,"Goslar",2000
"92",0.709972,3153,"Goslar",2001
"93",0.719736,3153,"Goslar",2002
"94",0.780456,3153,"Goslar",2003
"95",0.767265,3153,"Goslar",2004
"96",0.767703,3153,"Goslar",2005
"97",0.766854,3153,"Goslar",2006
"98",0.763501,3153,"Goslar",2007
"99",0.777476,3153,"Goslar",2008
"100",0.778842,3153,"Goslar",2009
"101",0.742755,3153,"Goslar",2010
"102",0.766696,3153,"Goslar",2011
"103",0.788344,3153,"Goslar",2012
"104",0.792724,3153,"Goslar",2013
"105",0.821453,3153,"Goslar",2014
"106",0.768995,3153,"Goslar",2015
"107",0.764807,3153,"Goslar",2016
"108",0.686685,3153,"Goslar",2017
"109",0.702001,3153,"Goslar",2018
"110",0.657499,3153,"Goslar",2019
"111",0.659818,3154,"Helmstedt",1998
"112",0.677715,3154,"Helmstedt",1999
"113",0.644627,3154,"Helmstedt",2000
"114",0.585049,3154,"Helmstedt",2001
"115",0.602931,3154,"Helmstedt",2002
"116",0.676438,3154,"Helmstedt",2003
"117",0.634042,3154,"Helmstedt",2004
"118",0.62042,3154,"Helmstedt",2005
"119",0.664885,3154,"Helmstedt",2006
"120",0.637577,3154,"Helmstedt",2007
"121",0.638096,3154,"Helmstedt",2008
"122",0.609865,3154,"Helmstedt",2009
"123",0.63084,3154,"Helmstedt",2010
"124",0.636734,3154,"Helmstedt",2011
"125",0.660744,3154,"Helmstedt",2012
"126",0.67688,3154,"Helmstedt",2013
"127",0.683182,3154,"Helmstedt",2014
"128",0.722345,3154,"Helmstedt",2015
"129",0.639484,3154,"Helmstedt",2016
"130",0.60083,3154,"Helmstedt",2017
"131",0.614641,3154,"Helmstedt",2018
"132",0.562276,3154,"Helmstedt",2019
"133",0.710647,3155,"Northeim",1998
