"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.267339,5111,"Düsseldorf, Stadt",1998
"2",0.211687,5111,"Düsseldorf, Stadt",1999
"3",0.243593,5111,"Düsseldorf, Stadt",2000
"4",0.316513,5111,"Düsseldorf, Stadt",2001
"5",0.23852,5111,"Düsseldorf, Stadt",2002
"6",0.209367,5111,"Düsseldorf, Stadt",2003
"7",0.148238,5111,"Düsseldorf, Stadt",2004
"8",0.212433,5111,"Düsseldorf, Stadt",2005
"9",0.187832,5111,"Düsseldorf, Stadt",2006
"10",0.196037,5111,"Düsseldorf, Stadt",2007
"11",0.156809,5111,"Düsseldorf, Stadt",2008
"12",0.240354,5111,"Düsseldorf, Stadt",2009
"13",0.143022,5111,"Düsseldorf, Stadt",2010
"14",0.150855,5111,"Düsseldorf, Stadt",2011
"15",0.124553,5111,"Düsseldorf, Stadt",2012
"16",0.125611,5111,"Düsseldorf, Stadt",2013
"17",0.183084,5111,"Düsseldorf, Stadt",2014
"18",0.119666,5111,"Düsseldorf, Stadt",2015
"19",0.124372,5111,"Düsseldorf, Stadt",2016
"20",0.101013,5111,"Düsseldorf, Stadt",2017
"21",0.086119,5111,"Düsseldorf, Stadt",2018
"22",0.049117,5111,"Düsseldorf, Stadt",2019
"23",0.824541,5112,"Duisburg, Stadt",1998
"24",0.735045,5112,"Duisburg, Stadt",1999
"25",0.678572,5112,"Duisburg, Stadt",2000
"26",0.720978,5112,"Duisburg, Stadt",2001
"27",0.866191,5112,"Duisburg, Stadt",2002
"28",0.739953,5112,"Duisburg, Stadt",2003
"29",0.67676,5112,"Duisburg, Stadt",2004
"30",0.692653,5112,"Duisburg, Stadt",2005
"31",0.749605,5112,"Duisburg, Stadt",2006
"32",0.6898,5112,"Duisburg, Stadt",2007
"33",0.696025,5112,"Duisburg, Stadt",2008
"34",0.718391,5112,"Duisburg, Stadt",2009
"35",0.664617,5112,"Duisburg, Stadt",2010
"36",0.692502,5112,"Duisburg, Stadt",2011
"37",0.696395,5112,"Duisburg, Stadt",2012
"38",0.593783,5112,"Duisburg, Stadt",2013
"39",0.58534,5112,"Duisburg, Stadt",2014
"40",0.627495,5112,"Duisburg, Stadt",2015
"41",0.537801,5112,"Duisburg, Stadt",2016
"42",0.659406,5112,"Duisburg, Stadt",2017
"43",0.745167,5112,"Duisburg, Stadt",2018
"44",0.775851,5112,"Duisburg, Stadt",2019
"45",0.603426,5113,"Essen, Stadt",1998
"46",0.526915,5113,"Essen, Stadt",1999
"47",0.491544,5113,"Essen, Stadt",2000
"48",0.520207,5113,"Essen, Stadt",2001
"49",0.521781,5113,"Essen, Stadt",2002
"50",0.501382,5113,"Essen, Stadt",2003
"51",0.548427,5113,"Essen, Stadt",2004
"52",0.563992,5113,"Essen, Stadt",2005
"53",0.516558,5113,"Essen, Stadt",2006
"54",0.519155,5113,"Essen, Stadt",2007
"55",0.580184,5113,"Essen, Stadt",2008
"56",0.592975,5113,"Essen, Stadt",2009
"57",0.491955,5113,"Essen, Stadt",2010
"58",0.525188,5113,"Essen, Stadt",2011
"59",0.505713,5113,"Essen, Stadt",2012
